"","dia_mes_ano","hora_minuto","Vd1","Pd","Nloss","Vd2","m","x_gauss","SR"
"844310",20200128,"900",0.0266703518624984,5.773e-05,8.6595e-07,0.0266767643019572,0.578683612289584,0.106946194708206,-3.13187053278475
"844410",20200128,"1900",0.0266670710834399,5.773e-05,8.6595e-07,0.0266734835228987,0.578761281227268,0.1069583566879,-3.13233683884783
"84456",20200128,"2900",0.0266637913459858,5.773e-05,8.6595e-07,0.0266702037854445,0.578846525478083,0.106971704579575,-3.13284861291682
"84461",20200128,"3900",0.0266605124863932,5.774e-05,8.661e-07,0.0266669249258519,0.578936881366533,0.106985852544578,-3.13339106115486
"84471",20200128,"4900",0.0266572347503562,5.774e-05,8.661e-07,0.0266636471898149,0.579025892970976,0.10699978969131,-3.13392542478741
"84481",20200128,"5900",0.026653957743026,5.774e-05,8.661e-07,0.0266603701824847,0.579107047284835,0.107012496283993,-3.13441260640331
"84491",20200128,"10900",0.0266506832401418,5.774e-05,8.661e-07,0.0266570956796006,0.579186194715024,0.107024888390524,-3.13488772907545
"84501",20200128,"11900",0.0266474071077837,5.774e-05,8.661e-07,0.0266538195472424,0.579244863840439,0.107034074043705,-3.13523991310446
"845110",20200128,"12900",0.0266441319134615,5.774e-05,8.661e-07,0.0266505443529203,0.57928989853096,0.107041124896956,-3.13551024701993
"845210",20200128,"13900",0.0266408583925265,5.773e-05,8.6595e-07,0.0266472708319852,0.57932300315756,0.107046307867184,-3.13570896492694
"845310",20200128,"14900",0.0266375844652764,5.773e-05,8.6595e-07,0.0266439969047352,0.57934934076306,0.107050431337823,-3.135867060884
"845410",20200128,"15900",0.0266343124840882,5.772e-05,8.658e-07,0.026640724923547,0.57936586158764,0.107053017858086,-3.13596622931239
"84555",20200128,"20900",0.0266310414614851,5.772e-05,8.658e-07,0.0266374539009438,0.579373751951275,0.10705425317898,-3.13601359208899
"84561",20200128,"21900",0.0266277694297688,5.771e-05,8.6565e-07,0.0266341818692275,0.579379378172731,0.107055134022608,-3.13604736403503
"84571",20200128,"22900",0.0266244993998669,5.771e-05,8.6565e-07,0.0266309118393256,0.579384735829721,0.107055972818455,-3.13607952384405
"84581",20200128,"23900",0.0266212299698741,5.77e-05,8.655e-07,0.0266276424093329,0.579383235860008,0.107055737983017,-3.1360705201486
"84591",20200128,"24900",0.0266179608104797,5.769e-05,8.6535e-07,0.0266243732499385,0.579374102110945,0.107054308000165,-3.13601569395839
"84601",20200128,"25900",0.0266146921880625,5.768e-05,8.652e-07,0.0266211046275212,0.579365674529577,0.107052988572113,-3.13596510647442
"846110",20200128,"30900",0.0266114258394444,5.768e-05,8.652e-07,0.0266178382789031,0.579363359088595,0.107052626064535,-3.13595120776311
"846210",20200128,"31900",0.0266081590255957,5.767e-05,8.6505e-07,0.0266145714650545,0.579361818722254,0.107052384903236,-3.1359419615247
"846310",20200128,"32900",0.0266048927802124,5.766e-05,8.649e-07,0.0266113052196711,0.579360026890873,0.107052104372195,-3.13593120583114
"846410",20200128,"33900",0.0266016279297499,5.766e-05,8.649e-07,0.0266080403692086,0.579357693268111,0.107051739017516,-3.13591719795797
"84655",20200128,"34900",0.0265983643861403,5.765e-05,8.6475e-07,0.026604776825599,0.579357915359201,0.107051773788364,-3.13591853108895
"84661",20200128,"35900",0.0265952628379993,5.764e-05,8.646e-07,0.026601675277458,0.579358317980811,0.107051836823281,-3.1359209478779
"84671",20200128,"40900",0.0265928028054783,5.764e-05,8.646e-07,0.026599215244937,0.57935991375939,0.107052086660205,-3.13593052674497
"84681",20200128,"41900",0.0265895404505445,5.763e-05,8.6445e-07,0.0265959528900032,0.579341910516562,0.107049268045779,-3.13582245969077
"84691",20200128,"42900",0.0265862786305267,5.762e-05,8.643e-07,0.0265926910699854,0.579321640356018,0.107046094503344,-3.13570078444521
"84701",20200128,"43900",0.0265830160654649,5.761e-05,8.6415e-07,0.0265894285049236,0.579302219878315,0.107043053973282,-3.13558420888475
"847110",20200128,"44900",0.0265797558069241,5.76e-05,8.64e-07,0.0265861682463828,0.57928047953248,0.107039650219024,-3.13545370702294
"847210",20200128,"45900",0.0265767110930011,5.759e-05,8.6385e-07,0.0265831235324598,0.579264071022602,0.107037081225108,-3.13535521028142
"847310",20200128,"50900",0.0265739854519795,5.758e-05,8.637e-07,0.0265803978914382,0.579260073195888,0.107036455304765,-3.13533121211819
"847410",20200128,"51900",0.0265713663597928,5.758e-05,8.637e-07,0.0265777787992516,0.579254843464377,0.107035636510066,-3.13529981903104
"84755",20200128,"52900",0.026568108970422,5.757e-05,8.6355e-07,0.0265745214098807,0.579238324411509,0.1070330501915,-3.13520065796687
"84761",20200128,"53900",0.0265649609438546,5.756e-05,8.634e-07,0.0265713733833134,0.579225823738105,0.107031093006205,-3.13512561822748
"84771",20200128,"54900",0.026561706675281,5.755e-05,8.6325e-07,0.0265681191147397,0.579208375979463,0.107028361262853,-3.13502088138295
"84781",20200128,"55900",0.0265584553608147,5.754e-05,8.631e-07,0.0265648678002734,0.579189532318155,0.107025410953085,-3.13490776448884
"84791",20200128,"60900",0.0265553153975543,5.753e-05,8.6295e-07,0.0265617278370131,0.579171933965745,0.1070226556053,-3.134802122506
"84801",20200128,"61900",0.0265527075408582,5.753e-05,8.6295e-07,0.0265591199803169,0.579163402692334,0.107021319871948,-3.13475090952211
"848110",20200128,"62900",0.026549723989387,5.752e-05,8.628e-07,0.0265561364288457,0.579148069186606,0.107018919112007,-3.13465886261089
"848210",20200128,"63900",0.0265479669783689,5.751e-05,8.6265e-07,0.0265543794178276,0.579155505193268,0.107020083365363,-3.1347035009513
"848310",20200128,"64900",0.0265462070935382,5.751e-05,8.6265e-07,0.026552619532997,0.579161225869244,0.107020979048349,-3.13473784209621
"848410",20200128,"65900",0.0265448178587441,5.75e-05,8.625e-07,0.0265512302982029,0.57917604147229,0.107023298712616,-3.13482677970092
"84855",20200128,"70900",0.0265447591992487,5.75e-05,8.625e-07,0.0265511716387074,0.579221894970271,0.107030477891879,-3.13510203434328
"84861",20200128,"71900",0.026545497225698,5.75e-05,8.625e-07,0.0265519096651567,0.579282698268533,0.107039997593982,-3.13546702557949
"84871",20200128,"72900",0.0265456001249022,5.75e-05,8.625e-07,0.0265520125643609,0.579328800058945,0.107047215444654,-3.13574376191973
"84881",20200128,"73900",0.026545914903299,5.749e-05,8.6235e-07,0.0265523273427577,0.579374447234462,0.107054362032882,-3.13601776559756
"84891",20200128,"74900",0.0265451694421821,5.749e-05,8.6235e-07,0.0265515818816408,0.57939782098284,0.107058021427659,-3.13615806841555
"84901",20200128,"75900",0.0265459059417332,5.749e-05,8.6235e-07,0.0265523183811919,0.579453241078506,0.10706669790948,-3.13649072813569
"849110",20200128,"80900",0.0265479178213412,5.749e-05,8.6235e-07,0.0265543302608,0.579531850270138,0.107079004621861,-3.13696257126093
"849210",20200128,"81900",0.0265501989070678,5.749e-05,8.6235e-07,0.0265566113465265,0.579616663541063,0.107092282331982,-3.13747164134252
"849310",20200128,"82900",0.026553274510719,5.749e-05,8.6235e-07,0.0265596869501778,0.579719101859259,0.107108318887714,-3.13808648419058
"849410",20200128,"83900",0.0265553950542809,5.75e-05,8.625e-07,0.0265618074937396,0.579797853062183,0.107120646969045,-3.13855914239321
"84955",20200128,"84900",0.0265577790027703,5.75e-05,8.625e-07,0.026564191442229,0.579884176100191,0.10713416008708,-3.13907723342706
"84961",20200128,"85900",0.0265613858575847,5.75e-05,8.625e-07,0.0265677982970434,0.579994230637218,0.107151387718685,-3.13973773621039
"84971",20200128,"90900",0.0265632408730528,5.75e-05,8.625e-07,0.0265696533125115,0.580067541357337,0.107162863298221,-3.14017770550427
"84981",20200128,"91900",0.0265663106659395,5.751e-05,8.6265e-07,0.0265727231053982,0.580170813410707,0.107179028452738,-3.14079746945861
"84991",20200128,"92900",0.0265704445678003,5.751e-05,8.6265e-07,0.026576857007259,0.58029279991302,0.107198122410305,-3.14152951949327
