"","dia_mes_ano","hora_minuto","Vd1","Pd","Nloss","Vd2","m","x_gauss","SR"
"41781",20191112,"900",0.0271777541497627,3.843e-05,5.7645e-07,0.0271841665892214,0.375039653168002,0.07405672852824,-1.86685512615346
"41791",20191112,"1900",0.0271793173429861,3.843e-05,5.7645e-07,0.0271857297824449,0.375100986611059,0.0740669901609002,-1.86725091985715
"41801",20191112,"2900",0.0271823889446847,3.843e-05,5.7645e-07,0.0271888013841434,0.375182146708657,0.0740805685760692,-1.86777464175581
"418110",20191112,"3900",0.0271838423832339,3.843e-05,5.7645e-07,0.0271902548226926,0.375241204611914,0.0740904489220867,-1.86815572780444
"41828",20191112,"4900",0.0271822781625352,3.842e-05,5.763e-07,0.0271886906019939,0.375257246027645,0.0740931325987388,-1.86825923741608
"41831",20191112,"5900",0.0271854542790262,3.842e-05,5.763e-07,0.027191866718485,0.375338148291948,0.0741066670173539,-1.86878126033938
"41841",20191112,"10900",0.0271857203510135,3.841e-05,5.7615e-07,0.0271921327904723,0.375379942837465,0.0741136587964,-1.86905093305225
"41851",20191112,"11900",0.0271841563881975,3.841e-05,5.7615e-07,0.0271905688276562,0.375398867717786,0.0741168246867307,-1.86917304125758
"41861",20191112,"12900",0.0271774246283524,3.839e-05,5.7585e-07,0.0271838370678111,0.375346290724014,0.0741080291682015,-1.86883379847957
"41871",20191112,"13900",0.0271715570088181,3.838e-05,5.757e-07,0.0271779694482768,0.375304209210598,0.0741009892857138,-1.86856227019084
"41881",20191112,"14900",0.0271693532140661,3.837e-05,5.7555e-07,0.0271757656535249,0.375314458614174,0.0741027039356425,-1.86862840426985
"41891",20191112,"15900",0.0271652128600405,3.836e-05,5.754e-07,0.0271716252994992,0.375296599134026,0.0740997161711796,-1.86851316612918
"41901",20191112,"20900",0.0271594608393135,3.834e-05,5.751e-07,0.0271658732787723,0.375258385656468,0.074093323254266,-1.86826659101264
"419110",20191112,"21900",0.027156400469696,3.834e-05,5.751e-07,0.0271628129091547,0.375259858959902,0.0740935697321437,-1.8682760976807
"41928",20191112,"22900",0.0271538785275351,3.833e-05,5.7495e-07,0.0271602909669938,0.375267203410146,0.0740947984276176,-1.86832348854134
"41931",20191112,"23900",0.0271509280174959,3.832e-05,5.748e-07,0.0271573404569546,0.375274756223807,0.0740960619775804,-1.86837222373279
"41941",20191112,"24900",0.0271481937356908,3.831e-05,5.7465e-07,0.0271546061751495,0.375282233786435,0.0740973129345764,-1.86842047320382
"41951",20191112,"25900",0.0271422371907623,3.83e-05,5.745e-07,0.027148649630221,0.375241797417187,0.0740905480967915,-1.86815955298105
"41961",20191112,"30900",0.0271355307108696,3.828e-05,5.742e-07,0.0271419431503283,0.375188600829914,0.0740816483576115,-1.86781628907757
"41971",20191112,"31900",0.027128827314398,3.827e-05,5.7405e-07,0.0271352397538567,0.375133099846646,0.0740723628897517,-1.86745814709467
"41981",20191112,"32900",0.027122127312082,3.825e-05,5.7375e-07,0.0271285397515408,0.375079435517158,0.0740633844996636,-1.86711184868214
