"","dia_mes_ano","hora_minuto","Vd1","Pd","Nloss","Vd2","m","x_gauss","SR"
"432210",20191113,"900",0.0272666068513938,3.907e-05,5.8605e-07,0.0272730192908525,0.38207097995574,0.0752314750223744,-1.91216146021589
"43231",20191113,"1900",0.0272649702801924,3.906e-05,5.859e-07,0.0272713827196511,0.382094789246763,0.0752354472774462,-1.91231464427765
"43241",20191113,"2900",0.0272617713535556,3.905e-05,5.8575e-07,0.0272681837930143,0.382095546699784,0.0752355736475186,-1.91231951754854
"43251",20191113,"3900",0.027257324126117,3.904e-05,5.856e-07,0.0272637365655757,0.382079036564918,0.0752328191618272,-1.91221329494905
"43261",20191113,"4900",0.027252878955119,3.903e-05,5.8545e-07,0.0272592913945777,0.382061639807481,0.0752299167358625,-1.91210136720769
"43271",20191113,"5900",0.0272495811616767,3.902e-05,5.853e-07,0.0272559936011354,0.38205667858432,0.0752290890156791,-1.9120694474007
"43281",20191113,"10900",0.0272449311921959,3.901e-05,5.8515e-07,0.0272513436316546,0.382038200225927,0.0752260061102453,-1.91195055966866
"43291",20191113,"11900",0.0272386173741017,3.9e-05,5.85e-07,0.0272450298135604,0.381994624795395,0.0752187359515681,-1.91167019643066
"43301",20191113,"12900",0.0272335557764079,3.899e-05,5.8485e-07,0.0272399682158666,0.381969661140448,0.075214570938931,-1.91150957855621
"433110",20191113,"13900",0.0272311505788058,3.898e-05,5.847e-07,0.0272375630182645,0.381981728759461,0.0752165843426314,-1.91158722266039
"43329",20191113,"14900",0.0272287453675893,3.897e-05,5.8455e-07,0.027235157807048,0.381991972907031,0.0752182935043659,-1.91165313407924
"43331",20191113,"15900",0.0272259771619879,3.896e-05,5.844e-07,0.0272323896014466,0.381999327028789,0.0752195204819353,-1.91170045073337
"43341",20191113,"20900",0.0272250819344555,3.896e-05,5.844e-07,0.0272314943739142,0.382032805890998,0.0752251061220832,-1.91191585293314
"43351",20191113,"21900",0.02722470675007,3.895e-05,5.8425e-07,0.0272311191895288,0.38207206326557,0.0752316557586468,-1.91216843004127
"43361",20191113,"22900",0.0272241237333256,3.895e-05,5.8425e-07,0.0272305361727843,0.382109523531116,0.0752379054726489,-1.91240944084454
"43371",20191113,"23900",0.0272245802788516,3.894e-05,5.841e-07,0.0272309927183104,0.382159992941514,0.0752463254300258,-1.91273414345499
"43381",20191113,"24900",0.027224412830808,3.894e-05,5.841e-07,0.0272308252702667,0.382203236520542,0.0752535397460317,-1.91301235204669
"43391",20191113,"25900",0.027222791797828,3.893e-05,5.8395e-07,0.0272292042372867,0.382227447980039,0.0752575788836331,-1.91316811481495
"43401",20191113,"30900",0.0272223138948283,3.893e-05,5.8395e-07,0.027228726334287,0.382268475648592,0.0752644233383959,-1.91343205985793
"434110",20191113,"31900",0.0272205388734924,3.892e-05,5.838e-07,0.0272269513129511,0.382289710961199,0.0752679658825901,-1.9135686720909
"43429",20191113,"32900",0.0272184013775863,3.891e-05,5.8365e-07,0.027224813817045,0.38230599219257,0.0752706819504236,-1.91367341260973
"43431",20191113,"33900",0.0272169905321978,3.891e-05,5.8365e-07,0.0272234029716566,0.382330830564221,0.07527482550362,-1.9138332015819
"43441",20191113,"34900",0.027214439427204,3.89e-05,5.835e-07,0.0272208518666628,0.382338843831631,0.0752761622732935,-1.9138847517742
"43451",20191113,"35900",0.0272123040576986,3.889e-05,5.8335e-07,0.0272187164971573,0.382354865808125,0.0752788350393942,-1.91398782230878
"43461",20191113,"40900",0.0272106882443491,3.888e-05,5.832e-07,0.0272171006838078,0.3823785900264,0.0752827926524354,-1.91414044063483
"43471",20191113,"41900",0.0272073105816641,3.888e-05,5.832e-07,0.0272137230211229,0.382377316569602,0.0752825802186019,-1.91413224850321
"43481",20191113,"42900",0.0272069405706905,3.887e-05,5.8305e-07,0.0272133530101493,0.38242077311719,0.0752898294344865,-1.91441180142663
"43491",20191113,"43900",0.0272055337520947,3.887e-05,5.8305e-07,0.0272119461915534,0.382450508178356,0.0752947896243735,-1.91460308201906
"43501",20191113,"44900",0.0272029887052752,3.886e-05,5.829e-07,0.0272094011447339,0.382463907656301,0.075297024810045,-1.91468927779332
"435110",20191113,"45900",0.0272008594623782,3.885e-05,5.8275e-07,0.027207271901837,0.3824835533296,0.0753003019106887,-1.91481565302633
"43529",20191113,"50900",0.0271980062596859,3.884e-05,5.826e-07,0.0272044186991446,0.382492350206597,0.0753017693120422,-1.91487224058402
"43531",20191113,"51900",0.0271967073619929,3.884e-05,5.826e-07,0.0272031198014516,0.382525042589093,0.0753072226620271,-1.91508253860188
"43541",20191113,"52900",0.0271956163467209,3.883e-05,5.8245e-07,0.0272020287861796,0.382559108719281,0.0753129050883601,-1.91530167032744
"43551",20191113,"53900",0.0271931798931051,3.882e-05,5.823e-07,0.0271995923325638,0.382576973818727,0.0753158850587535,-1.91541658701798
"43561",20191113,"54900",0.0271920897804073,3.882e-05,5.823e-07,0.027198502219866,0.382621130512562,0.075323250481601,-1.91570061982597
"43571",20191113,"55900",0.0271900702366426,3.881e-05,5.8215e-07,0.0271964826761013,0.382655751842382,0.0753290252963114,-1.9159233137905
"43581",20191113,"60900",0.0271904296654955,3.881e-05,5.8215e-07,0.0271968421049542,0.382738673694528,0.0753428562815462,-1.91645667677108
"43591",20191113,"61900",0.0271936834699048,3.882e-05,5.823e-07,0.0272000959093635,0.382866610208626,0.0753641946087395,-1.91727954249187
"43601",20191113,"62900",0.0271941448357447,3.882e-05,5.823e-07,0.0272005572752034,0.38295211469436,0.0753784551585613,-1.91782946779859
"436110",20191113,"63900",0.0271968790414218,3.882e-05,5.823e-07,0.0272032914808805,0.383073679210812,0.0753987290104383,-1.91861128023413
"43628",20191113,"64900",0.0271966171410866,3.882e-05,5.823e-07,0.0272030295805453,0.383160407250329,0.0754131924285619,-1.91916902577762
"43631",20191113,"65900",0.0272010018328848,3.883e-05,5.8245e-07,0.0272074142723435,0.38332421839105,0.0754405094388852,-1.92022243463513
"43641",20191113,"70900",0.0272030098600239,3.883e-05,5.8245e-07,0.0272094222994826,0.383446384469543,0.0754608805926508,-1.92100799192566
"43651",20191113,"71900",0.0272047082919732,3.883e-05,5.8245e-07,0.027211120731432,0.38354680569167,0.0754776250565514,-1.92165369412812
