"","dia_mes_ano","hora_minuto","Vd1","Pd","Nloss","Vd2","m","x_gauss","SR"
"1433310",20200402,"900",0.0286369191946413,8.853e-05,1.32795e-06,0.0286433316341,0.903403811873544,0.155979552886239,-5.00055743397511
"1433410",20200402,"1900",0.0286348593313845,8.853e-05,1.32795e-06,0.0286412717708433,0.903397074296587,0.155978567226665,-5.0005201265408
"1433510",20200402,"2900",0.0286333006368536,8.852e-05,1.3278e-06,0.0286397130763123,0.903398933459622,0.155978839209102,-5.00053042113774
"1433610",20200402,"3900",0.0286317432238527,8.851e-05,1.32765e-06,0.0286381556633115,0.903394802638803,0.15597823489904,-5.00050754786363
"1433710",20200402,"4900",0.0286300296827231,8.851e-05,1.32765e-06,0.0286364421221819,0.903381227371305,0.155976248929814,-5.0004323784437
"1433810",20200402,"5900",0.0286280326559623,8.85e-05,1.3275e-06,0.0286344450954211,0.90336276969869,0.155973548690645,-5.00033017365735
"143393",20200402,"10900",0.0286259723862602,8.849e-05,1.32735e-06,0.0286323848257189,0.90334431840002,0.155970849375522,-5.0002280037604
"143401",20200402,"11900",0.028623913403547,8.848e-05,1.3272e-06,0.0286303258430057,0.903324191944186,0.155967904985282,-5.0001165575977
"1434110",20200402,"12900",0.028621854914807,8.847e-05,1.32705e-06,0.0286282673542658,0.903303410959276,0.155964864830511,-5.00000148660787
"1434210",20200402,"13900",0.0286197982112143,8.847e-05,1.32705e-06,0.028626210650673,0.903280987723298,0.155961584410595,-4.99987732137044
"1434310",20200402,"14900",0.0286177398382233,8.846e-05,1.3269e-06,0.028624152277682,0.903258455937332,0.155958288097772,-4.999752554452
"1434410",20200402,"15900",0.0286156844808453,8.845e-05,1.32675e-06,0.028622096920304,0.903236046391448,0.155955009655745,-4.99962846382394
"1434510",20200402,"20900",0.0286136263620576,8.844e-05,1.3266e-06,0.0286200388015163,0.903214124143838,0.155951802491816,-4.99950707098385
"1434610",20200402,"21900",0.0286115696581925,8.843e-05,1.32645e-06,0.0286179820976512,0.903194048205658,0.1559488654274,-4.99939590144578
"1434710",20200402,"22900",0.028609512788734,8.842e-05,1.3263e-06,0.0286159252281927,0.903173678660437,0.155945885398749,-4.99928310558316
