"","dia_mes_ano","hora_minuto","Vd1","Pd","Nloss","Vd2","m","x_gauss","SR"
"5781",20191008,"900",0.0203342700102157,5.28e-06,7.92e-08,0.0203406824496744,0.036772450032042,0.0103518076101669,0.598546479593038
"5791",20191008,"1900",0.0203089343335688,5.28e-06,7.92e-08,0.0203153467730276,0.0368109719561042,0.0103609952524829,0.598190199062369
"580",20191008,"2900",0.0202909086976165,5.27e-06,7.905e-08,0.0202973211370752,0.0368558426186489,0.0103716952450828,0.597775272346139
"5811",20191008,"3900",0.020272140283413,5.27e-06,7.905e-08,0.0202785527228717,0.0368950988540105,0.010381054773189,0.597412326538617
"5821",20191008,"4900",0.0202870457610519,5.27e-06,7.905e-08,0.0202934582005107,0.0369927734507447,0.0104043358967392,0.596509526394568
"5831",20191008,"5900",0.0203050932864601,5.28e-06,7.92e-08,0.0203115057259189,0.0370986210149343,0.0104295544845981,0.595531595359009
"584",20191008,"10900",0.0203230759519714,5.29e-06,7.935e-08,0.0203294883914301,0.0371958314792716,0.0104527055726795,0.59463383866273
"585",20191008,"11900",0.0203346290509312,5.29e-06,7.935e-08,0.02034104149039,0.0372793085726421,0.0104725786266965,0.593863198456359
"586",20191008,"12900",0.0203517017370339,5.29e-06,7.935e-08,0.0203581141764926,0.0373664527630342,0.0104933174436426,0.593058985910069
"587",20191008,"13900",0.020367128223841,5.29e-06,7.935e-08,0.0203735406632997,0.0374537109500166,0.0105140759911407,0.592254008600386
"588",20191008,"14900",0.020397536917577,5.3e-06,7.95e-08,0.0204039493570357,0.0375596571259708,0.0105392704505996,0.591277015465591
"589",20191008,"15900",0.0204144071716597,5.3e-06,7.95e-08,0.0204208196111184,0.0376374483532317,0.010557762631499,0.590559924253571
"590",20191008,"20900",0.0204343722142727,5.3e-06,7.95e-08,0.0204407846537314,0.0377178055971879,0.0105768586672274,0.589819417006463
"5911",20191008,"21900",0.0204408870886031,5.3e-06,7.95e-08,0.0204472995280619,0.0377725237853915,0.0105898583010472,0.589315316578346
"5921",20191008,"22900",0.0204426649418231,5.3e-06,7.95e-08,0.0204490773812818,0.0378168137915359,0.0106003783613351,0.588907369274005
"5931",20191008,"23900",0.0204718875423073,5.31e-06,7.965e-08,0.020478299981766,0.0379113146985435,0.0106228185666781,0.588037182428269
"594",20191008,"24900",0.0204767395425639,5.3e-06,7.95e-08,0.0204831519820227,0.0379561835739635,0.0106334701478701,0.587624135290737
"595",20191008,"25900",0.0204932967304973,5.3e-06,7.95e-08,0.020499709169956,0.0380192159712282,0.0106484303849349,0.58704400720441
"596",20191008,"30900",0.0205066755983985,5.3e-06,7.95e-08,0.0205130880378572,0.0380765436902148,0.0106620333735804,0.58651651065894
"597",20191008,"31900",0.0205355816344275,5.3e-06,7.95e-08,0.0205419940738863,0.0381619505217734,0.010682293307177,0.585730871458403
"598",20191008,"32900",0.0205752645157855,5.31e-06,7.965e-08,0.0205816769552443,0.0382645258863512,0.0107066167567148,0.584787657787146
"599",20191008,"33900",0.0206210071757105,5.32e-06,7.98e-08,0.0206274196151692,0.038377351380161,0.010733359299549,0.583750637187983
"600",20191008,"34900",0.0206387160069291,5.32e-06,7.98e-08,0.0206451284463879,0.038438871106961,0.0107479359973262,0.583185383193443
"6011",20191008,"35900",0.0206895866241659,5.32e-06,7.98e-08,0.0206959990636247,0.0385639803981935,0.0107775688468676,0.582036283523117
"6021",20191008,"40900",0.0207287054243383,5.33e-06,7.995e-08,0.0207351178637971,0.0386667712586012,0.0108019044637179,0.581092599960109
"6031",20191008,"41900",0.0207361278946678,5.33e-06,7.995e-08,0.0207425403341265,0.0387083942323287,0.0108117558433143,0.580710584512393
"604",20191008,"42900",0.020733535286428,5.32e-06,7.98e-08,0.0207399477258868,0.0387328126336068,0.0108175344694065,0.580486501779697
"605",20191008,"43900",0.0207040961873902,5.31e-06,7.965e-08,0.0207105086268489,0.0387046482073673,0.0108108692955142,0.580744962938142
"606",20191008,"44900",0.0206824107002059,5.3e-06,7.95e-08,0.0206888231396646,0.0386939773788992,0.0108083438268742,0.580842895209036
"607",20191008,"45900",0.0206898628665643,5.3e-06,7.95e-08,0.020696275306023,0.0387367501620885,0.0108184662352726,0.58045036989938
"608",20191008,"50900",0.0206911824488354,5.29e-06,7.935e-08,0.0206975948882942,0.0387686087362888,0.0108260046285414,0.580158047215848
"609",20191008,"51900",0.0206902103910331,5.29e-06,7.935e-08,0.0206966228304919,0.0387955995867569,0.0108323904781818,0.579910417733602
"6101",20191008,"52900",0.0207006575631466,5.28e-06,7.92e-08,0.0207070700026054,0.0388437928364705,0.0108437909830461,0.579468330817713
"6111",20191008,"53900",0.020703471463064,5.28e-06,7.92e-08,0.0207098839025227,0.038877925424807,0.0108518640175748,0.579155276069207
"6121",20191008,"54900",0.0207055177971371,5.28e-06,7.92e-08,0.0207119302365958,0.0389129165699067,0.0108601389944382,0.578834390492408
"6131",20191008,"55900",0.0206795347458709,5.26e-06,7.89e-08,0.0206859471853296,0.0388925615040847,0.0108553254092039,0.579021050835007
"6141",20191008,"60900",0.0206559000778722,5.25e-06,7.875e-08,0.0206623125173309,0.0388791400605946,0.0108521512830965,0.57914413653708
"6151",20191008,"61900",0.0206353590883651,5.24e-06,7.86e-08,0.0206417715278239,0.0388739139750427,0.0108509152862364,0.579192065807506
"616",20191008,"62900",0.0206246853591863,5.24e-06,7.86e-08,0.0206310977986451,0.0388857134393941,0.0108537058859095,0.57908385242247
"617",20191008,"63900",0.0206012477843173,5.23e-06,7.845e-08,0.020607660223776,0.0388759466455709,0.0108513960265768,0.579173423742374
"618",20191008,"64900",0.0205861529960776,5.22e-06,7.83e-08,0.0205925654355363,0.0388777485377,0.0108518221830542,0.579156898320933
"619",20191008,"65900",0.0205891185693625,5.22e-06,7.83e-08,0.0205955310088212,0.0389269624630254,0.0108634603563363,0.578705595329373
