dia_mes_ano,hora_minuto,irr,temp,rainfall,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,vento_dir,vento_vel,n
20191115,150000,450.49,30.77,0,0.77,0.03,0,0,6.32,0.02,0,0,0.42,195,13.12,15
20191115,151500,501.63,30.85,0,0.67,0.02,0,0,5.5,0.01,0,0,0.43,171,13.57,15
20191115,153000,497.59,31.21,0,0.72,0.02,0,0,5.93,0.02,0,0,0.43,201,14.19,15
20191115,154500,381.87,30.68,0,0.87,0.03,0,0,7.14,0.02,0,0,0.42,222,16.85,15
20191115,160000,305.81,30.09,0,1.05,0.03,0,0,8.65,0.02,0,0,0.42,231,16.85,15
20191115,161500,284.93,30.2,0,1.06,0.03,0,0,8.76,0.02,0,0,0.42,228,14.19,15
20191115,163000,241.23,30.16,0,1.34,0.05,0,0,11.09,0.03,0,0,0.44,219,10.2,15
20191115,164500,194,29.86,0,1.43,0.05,0,0,11.78,0.03,0,0,0.45,222,12.77,15
20191115,170000,129.55,29.24,0,1.82,0.06,0,0,15,0.04,0,0,0.46,228,10.99,15
20191115,171500,42.53,17.96,0,1.55,0.05,0,0,12.76,0.03,0,0,0.47,210,9.13,15
20191115,173000,7.46,27.29,0,1.72,0.06,0,0,14.21,0.04,0,0,0.46,213,6.83,15
20191115,174500,0.08,26.49,0,1.81,0.06,0,0,14.9,0.04,0,0,0.46,210,4.7,15
20191115,180000,0,25.78,0,1.97,0.07,0,0,16.24,0.04,0,0,0.48,204,1.42,15
20191115,181500,0,24.9,0,2.16,0.07,0,0,17.81,0.05,0,0,0.5,222,0.18,15
20191115,183000,0,23.81,0,2.45,0.08,0,0,20.2,0.06,0,0,0.48,219,0,15
20191115,184500,0,23.45,0,3.15,0.1,0,0,25.99,0.07,0,0,0.48,180,0,15
20191115,190000,0,23.04,0,6.23,0.21,0,0,51.38,0.14,0,0,0.48,69,0,15
20191115,191500,0,22.52,0,7.51,0.25,0,0,61.93,0.17,0,0,0.48,66,0,15
20191115,193000,0.21,22.46,0,6.07,0.2,0,0,50.08,0.14,0,0,0.49,69,0,15
20191115,194500,0,22.05,0,6.82,0.23,0,0,56.24,0.15,0,0,0.49,69,0,15
20191115,200000,0,21.93,0,4.97,0.16,0,0,41,0.11,0,0,0.48,57,0,15
20191115,201500,0.29,21.57,0,5.21,0.17,0,0,42.97,0.12,0,0,0.48,51,0,15
20191115,203000,0,21.8,0,5.51,0.18,0,0,45.44,0.12,0,0,0.47,51,0,15
20191115,204500,0,21.42,0,5.74,0.19,0,0,47.4,0.13,0,0,0.47,60,0,15
20191115,210000,0,21.08,0,5.71,0.19,0,0,47.06,0.13,0,0,0.46,66,0,15
