vento_vel,tamanho_medio,massaPM1,rainfall,massaPM2,massaPM4,numPM4,irr,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
0.0,0.52,1.94,0.0,0.06,0.0,0.0,0.0,0.0,0.04,182100,station,-127.0,15.97,315.0,0.0,20191022.0
0.0,0.52,2.18,0.0,0.07,0.0,0.0,0.0,0.0,0.05,182200,station,-127.0,17.96,315.0,0.0,20191022.0
0.0,0.52,1.88,0.0,0.06,0.0,0.0,0.0,0.0,0.04,182300,station,-127.0,15.53,315.0,0.0,20191022.0
0.0,0.52,1.79,0.0,0.06,0.0,0.0,0.0,0.0,0.04,182400,station,-127.0,14.75,315.0,0.0,20191022.0
0.0,0.52,2.72,0.0,0.09,0.0,0.0,0.0,0.0,0.06,182500,station,-127.0,22.46,315.0,0.0,20191022.0
0.0,0.51,2.22,0.0,0.07,0.0,0.0,0.0,0.0,0.05,182600,station,-127.0,18.28,315.0,0.0,20191022.0
0.0,0.51,2.55,0.0,0.08,0.0,0.0,0.0,0.0,0.06,182700,station,-127.0,21.03,315.0,0.0,20191022.0
0.0,0.52,2.73,0.0,0.09,0.0,0.0,0.0,0.0,0.06,182800,station,-127.0,22.54,315.0,0.0,20191022.0
0.0,0.5,2.53,0.0,0.08,0.0,0.0,0.0,0.0,0.06,182900,station,-127.0,20.87,315.0,0.0,20191022.0
0.0,0.49,2.6,0.0,0.09,0.0,0.0,0.0,0.0,0.06,183000,station,-127.0,21.44,315.0,0.0,20191022.0
0.0,0.5,2.52,0.0,0.08,0.0,0.0,0.0,0.0,0.06,183100,station,-127.0,20.83,315.0,0.0,20191022.0
0.0,0.48,2.72,0.0,0.09,0.0,0.0,0.0,0.0,0.06,183200,station,-127.0,22.46,315.0,0.0,20191022.0
0.0,0.49,3.03,0.0,0.1,0.0,0.0,0.0,0.0,0.07,183300,station,-127.0,25.0,315.0,0.0,20191022.0
0.0,0.5,2.57,0.0,0.09,0.0,0.0,0.0,0.0,0.06,183400,station,-127.0,21.2,315.0,0.0,20191022.0
0.0,0.5,2.87,0.0,0.1,0.0,0.0,0.0,0.0,0.06,183500,station,-127.0,23.65,315.0,0.0,20191022.0
0.0,0.5,2.23,0.0,0.07,0.0,0.0,0.0,0.0,0.05,183600,station,-127.0,18.42,315.0,0.0,20191022.0
0.0,0.5,2.25,0.0,0.07,0.0,0.0,0.0,0.0,0.05,183700,station,-127.0,18.59,315.0,0.0,20191022.0
0.0,0.49,1.73,0.0,0.06,0.0,0.0,0.0,0.0,0.04,183800,station,-127.0,14.31,315.0,0.0,20191022.0
0.0,0.5,1.8,0.0,0.06,0.0,0.0,0.0,0.0,0.04,183900,station,-127.0,14.83,315.0,0.0,20191022.0
0.0,0.5,1.72,0.0,0.06,0.0,0.0,0.0,0.0,0.04,184000,station,-127.0,14.16,315.0,0.0,20191022.0
1.33,0.51,2.21,0.0,0.07,0.0,0.0,0.0,0.0,0.05,184100,station,-127.0,18.25,315.0,0.0,20191022.0
0.0,0.52,2.4,0.0,0.08,0.0,0.0,0.0,0.0,0.05,184200,station,-127.0,19.84,315.0,0.0,20191022.0
0.0,0.54,1.92,0.0,0.07,0.01,0.0,0.0,0.0,0.05,184300,station,-127.0,15.81,315.0,0.0,20191022.0
0.0,0.53,2.45,0.0,0.08,0.0,0.0,0.0,0.0,0.06,184400,station,-127.0,20.21,315.0,0.0,20191022.0
0.0,0.53,2.5,0.0,0.08,0.0,0.0,0.0,0.0,0.06,184500,station,-127.0,20.64,315.0,0.0,20191022.0
0.0,0.52,2.93,0.0,0.1,0.0,0.0,0.0,0.0,0.07,184600,station,-127.0,24.2,315.0,0.0,20191022.0
0.0,0.49,2.9,0.0,0.1,0.0,0.0,0.0,0.0,0.07,184700,station,-127.0,23.9,315.0,0.0,20191022.0
0.0,0.48,4.24,0.0,0.14,0.0,0.0,0.0,0.0,0.1,184800,station,-127.0,35.01,315.0,0.0,20191022.0
2.66,0.47,3.82,0.0,0.13,0.0,0.0,0.0,0.0,0.09,184900,station,-127.0,31.54,315.0,0.0,20191022.0
0.0,0.47,5.01,0.0,0.17,0.0,0.0,0.0,0.0,0.11,185000,station,-127.0,41.35,315.0,0.0,20191022.0
0.0,0.48,4.92,0.0,0.16,0.0,0.0,0.0,0.0,0.11,185100,station,-127.0,40.6,315.0,0.0,20191022.0
1.33,0.45,5.4,0.0,0.18,0.0,0.0,0.0,0.0,0.12,185200,station,-127.0,44.52,315.0,0.0,20191022.0
0.0,0.45,4.73,0.0,0.16,0.0,0.0,0.0,0.0,0.11,185300,station,-127.0,39.05,315.0,0.0,20191022.0
0.0,0.47,5.13,0.0,0.17,0.0,0.0,0.0,0.0,0.12,185400,station,-127.0,42.32,315.0,0.0,20191022.0
0.0,0.48,4.45,0.0,0.15,0.0,0.0,0.0,0.0,0.1,185500,station,-127.0,36.71,315.0,0.0,20191022.0
0.0,0.48,4.23,0.0,0.14,0.0,0.0,0.0,0.0,0.1,185600,station,-127.0,34.88,315.0,0.0,20191022.0
0.0,0.47,4.76,0.0,0.16,0.0,0.0,0.0,0.0,0.11,185700,station,-127.0,39.27,315.0,0.0,20191022.0
0.0,0.48,4.85,0.0,0.16,0.0,0.0,0.0,0.0,0.11,185800,station,-127.0,40.02,315.0,0.0,20191022.0
0.0,0.49,4.77,0.0,0.16,0.0,0.0,0.0,0.0,0.11,185900,station,-127.0,39.39,315.0,0.0,20191022.0
0.0,0.49,5.06,0.0,0.17,0.0,0.0,0.0,0.0,0.11,190000,station,-127.0,41.74,315.0,0.0,20191022.0
0.0,0.48,5.55,0.0,0.18,0.0,0.0,0.0,0.0,0.13,190100,station,-127.0,45.76,315.0,0.0,20191022.0
2.66,0.47,6.34,0.0,0.21,0.0,0.0,0.0,0.0,0.14,190200,station,-127.0,52.34,315.0,0.0,20191022.0
0.0,0.47,6.83,0.0,0.23,0.0,0.0,0.0,0.0,0.15,190300,station,-127.0,56.37,315.0,0.0,20191022.0
0.0,0.45,6.57,0.0,0.22,0.0,0.0,0.0,0.0,0.15,190400,station,-127.0,54.17,315.0,0.0,20191022.0
1.33,0.47,5.62,0.0,0.19,0.0,0.0,0.0,0.0,0.13,190500,station,-127.0,46.35,315.0,0.0,20191022.0
0.0,0.48,5.66,0.0,0.19,0.0,0.0,0.0,0.0,0.13,190600,station,-127.0,46.69,315.0,0.0,20191022.0
0.0,0.48,5.14,0.0,0.17,0.0,0.0,0.0,0.0,0.12,190700,station,-127.0,42.41,315.0,0.0,20191022.0
0.0,0.5,4.89,0.0,0.16,0.0,0.0,0.0,0.0,0.11,190800,station,-127.0,40.32,315.0,0.0,20191022.0
0.0,0.48,4.1,0.0,0.14,0.0,0.0,0.0,0.0,0.09,190900,station,-127.0,33.86,315.0,0.0,20191022.0
0.0,0.48,3.79,0.0,0.13,0.0,0.0,0.0,0.0,0.09,191000,station,-127.0,31.3,315.0,0.0,20191022.0
0.0,0.47,4.11,0.0,0.14,0.0,0.0,0.0,0.0,0.09,191100,station,-127.0,33.94,315.0,0.0,20191022.0
0.0,0.47,3.78,0.0,0.13,0.0,0.0,0.0,0.0,0.09,191200,station,-127.0,31.18,315.0,0.0,20191022.0
0.0,0.47,3.5,0.0,0.12,0.0,0.0,0.0,0.0,0.08,191300,station,-127.0,28.88,315.0,0.0,20191022.0
0.0,0.47,3.85,0.0,0.13,0.0,0.0,0.0,0.0,0.09,191400,station,-127.0,31.79,315.0,0.0,20191022.0
0.0,0.47,3.81,0.0,0.13,0.0,0.0,0.0,0.0,0.09,191500,station,-127.0,31.47,315.0,0.0,20191022.0
0.0,0.48,3.24,0.0,0.11,0.0,0.0,0.0,0.0,0.07,191600,station,-127.0,26.75,315.0,0.0,20191022.0
0.0,0.49,3.08,0.0,0.1,0.0,0.0,0.0,0.0,0.07,191700,station,-127.0,25.43,315.0,0.0,20191022.0
0.0,0.51,3.62,0.0,0.12,0.0,0.0,0.0,0.0,0.08,191800,station,-127.0,29.89,315.0,0.0,20191022.0
0.0,0.5,3.53,0.0,0.12,0.0,0.0,0.0,0.0,0.08,191900,station,-127.0,29.15,315.0,0.0,20191022.0
0.0,0.49,3.86,0.0,0.13,0.0,0.0,0.0,0.0,0.09,192000,station,-127.0,31.87,315.0,0.0,20191022.0
0.0,0.49,4.02,0.0,0.13,0.0,0.0,0.0,0.0,0.09,192100,station,-127.0,33.15,315.0,0.0,20191022.0
0.0,0.5,3.95,0.0,0.13,0.0,0.0,0.0,0.0,0.09,192200,station,-127.0,32.58,315.0,0.0,20191022.0
0.0,0.49,4.23,0.0,0.14,0.0,0.0,0.0,0.0,0.1,192300,station,-127.0,34.91,315.0,0.0,20191022.0
0.0,0.5,4.82,0.0,0.16,0.0,0.0,0.0,0.0,0.11,192400,station,-127.0,39.73,315.0,0.0,20191022.0
0.0,0.49,4.7,0.0,0.16,0.0,0.0,0.0,0.0,0.11,192500,station,-127.0,38.76,315.0,0.0,20191022.0
