rainfall,tamanho_medio,vento_vel,massaPM1,massaPM2,irr,massaPM4,numPM4,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
0.0,0.0,0.41,5.47,0.18,52.16,0.0,0.0,0.0,0.12,170400,station,0.0,45.11,90.0,0.0,20191003.0
0.0,1.33,0.43,5.17,0.17,44.22,0.0,0.0,0.0,0.12,170500,station,0.0,42.62,90.0,0.0,20191003.0
0.0,2.66,0.45,5.46,0.18,44.22,0.0,0.0,0.0,0.12,170600,station,0.0,45.05,180.0,0.0,20191003.0
0.0,5.32,0.46,4.67,0.16,44.22,0.0,0.0,0.0,0.11,170700,station,0.0,38.5,180.0,0.0,20191003.0
0.0,2.66,0.48,5.41,0.18,40.26,0.0,0.0,0.0,0.12,170800,station,0.0,44.61,225.0,0.0,20191003.0
0.0,7.98,0.46,6.15,0.2,34.31,0.0,0.0,0.0,0.14,170900,station,0.0,50.74,180.0,0.0,20191003.0
0.0,5.32,0.47,4.77,0.16,42.24,0.0,0.0,0.0,0.11,171100,station,29.69,39.36,180.0,0.0,20191003.0
0.0,6.65,0.46,4.92,0.16,32.33,0.0,0.0,0.0,0.11,171200,station,29.62,40.63,180.0,0.0,20191003.0
0.0,7.98,0.45,4.82,0.16,208.83,0.0,0.0,0.0,0.11,171300,station,29.56,39.74,180.0,0.0,20191003.0
0.75,7.98,0.43,5.13,0.17,30.34,0.0,0.0,0.0,0.12,171400,station,29.5,42.31,135.0,0.0,20191003.0
0.75,6.65,0.45,5.36,0.18,18.44,0.0,0.0,0.0,0.12,171500,station,29.62,44.2,180.0,0.0,20191003.0
0.75,3.99,0.46,5.31,0.18,18.44,0.0,0.0,0.0,0.12,171600,station,29.44,43.83,135.0,0.0,20191003.0
0.75,6.65,0.44,4.9,0.16,28.36,0.0,0.0,0.0,0.11,171700,station,29.5,40.41,180.0,0.0,20191003.0
0.75,2.66,0.44,4.85,0.16,28.36,0.0,0.0,0.0,0.11,171800,station,29.56,39.98,135.0,0.0,20191003.0
0.75,1.33,0.45,4.81,0.16,30.34,0.0,0.0,0.0,0.11,171900,station,29.56,39.65,315.0,0.0,20191003.0
0.75,3.99,0.45,4.88,0.16,22.41,0.0,0.0,0.0,0.11,172000,station,29.5,40.3,180.0,0.0,20191003.0
0.75,5.32,0.44,5.25,0.17,22.41,0.0,0.0,0.0,0.12,172100,station,29.5,43.29,180.0,0.0,20191003.0
0.75,5.32,0.43,3.94,0.13,24.39,0.0,0.0,0.0,0.09,172200,station,29.62,32.47,180.0,0.0,20191003.0
0.75,5.32,0.42,4.83,0.16,18.44,0.0,0.0,0.0,0.11,172300,station,29.5,39.81,225.0,0.0,20191003.0
0.75,3.99,0.42,4.85,0.16,20.43,0.0,0.0,0.0,0.11,172400,station,29.44,40.01,180.0,0.0,20191003.0
0.75,10.64,0.43,4.34,0.14,20.43,0.0,0.0,0.0,0.1,172500,station,29.56,35.83,135.0,0.0,20191003.0
0.75,5.32,0.44,4.84,0.16,16.46,0.0,0.0,0.0,0.11,172600,station,29.56,39.91,135.0,0.0,20191003.0
0.75,2.66,0.45,4.7,0.16,8.53,0.0,0.0,0.0,0.11,172700,station,29.56,38.81,135.0,0.0,20191003.0
0.75,2.66,0.46,4.99,0.17,10.51,0.0,0.0,0.0,0.11,172800,station,29.44,41.15,180.0,0.0,20191003.0
0.75,6.65,0.46,4.09,0.14,8.53,0.0,0.0,0.0,0.09,172900,station,29.56,33.75,135.0,0.0,20191003.0
0.75,13.3,0.47,4.15,0.14,6.54,0.0,0.0,0.0,0.09,173000,station,29.44,34.21,225.0,0.0,20191003.0
0.75,5.32,0.46,3.88,0.13,0.0,0.0,0.0,0.0,0.09,173100,station,29.44,31.98,180.0,0.0,20191003.0
0.75,7.98,0.47,4.36,0.15,2.58,0.0,0.0,0.0,0.1,173200,station,29.56,36.01,135.0,0.0,20191003.0
0.75,2.66,0.48,4.11,0.14,0.0,0.0,0.0,0.0,0.09,173300,station,29.38,33.87,180.0,0.0,20191003.0
0.75,5.32,0.46,4.92,0.16,2.58,0.0,0.0,0.0,0.11,173400,station,29.56,40.59,225.0,0.0,20191003.0
0.75,6.65,0.46,4.04,0.13,0.0,0.0,0.0,0.0,0.09,173500,station,29.5,33.31,180.0,0.0,20191003.0
0.75,1.33,0.46,4.42,0.15,0.0,0.0,0.0,0.0,0.1,173600,station,29.5,36.44,90.0,0.0,20191003.0
0.75,7.98,0.47,4.61,0.15,0.0,0.0,0.0,0.0,0.1,173700,station,29.5,38.07,180.0,0.0,20191003.0
0.75,1.33,0.49,4.36,0.14,0.0,0.0,0.0,0.0,0.1,173800,station,29.44,35.93,135.0,0.0,20191003.0
0.75,2.66,0.47,4.97,0.17,0.0,0.0,0.0,0.0,0.11,173900,station,29.38,41.0,180.0,0.0,20191003.0
0.75,2.66,0.48,4.34,0.14,4.56,0.0,0.0,0.0,0.1,174000,station,29.5,35.77,180.0,0.0,20191003.0
0.75,7.98,0.48,4.54,0.15,0.0,0.0,0.0,0.0,0.1,174100,station,29.44,37.48,180.0,0.0,20191003.0
0.75,3.99,0.47,4.52,0.15,0.0,0.0,0.0,0.0,0.1,174200,station,29.44,37.27,180.0,0.0,20191003.0
0.75,5.32,0.45,4.53,0.15,0.0,0.0,0.0,0.0,0.1,174300,station,29.38,37.33,180.0,0.0,20191003.0
0.75,2.66,0.47,4.65,0.15,0.0,0.0,0.0,0.0,0.11,174400,station,29.31,38.34,225.0,0.0,20191003.0
0.75,3.99,0.46,4.7,0.16,0.0,0.0,0.0,0.0,0.11,174500,station,29.25,38.76,180.0,0.0,20191003.0
0.75,5.32,0.46,4.4,0.15,0.0,0.0,0.0,0.0,0.1,174600,station,29.19,36.31,180.0,0.0,20191003.0
0.75,3.99,0.47,4.62,0.15,0.0,0.0,0.0,0.0,0.1,174700,station,29.25,38.15,180.0,0.0,20191003.0
0.75,2.66,0.48,4.58,0.15,0.0,0.0,0.0,0.0,0.1,174800,station,29.06,37.81,135.0,0.0,20191003.0
0.75,2.66,0.47,4.82,0.16,0.0,0.0,0.0,0.0,0.11,174900,station,29.12,39.77,180.0,0.0,20191003.0
0.75,0.0,0.45,4.16,0.14,0.0,0.0,0.0,0.0,0.09,175000,station,29.06,34.33,180.0,0.0,20191003.0
0.75,2.66,0.45,4.69,0.16,0.0,0.0,0.0,0.0,0.11,175100,station,29.12,38.66,180.0,0.0,20191003.0
0.75,2.66,0.47,5.14,0.17,0.0,0.0,0.0,0.0,0.12,175200,station,29.12,42.44,180.0,0.0,20191003.0
0.75,1.33,0.46,4.77,0.16,0.0,0.0,0.0,0.0,0.11,175300,station,29.0,39.34,135.0,0.0,20191003.0
0.75,7.98,0.46,5.5,0.18,0.0,0.0,0.0,0.0,0.12,175400,station,28.88,45.41,135.0,0.0,20191003.0
0.75,0.0,0.47,6.57,0.22,0.0,0.0,0.0,0.0,0.15,175500,station,29.06,54.2,135.0,0.0,20191003.0
0.75,2.66,0.47,6.29,0.21,0.0,0.0,0.0,0.0,0.14,175600,station,28.94,51.91,135.0,0.0,20191003.0
0.75,6.65,0.46,7.27,0.24,0.0,0.0,0.0,0.0,0.16,175700,station,29.0,59.95,90.0,0.0,20191003.0
0.75,9.31,0.49,6.78,0.23,4.56,0.0,0.0,0.0,0.15,175800,station,29.06,55.91,90.0,0.0,20191003.0
0.75,5.32,0.51,6.0,0.2,0.0,0.0,0.0,0.0,0.14,175900,station,28.94,49.46,90.0,0.0,20191003.0
0.75,6.65,0.5,6.02,0.2,0.0,0.0,0.0,0.0,0.14,180000,station,28.94,49.63,90.0,0.0,20191003.0
0.75,7.98,0.48,5.55,0.18,0.0,0.0,0.0,0.0,0.13,180100,station,28.94,45.8,90.0,0.0,20191003.0
0.75,29.26,0.46,5.5,0.18,0.0,0.0,0.0,0.0,0.12,180200,station,29.0,45.42,45.0,0.0,20191003.0
0.75,23.94,0.46,4.1,0.14,0.0,0.0,0.0,0.0,0.09,180300,station,28.38,33.84,90.0,0.0,20191003.0
0.75,23.94,0.46,4.75,0.16,0.0,0.0,0.0,0.0,0.11,180400,station,28.31,39.19,45.0,0.0,20191003.0
0.75,19.95,0.47,4.61,0.15,0.0,0.0,0.0,0.0,0.1,180500,station,28.38,38.02,45.0,0.0,20191003.0
0.75,21.28,0.46,4.75,0.16,0.0,0.0,0.0,0.0,0.11,180600,station,28.31,39.21,90.0,0.0,20191003.0
0.75,13.3,0.47,5.24,0.17,0.0,0.0,0.0,0.0,0.12,180700,station,28.19,43.24,90.0,0.0,20191003.0
0.75,21.28,0.47,4.83,0.16,0.0,0.0,0.0,0.0,0.11,180800,station,28.31,39.84,90.0,0.0,20191003.0
0.75,15.96,0.48,5.14,0.17,0.0,0.0,0.0,0.0,0.12,180900,station,28.25,42.4,90.0,0.0,20191003.0
0.75,13.3,0.47,5.53,0.18,0.0,0.0,0.0,0.0,0.13,181000,station,28.25,45.59,90.0,0.0,20191003.0
0.75,13.3,0.45,5.32,0.18,0.0,0.0,0.0,0.0,0.12,181100,station,28.19,43.93,45.0,0.0,20191003.0
0.75,15.96,0.46,5.71,0.19,0.6,0.0,0.0,0.0,0.13,181200,station,28.12,47.11,135.0,0.0,20191003.0
0.75,11.97,0.45,4.9,0.16,0.0,0.0,0.0,0.0,0.11,181300,station,28.25,40.45,45.0,0.0,20191003.0
0.75,19.95,0.46,5.06,0.17,0.0,0.0,0.0,0.0,0.11,181400,station,28.19,41.76,135.0,0.0,20191003.0
0.75,13.3,0.47,6.37,0.21,0.0,0.0,0.0,0.0,0.14,181500,station,28.12,52.55,90.0,0.0,20191003.0
0.75,13.3,0.47,6.15,0.2,0.0,0.0,0.0,0.0,0.14,181600,station,28.12,50.76,45.0,0.0,20191003.0
0.75,7.98,0.48,7.34,0.24,0.0,0.0,0.0,0.0,0.17,181700,station,28.12,60.59,90.0,0.0,20191003.0
0.75,13.3,0.48,5.95,0.2,0.0,0.0,0.0,0.0,0.13,181800,station,28.12,49.12,45.0,0.0,20191003.0
0.75,15.96,0.46,5.71,0.19,0.0,0.0,0.0,0.0,0.13,181900,station,28.0,47.14,45.0,0.0,20191003.0
0.75,15.96,0.45,5.08,0.17,0.0,0.0,0.0,0.0,0.12,182000,station,28.06,41.95,90.0,0.0,20191003.0
0.75,13.3,0.45,5.39,0.18,0.0,0.0,0.0,0.0,0.12,182100,station,28.19,44.47,90.0,0.0,20191003.0
0.75,7.98,0.46,4.52,0.15,0.0,0.0,0.0,0.0,0.1,182200,station,28.12,37.3,45.0,0.0,20191003.0
0.75,6.65,0.47,4.72,0.16,0.0,0.0,0.0,0.0,0.11,182300,station,28.0,38.97,90.0,0.0,20191003.0
0.75,5.32,0.46,4.72,0.16,0.0,0.0,0.0,0.0,0.11,182400,station,28.0,38.93,45.0,0.0,20191003.0
0.75,21.28,0.45,4.87,0.16,0.0,0.0,0.0,0.0,0.11,182500,station,28.0,40.16,90.0,0.0,20191003.0
0.75,17.29,0.46,4.64,0.15,0.0,0.0,0.0,0.0,0.11,182600,station,28.12,38.24,90.0,0.0,20191003.0
