dia_mes_ano,hora_minuto,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,n
20191101,045800,5,0.08,218.7,6,0.08,443.95,2
20191101,050000,12.13,0.31,217.13,62.33,0.18,499.13,15
20191101,051500,25.33,0.83,216.63,176.87,0.38,527.49,15
20191101,053000,38.87,1.35,216.61,291,0.58,545.47,15
20191101,054500,61.87,2.33,216.07,499.8,0.94,557.35,15
20191101,060000,126.53,4.9,217.67,1063.6,1.95,560.8,15
20191101,061500,187.07,7.45,217.29,1617.13,2.94,560.94,15
20191101,063000,252.4,10.28,216.83,2226.2,3.98,567.35,15
20191101,064500,317.53,13.16,217.19,2857.8,5.13,564.98,15
20191101,070000,382.67,15.96,216.47,3421.13,6.22,564.17,15
20191101,071500,447.93,18.68,215.97,4034,7.33,557.85,15
20191101,073000,518.93,21.34,216.95,4633.93,8.47,553.44,15
20191101,074500,583.47,23.77,216.9,5153.8,9.57,548.07,15
20191101,080000,629.53,25.73,214.55,5522.07,10.36,540.25,15
20191101,081500,681.93,27.65,214.97,5946.6,11.23,537.83,15
20191101,083000,743.07,29.57,216.04,6360.53,12.21,535.53,15
20191101,084500,788.87,31.12,216.2,6730.6,12.95,527.18,15
20191101,090000,843,32.87,216.61,7119.27,13.86,521.95,15
20191101,091500,886.93,33.9,217.65,7383.67,14.57,514.33,15
20191101,093000,930.73,35.53,216.89,7709.53,15.3,512.12,15
20191101,094500,966.53,36.26,217.21,7876.67,15.85,505.52,15
20191101,100000,1002.4,37.48,217.34,8149.53,16.56,501.27,15
20191101,101500,934.73,34.94,217.34,7569.93,15.25,507.79,15
20191101,103000,982.6,36.87,216.72,7995.6,16.03,508.03,15
20191101,104500,1031.6,37.74,216.17,8160.73,15.86,523.55,15
20191101,110000,1075.6,37.77,219.13,8278.93,15.71,536.45,15
20191101,111500,1023.4,36.11,219.09,7955.67,15.28,525.81,15
20191101,113000,1080.07,37.43,218.37,8124,15.99,526.35,15
20191101,114500,1046.6,37.42,217.71,8138.2,16.2,513.88,15
20191101,120000,1051.47,37.49,219.05,8216.8,16.27,513.91,15
20191101,121500,1076.93,37.47,220.87,8278.4,16.23,519.13,15
20191101,123000,846.13,29.31,218.48,6458.2,12.63,515.52,15
20191101,124500,966.6,35.09,220.41,7754.47,15.29,516.63,15
20191101,130000,1010.2,36.4,219.73,7971.4,16.39,497.41,15
20191101,131500,705.73,25.53,216.49,5592.93,11.41,494.72,15
20191101,133000,655.4,24.56,214.03,5350.47,10.47,513.18,15
20191101,134500,678.73,24.27,215.73,5305.67,10.44,509.04,15
20191101,140000,669,24.98,216.64,5497.33,10.75,510.57,15
20191101,141500,663.67,25.35,215.41,5486.8,10.76,512.35,15
20191101,143000,696.53,26.28,216.48,5691.13,11.24,513.65,15
20191101,144500,645.13,24.32,215.12,5210.47,10.32,513.8,15
20191101,150000,555.67,20.93,215.57,4512.07,8.9,512.19,15
20191101,151500,515.6,19.24,214.62,4130.67,8.27,506.07,15
20191101,153000,457.13,17,214.85,3652.53,7.28,508.64,15
20191101,154500,259.73,9.55,213.14,2047.47,4.16,493.85,15
20191101,160000,80.4,3.05,212.38,652.47,1.35,500.87,15
20191101,161500,161.73,4.94,214.17,1057.6,2.23,495.63,15
20191101,163000,146.73,4.53,213.28,964,2.09,478.48,15
20191101,164500,82.47,2.46,213.34,523.53,1.12,485.34,15
20191101,170000,50,1.26,213.95,265.93,0.59,488.49,15
20191101,171500,22.6,0.73,213.57,153.53,0.37,481.75,15
20191101,173000,11.87,0.31,213.03,62.6,0.2,432.21,15
20191101,174500,0.8,0.08,213.78,1,0.03,439.35,15
20191101,180000,0,0.08,213.8,0,0,218.12,15
20191101,181500,0,0.08,213.8,0,0,42.97,15
20191101,183000,0,0.08,213.8,0,0,38.89,15
20191101,184500,0,0.08,213.8,0,0,38.28,15
20191101,190000,0,0.08,213.8,0,0,38.62,15
20191101,191500,0,0.08,213.8,0,0,38.37,15
20191101,193000,0,0.08,213.8,0,0,38.69,15
20191101,194500,0,0.08,213.8,0,0,37.72,15
20191101,200000,0,0.08,213.8,0,0,38.07,15
20191101,201500,0,0.08,213.8,0,0,37.5,15
20191101,203000,0,0.08,213.8,0,0,38.06,15
20191101,204500,0,0.08,213.8,0,0,39.07,15
20191101,210000,0,0.08,213.8,0,0,39.59,15
20191101,211500,0,0.08,213.8,0,0,39.93,15
20191101,213000,0,0.08,213.8,0,0,40,15
20191101,214500,0,0.08,213.8,0,0,38.79,15
20191101,220000,0,0.08,213.8,0,0,38.91,15
20191101,221500,0,0.08,213.8,0,0,39.33,15
20191101,223000,0,0.08,213.8,0,0,39.41,15
20191101,224500,0,0.08,213.8,0,0,40.41,15
20191101,230000,0,0.09,207.6,0,0,37.83,15
20191101,231500,0,0.09,207.6,0,0,37.37,15
20191101,233000,0,0.09,207.6,0,0,37.57,15
20191101,234500,0,0.09,207.6,0,0,38.38,15
