dia_mes_ano,m,hora_minuto,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,n
20191019,3,004500,0.04,10.258000000000001,0.3413333333333333,0,0,84.63,0.232,0,0,0.444,22.982666666666667,153,3.280666666666667,15
20191019,0,010000,0,10.367333333333333,0.3446666666666667,0,0,85.53533333333333,0.23600000000000002,0,0,0.442,22.852,150,1.596,15
20191019,1,011500,0.516,9.556000000000001,0.31866666666666665,0,0,78.84533333333333,0.216,0,0,0.44866666666666666,22.84133333333333,180,2.926,15
20191019,2,013000,0.17200000000000001,9.389333333333333,0.31266666666666665,0,0,77.45133333333334,0.21266666666666667,0,0,0.43933333333333335,22.370666666666665,189,2.8373333333333335,15
20191019,3,014500,0.04,9.849333333333334,0.328,0,0,81.268,0.222,0,0,0.45266666666666666,22.082,192,0.8866666666666667,15
20191019,0,020000,0.04,9.592,0.31933333333333336,0,0,79.12533333333333,0.21666666666666667,0,0,0.44866666666666666,21.590666666666667,195,1.2413333333333334,15
20191019,1,021500,0,10.65,0.3546666666666667,0,0,87.86333333333333,0.24133333333333334,0,0,0.4553333333333333,21.628666666666668,186,2.394,15
20191019,2,023000,0,10.39,0.3453333333333333,0,0,85.72333333333333,0.23533333333333334,0,0,0.45266666666666666,21.834666666666667,162,0.7093333333333334,15
20191019,3,024500,0.08,9.561333333333334,0.318,0,0,78.884,0.21666666666666667,0,0,0.44933333333333336,21.829333333333334,135,0,15
20191019,0,030000,0.04,8.774666666666667,0.29133333333333333,0,0,72.39066666666666,0.2,0,0,0.43933333333333335,21.808666666666667,135,1.862,15
20191019,1,031500,0,8.150666666666666,0.27066666666666667,0,0,67.24866666666667,0.18666666666666668,0,0,0.44333333333333336,22.212,120,3.724,15
20191019,2,033000,0.516,8.233333333333333,0.274,0,0,67.92466666666667,0.186,0,0,0.438,22.212,132,2.128,15
20191019,3,034500,0.252,8.288666666666666,0.276,0,0,68.39,0.18733333333333332,0,0,0.448,22.097333333333335,117,2.748666666666667,15
20191019,0,040000,0.08,8.756666666666666,0.2906666666666667,0,0,72.25133333333333,0.19933333333333333,0,0,0.45466666666666666,22.107333333333333,96,11.704,15
20191019,1,041500,0.34400000000000003,8.746,0.292,0,0,72.14933333333333,0.19733333333333333,0,0,0.44933333333333336,22.061333333333334,96,9.132666666666667,15
20191019,2,043000,0,8.420666666666667,0.28200000000000003,0,0,69.46933333333334,0.19133333333333333,0,0,0.44533333333333336,22.266,99,11.172,15
20191019,3,044500,0.12,8.311333333333334,0.276,0,0,68.57933333333334,0.18866666666666668,0,0,0.446,22.237333333333332,81,10.906,15
20191019,0,050000,0.768,8.128,0.27066666666666667,0,0,67.05266666666667,0.186,0,0,0.44666666666666666,22.442666666666668,87,10.551333333333334,15
20191019,1,051500,23.070666666666668,8.26,0.276,0,0,68.152,0.18733333333333332,0,0,0.44333333333333336,22.772000000000002,81,10.817333333333334,15
20191019,2,053000,41.843333333333334,8.112666666666668,0.2693333333333333,0,0,66.934,0.184,0,0,0.44933333333333336,23.204,96,8.955333333333334,15
20191019,3,054500,84.54933333333334,7.924,0.264,0,0,65.37,0.17866666666666667,0,0,0.444,24.104666666666667,114,4.078666666666667,15
20191019,0,060000,110.32866666666666,7.931333333333334,0.26333333333333336,0,0,65.43533333333333,0.17933333333333334,0,0,0.45466666666666666,25.162666666666667,120,5.054,15
20191019,1,061500,127.648,7.830666666666667,0.262,0,0,64.60066666666667,0.17733333333333334,0,0,0.458,24.770666666666667,81,6.738666666666667,15
20191019,2,063000,165.19666666666666,12.164,0.4033333333333333,0,0,100.35466666666666,0.2753333333333333,0.0013333333333333333,0,0.44,25.288,63,10.994666666666667,15
20191019,3,064500,268.18733333333336,17.561333333333334,0.5846666666666667,0,0,144.88533333333334,0.398,0.01,0,0.42733333333333334,26.646,54,12.679333333333334,15
20191019,0,070000,304.41333333333336,15.596,0.5193333333333333,0,0,128.65666666666667,0.352,0.004,0,0.43533333333333335,27.333333333333332,102,14.098,15
20191019,1,071500,321.3353333333333,14.729333333333333,0.49066666666666664,0,0,121.50866666666667,0.33266666666666667,0,0,0.43333333333333335,28.297333333333334,57,10.462666666666667,15
20191019,2,073000,501.3392857142857,12.562857142857142,0.4185714285714286,0,0,103.64571428571429,0.28500000000000003,0,0,0.42428571428571427,30.085714285714285,61.07142857142857,10.450000000000001,14
20191019,3,074500,550.586,11.074666666666667,0.36933333333333335,0,0,91.36666666666666,0.25133333333333335,0,0,0.43,31.099333333333334,72,13.122666666666667,15
20191019,0,080000,653.1813333333333,9.916,0.33,0,0,81.802,0.224,0,0,0.43066666666666664,31.874666666666666,54,13.477333333333334,15
20191019,1,081500,731.7146666666666,9.842,0.328,0,0,81.19733333333333,0.22333333333333333,0,0,0.42266666666666663,32.840666666666664,63,11.704,15
20191019,2,083000,683.8533333333334,9.040666666666667,0.3006666666666667,0,0,74.582,0.20466666666666666,0,0,0.43333333333333335,33.275333333333336,54,10.906,15
20191019,3,084500,463.858,8.054666666666666,0.268,0,0,66.45533333333333,0.18133333333333335,0,0,0.43133333333333335,32.471333333333334,99,9.132666666666667,15
20191019,0,090000,602.1957142857143,7.835714285714285,0.26,0,0,64.64214285714286,0.17785714285714285,0,0,0.43,33.615,118.92857142857143,7.41,14
20191019,1,091500,600.4306666666666,7.291333333333333,0.24133333333333332,0,0,60.158,0.16533333333333333,0,0,0.422,34.882666666666665,144,3.3693333333333335,15
20191019,2,093000,789.2253333333333,7.820666666666667,0.44933333333333336,0.14333333333333334,0.02266666666666667,64.222,0.38066666666666665,0.026000000000000002,0.004,0.42933333333333334,35.43533333333333,102,6.916,15
20191019,3,094500,990.184,8.491333333333333,0.2833333333333333,0,0,70.05533333333334,0.19333333333333333,0,0,0.426,37.300000000000004,228,8.423333333333334,15
20191019,0,100000,782.2186666666666,8.437333333333333,0.2806666666666667,0,0,69.61266666666667,0.19066666666666668,0,0,0.41733333333333333,36.76133333333333,204,7.536666666666667,15
20191019,1,101500,545.4306666666666,6.998666666666667,0.234,0,0,57.74133333333333,0.158,0,0,0.41866666666666663,34.86666666666667,210,7.448,15
20191019,2,103000,561.1171428571429,7.176428571428572,0.2392857142857143,0,0,59.199285714285715,0.16285714285714287,0,0,0.4178571428571428,35.64,228.21428571428572,6.65,14
