dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20200402,074100,3218,14.69,5.93,219.2,550.1,368
20200402,074200,3318,15.11,6.15,219.5,545.1,380
20200402,074300,3399,15.52,6.31,219.5,549.8,389
20200402,074400,3561,16.24,6.58,219.6,545.2,409
20200402,074500,3643,16.62,6.78,219.5,549.1,420
20200402,074600,3675,16.73,6.77,219.6,547.3,424
20200402,074700,3762,17.13,6.93,219.6,549,432
20200402,074800,3900,17.74,7.25,219.8,544.8,449
20200402,074900,3945,17.97,7.3,219.6,549.4,455
20200402,075000,4038,18.36,7.53,220,542,465
20200402,075100,3989,18.11,7.63,220.1,530.7,470
20200402,075200,3989,18.14,7.58,220.1,534.6,470
20200402,075300,4144,18.87,7.76,219.9,544.3,481
20200402,075400,4155,18.88,7.78,220.1,543.6,481
20200402,075500,4182,18.99,7.87,220.3,543.5,487
20200402,075600,4140,18.82,7.83,220,531.4,487
20200402,075700,4144,18.85,7.98,219.9,529.2,491
20200402,075800,4221,19.16,7.94,220.1,535.1,491
20200402,075900,4179,18.96,8.03,220.1,529.8,494
20200402,080000,4061,18.44,7.97,220.1,519.5,494
20200402,080100,4131,18.76,7.99,220,526.2,497
20200402,080200,4089,18.59,8.04,220,515.4,497
20200402,080300,4121,18.73,8.34,220,504.8,511
20200402,080400,4086,18.55,8.18,220.1,504,509
20200402,080500,4194,19.08,8.5,219.8,501.6,522
20200402,080600,4235,19.25,8.53,220,508.6,526
20200402,080700,4383,19.93,8.73,220.2,506.7,548
20200402,080800,4359,19.82,8.86,220,502.6,549
20200402,080900,4428,20.13,8.92,219.9,504.1,552
20200402,081000,4428,19.98,8.84,219.9,503.5,552
20200402,081100,4396,19.98,8.71,220.1,510.4,549
20200402,081200,4461,20.27,8.96,220.2,502.1,557
20200402,081300,4438,20.16,8.8,220.2,511.5,555
20200402,081400,4396,20.02,9.03,219.8,493.3,558
20200402,081500,4401,20.01,8.75,219.9,510.7,564
20200402,081600,4308,19.39,8.8,219.8,498.9,560
20200402,081700,4122,18.76,8.76,219.6,478.2,541
20200402,081800,4149,18.92,8.68,219.3,483.7,537
20200402,081900,4200,19.17,8.23,219.8,521.1,537
20200402,082000,4200,19.1,8.66,219.8,497.4,535
20200402,082100,4206,19.16,8.69,219.6,494.4,537
20200402,082200,4230,19.27,8.67,219.4,493.2,538
20200402,082300,4239,19.36,8.78,219.7,493.1,537
20200402,082400,4283,19.4,8.31,219.4,513.1,535
20200402,082500,4272,19.46,8.66,220.1,503.5,538
20200402,082600,4608,20.9,8.99,220.4,524.3,552
20200402,082700,4716,21.39,8.93,220.6,535.2,554
20200402,082800,4724,21.41,8.99,220.8,531.3,555
20200402,082900,4749,21.52,9.03,220.8,535.6,557
20200402,083000,4801,21.74,9.16,220.6,535.4,564
20200402,083100,4828,21.88,9.29,220.4,526.6,567
20200402,083200,4698,21.31,9.17,220.5,520.7,564
20200402,083300,4887,22.18,9.41,220.6,530.5,576
20200402,083400,4926,22.31,9.44,220.8,529.8,580
20200402,083500,5034,22.85,9.74,220.6,529.4,595
20200402,083600,5142,23.26,9.82,221.1,528.2,607
20200402,083700,4884,22.21,9.81,220.6,507.6,602
20200402,083800,4923,22.33,9.98,220.4,504.1,613
20200402,083900,4893,22.3,9.83,220.3,501.4,611
20200402,084000,4758,21.61,9.7,220.3,496.2,604
20200402,084100,4877,22.14,9.98,220.3,495.7,613
20200402,084200,5019,22.77,10.08,220.3,514.7,631
20200402,084300,5031,22.89,10.23,220.2,497.9,633
20200402,084400,5055,22.96,10.28,220.1,497.1,636
20200402,084500,5148,23.31,10.59,220.7,494.4,647
20200402,084600,5064,23,10.39,220.7,497.2,639
20200402,084700,5235,23.68,10.09,220.8,527.2,621
20200402,084800,5448,24.68,10.51,220.8,523,647
20200402,084900,5493,24.83,10.68,221.2,523.5,653
20200402,085000,5420,24.52,10.76,220.9,514.9,671
20200402,085100,5244,23.77,10.66,220.6,496,657
20200402,085200,5394,24.43,10.97,220.6,494.5,677
20200402,085300,5393,24.42,11.2,220.8,489.2,692
20200402,085400,5471,24.66,11.47,220.8,482.5,704
20200402,085500,5463,24.75,11.36,220.8,485.3,701
20200402,085600,5505,24.93,11.52,220.6,488.5,706
20200402,085700,5442,24.69,11.32,220.4,492.5,698
20200402,085800,5253,23.81,10.94,220.5,485.8,675
20200402,085900,5103,23.15,10.66,220.4,484.3,654
20200402,090000,5316,24.1,11,220.5,491.4,680
20200402,090100,5262,23.93,11.05,220.2,482,680
20200402,090200,5421,24.6,11.53,220.6,480.2,703
20200402,090300,5352,24.13,10.94,220.3,490.5,688
20200402,090400,5370,24.34,11.16,220.5,489.3,689
20200402,090500,5367,24.37,10.99,220.2,493.5,694
20200402,090600,5388,24.48,11.09,220,492.6,697
20200402,090700,5566,25.27,11.65,220.6,486.1,718
20200402,090800,5742,26,11.94,220.8,492,739
20200402,090900,5775,26.17,11.88,220.6,496,747
20200402,091000,5793,26.27,12.22,220.4,485.1,752
20200402,091100,5808,26.31,12.3,220.8,483.8,756
20200402,091200,5808,26.29,11.9,220.8,497.5,756
20200402,091300,5667,25.68,12.37,220.6,479.3,756
20200402,091400,5684,25.77,12.2,220.4,474.7,761
20200402,091500,5952,26.96,12.61,220.7,482.2,773
20200402,091600,5871,26.58,12.33,220.8,482.7,762
20200402,091700,5837,26.46,12.08,220.4,494.3,753
20200402,091800,5727,25.97,11.77,220.4,490.4,741
20200402,091900,5847,26.53,12.03,220.5,492.3,756
20200402,092000,5907,26.64,12.19,221.5,495.2,765
20200402,092100,5214,23.9,12.32,220.6,494,779
20200402,092200,6078,27.45,12.69,221.4,484.2,788
20200402,092300,6223,28.11,12.89,221.4,493.4,790
20200402,092400,6233,28.09,12.91,221.8,491.9,791
20200402,092500,6153,28.09,12.85,221.5,498,780
20200402,092600,6429,28.97,12.72,221.8,516.4,784
20200402,092700,6504,29.37,12.87,221.5,515.6,793
20200402,092800,6567,29.61,12.84,221.5,517.2,800
20200402,092900,6480,29.22,12.81,221.7,518.1,788
20200402,093000,6317,28.52,12.39,221.5,510.7,770
20200402,093100,6221,28.09,12.2,221.4,513.5,758
20200402,093200,6230,28.15,12.48,221.1,510.5,761
20200402,093300,6127,27.69,12.18,221.2,510.7,745
20200402,093400,6456,29.16,12.8,221.9,514.7,787
20200402,093500,6231,28.11,12.39,221.5,516.3,776
20200402,093600,6440,29.09,13.12,221.8,504.8,800
20200402,093700,6599,29.75,13.15,221.8,511.3,805
20200402,093800,6586,29.69,13.15,221.8,511.9,803
20200402,093900,6503,29.37,13,221.7,510.3,796
20200402,094000,6489,29.26,12.89,221.8,509.5,796
20200402,094100,6595,29.75,13.05,221.6,514.8,808
20200402,094200,6672,30.11,13.27,221.6,513.4,817
20200402,094300,6744,30.28,13.23,222.2,516.1,825
20200402,094400,6813,30.64,13.39,222.2,516.9,834
20200402,094500,7137,32.08,14.12,222.4,509.2,878
20200402,094600,7164,32.23,14.24,222.2,508.4,881
20200402,094700,7279,32.71,14.46,222.5,511.3,898
20200402,094800,6768,30.62,13.62,221.9,506.7,835
20200402,094900,6828,30.69,13.35,221.8,514.6,846
20200402,095000,6927,31.23,13.77,221.7,513,860
20200402,095100,6897,31.06,13.65,221.6,508.4,857
20200402,095200,6891,31.13,14.14,221.9,494.5,867
20200402,095300,6957,31.32,13.9,222.1,511,864
20200402,095400,6912,31.13,13.71,222,508.5,858
20200402,095500,6915,31.16,13.86,221.9,509.6,858
20200402,095600,6485,29.31,12.9,221.2,510.1,802
20200402,095700,6639,29.93,13.3,221.7,508,820
20200402,095800,6762,30.49,13.43,221.6,511.2,841
20200402,095900,6867,31.04,13.73,221.5,506.8,855
20200402,100000,6737,30.47,13.42,221.2,507.5,840
20200402,100100,6816,30.75,13.53,221.6,510.6,847
20200402,100200,6798,30.65,13.59,221.6,509.1,846
20200402,100300,6537,29.52,13.11,221.3,508.4,814
20200402,100400,6540,29.58,12.97,221.1,511.1,814
20200402,100500,6696,30.29,13.42,221.3,507.5,834
20200402,100600,6642,29.97,13.22,221.5,511.2,828
20200402,100700,6840,30.85,13.65,221.9,507,851
20200402,100800,7020,31.63,14.11,221.9,507.2,872
20200402,100900,7275,32.79,14.45,221.8,508.6,905
20200402,101000,7453,33.51,15,222.3,508.9,930
20200402,101100,7554,33.96,15.22,222.4,501.6,946
20200402,101200,7611,34.17,15.13,222.7,511.5,953
20200402,101300,7584,34.06,15.32,222.6,502.5,949
20200402,101400,7671,34.46,15.48,222.7,507.4,962
20200402,101500,7645,34.32,15.36,222.8,503,960
20200402,101600,7643,34.28,15.49,222.8,506.2,960
20200402,101700,7559,33.95,15.14,222.6,504.5,953
20200402,101800,7594,34.17,15.23,222.2,503.3,956
20200402,101900,7587,34.14,15.27,222.2,505.3,954
20200402,102000,7578,34.05,15.32,222.5,504.7,951
20200402,102100,7518,33.77,15.18,222.3,505.5,946
20200402,102200,7479,33.62,15.14,222.3,502.1,942
20200402,102300,7518,33.85,15.41,222.2,500.6,951
20200402,102400,7605,34.17,15.63,222.5,496.9,965
20200402,102500,7671,34.48,15.81,222.5,495.6,975
20200402,102600,7710,34.67,15.75,222.4,497,983
20200402,102700,7732,34.81,15.87,222.2,497.7,984
