dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20200415,054800,6,0.1,0.07,220.6,462.4,6
20200415,054900,12,0.11,0.09,220.6,482.3,6
20200415,055000,16,0.12,0.1,220.5,488.5,7
20200415,055100,24,0.14,0.11,220.5,492.7,7
20200415,055200,33,0.17,0.12,220.5,520,9
20200415,055300,39,0.21,0.14,220.6,507.1,6
20200415,055400,48,0.24,0.15,220.5,507.5,12
20200415,055500,55,0.27,0.16,220.5,504.5,12
20200415,055600,64,0.31,0.18,220.6,518.2,12
20200415,055700,71,0.35,0.19,220.5,537.7,13
20200415,055800,81,0.39,0.21,220.5,537.1,15
20200415,055900,90,0.43,0.22,220.5,537.6,15
20200415,060000,99,0.47,0.24,220.4,528.3,15
20200415,060100,107,0.51,0.26,220.3,541.7,18
20200415,060200,118,0.55,0.27,220.1,539.6,18
20200415,060300,127,0.59,0.29,220.1,540.5,19
20200415,060400,138,0.64,0.31,220.1,539.3,21
20200415,060500,147,0.69,0.32,220,552,21
20200415,060600,159,0.74,0.34,220,557.7,22
20200415,060700,165,0.75,0.33,220,565.6,22
20200415,060800,128,0.79,0.36,220,572.9,24
20200415,060900,203,0.93,0.39,220,587.2,25
20200415,061000,251,1.15,0.47,220.1,600.8,27
20200415,061100,294,1.35,0.52,220.1,612.7,28
20200415,061200,308,1.42,0.55,220,617.9,30
20200415,061300,321,1.48,0.57,220,612.3,30
20200415,061400,396,1.82,0.76,220.1,562.8,42
20200415,061500,438,2.01,0.79,220.2,586.7,63
20200415,061600,471,2.14,0.8,220.2,617.3,73
20200415,061700,490,2.24,0.86,220.4,599.8,76
20200415,061800,513,2.34,0.9,220.5,600.5,80
20200415,061900,554,2.52,1.13,220.4,517,83
20200415,062000,591,2.69,1.17,220.5,532.2,88
20200415,062100,624,2.84,1.22,220.5,529.8,92
20200415,062200,641,2.92,1.28,220.4,529.3,95
20200415,062300,687,3.13,1.3,220.4,543.4,98
20200415,062400,722,3.29,1.4,220.5,538.2,103
20200415,062500,758,3.44,1.46,220.5,542.4,106
20200415,062600,801,3.64,1.52,220.8,548.7,111
20200415,062700,825,3.75,1.56,220.8,551.5,114
20200415,062800,867,3.94,1.62,220.8,549.5,118
20200415,062900,906,4.11,1.67,220.7,558.6,121
20200415,063000,948,4.32,1.76,220.6,559.9,126
20200415,063100,981,4.47,1.8,220.4,563.3,130
20200415,063200,1014,4.62,1.86,220.4,563.3,135
20200415,063300,1053,4.78,1.91,220.6,567.1,138
20200415,063400,1101,5,1.99,220.5,570.2,141
20200415,063500,1134,5.13,2.01,221.7,570.9,144
20200415,063600,1170,5.28,2.08,221.8,578.9,149
20200415,063700,1089,4.82,1.92,221.9,570.4,137
20200415,063800,1230,5.54,2.21,221.9,569.4,156
20200415,063900,1242,5.56,2.1,222,606.6,161
20200415,064000,1311,5.91,2.26,222.1,589.9,164
20200415,064100,1344,6.03,2.32,222.3,587.7,165
20200415,064200,1395,6.28,2.41,222.5,590.9,172
20200415,064300,1425,6.41,2.45,222.4,591.6,176
20200415,064400,1437,6.44,2.48,223.2,586.7,179
20200415,064500,1509,6.77,2.56,223.2,598,185
20200415,064600,1560,6.99,2.63,223.2,609.4,190
20200415,064700,1595,7.14,2.64,223.4,610.1,194
20200415,064800,1647,7.39,2.79,223.6,606.4,200
20200415,064900,1704,7.66,2.86,223.1,603.4,205
20200415,065000,1750,7.85,2.98,223,601.2,208
20200415,065100,1788,8.02,3,223,605.6,211
20200415,065200,1833,8.22,3.15,223.1,586.7,219
20200415,065300,1905,8.55,3.2,223.2,610.2,225
20200415,065400,1962,8.8,3.25,223.3,609.7,229
20200415,065500,2015,9.02,3.38,223.3,601.7,232
20200415,065600,2064,9.25,3.48,223.3,606,237
20200415,065700,2109,9.45,3.53,223.5,603.9,243
20200415,065800,2147,9.62,3.6,223.5,603.6,248
20200415,065900,2131,9.55,3.53,223.4,616.3,252
20200415,070000,2238,10.02,3.8,223.6,597.8,257
20200415,070100,2286,10.22,3.86,223.8,605.8,261
20200415,070200,2346,10.51,3.95,223.5,604.5,264
20200415,070300,2394,10.7,4.02,223.5,603.1,269
20200415,070400,2436,10.9,4.06,223.4,611.4,275
20200415,070500,2478,11.1,4.15,223.3,608.2,280
20200415,070600,2508,11.23,4.16,223.3,606.8,284
20200415,070700,2563,11.48,4.27,223.5,605.1,290
20200415,070800,2608,11.67,4.41,223.5,598.4,295
20200415,070900,2661,11.93,4.45,223.6,606.2,299
20200415,071000,2712,11.98,4.59,223.8,599.4,305
20200415,071100,2751,11.94,4.49,223.8,604.5,310
20200415,071200,2799,12.53,4.7,223.8,604.8,316
20200415,071300,2841,12.72,4.77,223.9,600.8,319
20200415,071400,2804,12.53,4.72,223.9,600.6,324
20200415,071500,2946,13.15,4.92,224.1,609.3,328
20200415,071600,2988,13.32,5.06,224.2,595.3,330
20200415,071700,3044,13.58,5.15,224.2,600.8,339
20200415,071800,3083,13.75,5.19,224.3,604.1,344
20200415,071900,3132,14,5.3,223.8,599.7,350
20200415,072000,3176,14.19,5.36,223.9,604.2,353
20200415,072100,3238,14.46,5.49,224,600.8,359
20200415,072200,3285,14.63,5.59,224.6,595,362
20200415,072300,3339,14.87,5.67,224.7,599.3,366
20200415,072400,3389,15.06,5.73,224.8,595.5,372
20200415,072500,3427,15.26,5.84,224.8,598.1,377
20200415,072600,3489,15.52,5.96,224.8,596.7,382
20200415,072700,3525,15.67,5.95,224.8,599.3,385
20200415,072800,3573,15.91,6.09,224.8,595,391
20200415,072900,3618,16.09,6.13,224.9,599.2,395
20200415,073000,3660,16.28,6.21,224.8,591.6,403
20200415,073100,3705,16.47,6.35,224.7,590.1,404
20200415,073200,3754,16.69,6.4,224.9,594.9,409
20200415,073300,3801,16.89,6.51,224.9,589.7,415
20200415,073400,3846,17.14,6.61,224.9,594.1,420
20200415,073500,3880,17.25,6.55,224.8,599.9,426
20200415,073600,3938,17.52,6.77,225,593.2,430
20200415,073700,3978,17.68,6.79,225,592,433
20200415,073800,4032,17.91,6.86,225.1,593.3,439
20200415,073900,4080,18.12,6.96,225.1,594.1,443
20200415,074000,4125,18.32,7.06,225.1,590,447
20200415,074100,4170,18.5,7.17,225.4,591.8,452
20200415,074200,4212,18.72,7.25,225.3,591,459
20200415,074300,4249,18.86,7.25,225.2,594.3,461
20200415,074400,4307,19.14,7.37,225.1,590,467
20200415,074500,4347,19.3,7.46,225.2,594.2,468
20200415,074600,4398,19.52,7.41,225.3,589.9,476
20200415,074700,4431,19.67,7.66,225.3,585.2,479
20200415,074800,4488,19.93,7.72,225.5,589.8,485
20200415,074900,4530,20.08,7.83,225.5,588.8,490
20200415,075000,4563,20.24,7.91,225.6,588.2,493
20200415,075100,3516,18.63,7.91,225.3,590.7,499
20200415,075200,4659,20.66,8.08,225.8,586.5,503
20200415,075300,4695,20.82,8.08,225.6,585.7,508
20200415,075400,4728,20.95,8.17,225.7,585.4,513
20200415,075500,4774,21.13,8.24,225.9,589.6,516
20200415,075600,4815,21.3,8.33,225.9,589.2,522
20200415,075700,4861,21.51,8.35,226.1,586.1,526
20200415,075800,4887,21.61,8.47,226.1,587.6,529
20200415,075900,4956,21.92,8.51,226.2,588.3,532
20200415,080000,4992,22.04,8.56,226.2,588.9,540
20200415,080100,5036,22.28,8.71,226.1,581.3,545
20200415,080200,5049,22.39,8.76,225.9,582.4,548
20200415,080300,5103,22.6,8.85,225.9,583.4,554
20200415,080400,5124,22.67,8.96,225.9,579.9,557
20200415,080500,5176,22.9,8.98,226,584.7,563
20200415,080600,5211,23.08,9.08,225.9,579.7,566
20200415,080700,5239,23.17,9.14,226.1,584.8,567
20200415,080800,5310,23.49,9.21,226,580.7,576
