dia_mes_ano,hora_minuto,irr,temp,rainfall,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191107,183000,0,20.89,0,5.06,0.17,0,0,41.78,0.11,0,0,0.46,225,2.31,0,0.09,216.6,0,0,43.39,0
20191107,190000,0.6,20.92,0,6.43,0.21,0,0,53.06,0.15,0,0,0.47,225,0,0,0.09,216.6,0,0,43.57,0
20191107,191500,0,21.07,0,6.73,0.22,0,0,55.56,0.15,0,0,0.46,225,0,0,0.09,216.6,0,0,44.8,0
20191107,193000,0.08,21.21,0,7.82,0.26,0,0,64.51,0.18,0,0,0.45,225,0,0,0.09,216.6,0,0,44.11,0
20191107,194500,0.08,21.35,0,8,0.27,0,0,66.04,0.18,0,0,0.46,225,0.27,0,0.09,216.6,0,0,43.69,0
20191107,200000,0,21.37,0,7.89,0.26,0,0,65.12,0.18,0,0,0.47,225,0,0,0.09,216.6,0,0,44.91,0
20191107,201500,0,21.33,0,8.51,0.28,0,0,70.17,0.19,0,0,0.47,225,0,0,0.09,216.6,0,0,44.47,0
20191107,203000,0,21.41,0,9.67,0.32,0,0,79.76,0.22,0,0,0.45,225,0,0,0.09,216.6,0,0,44.51,0
20191107,204500,0,21.46,0,10.19,0.34,0,0,84.08,0.23,0,0,0.46,225,0,0,0.09,216.6,0,0,44.91,0
20191107,210000,0,21.5,0,10.53,0.35,0,0,86.87,0.24,0,0,0.45,198,0,0,0.09,216.6,0,0,43.68,0
20191107,211500,0.16,21.43,0,9.34,0.31,0,0,77.11,0.21,0,0,0.46,135,0,0,0.09,216.6,0,0,44.19,0
20191107,213000,0,21.36,0,9.93,0.33,0,0,81.88,0.23,0,0,0.46,135,2.31,0,0.09,216.6,0,0,43.15,0
20191107,214500,0,21.07,0,7.23,0.24,0,0,59.68,0.16,0,0,0.45,132,2.57,0,0.09,216.6,0,0,43.05,0
20191107,220000,0,20.89,0,5.23,0.17,0,0,43.16,0.12,0,0,0.45,141,0.53,0,0.09,216.6,0,0,43.97,0
20191107,221500,0,20.93,0,4.94,0.17,0,0,40.79,0.11,0,0,0.46,165,1.33,0,0.09,216.6,0,0,43.51,0
20191107,223000,0,20.89,0,4.23,0.14,0,0,34.87,0.1,0,0,0.45,129,2.75,0,0.09,216.6,0,0,43.61,0
20191107,224500,0.08,20.93,0,4.04,0.13,0,0,33.31,0.09,0,0,0.46,168,1.6,0,0.09,216.6,0,0,42.93,0
20191107,230000,0.08,20.89,0,5.18,0.17,0,0,42.74,0.12,0,0,0.47,180,0,0,0.09,216.6,0,0,44.15,0
20191107,231500,0,20.89,0,6.95,0.24,0,0,57.34,0.16,0,0,0.52,180,0,0,0.09,216.6,0,0,44.97,0
20191107,233000,0,20.81,0,6.16,0.2,0,0,50.78,0.14,0,0,0.51,180,0,0,0.09,216.6,0,0,44.54,0
20191107,234500,0,20.77,0,5.43,0.18,0,0,44.76,0.12,0,0,0.48,180,0,0,0.09,216.6,0,0,45.67,0
