dia_mes_ano,hora_minuto,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,n
20191009,051900,11,0.31,218.74,62.36,0.18,495.89,11
20191009,053000,29.8,1.15,218.35,249.53,0.51,535.25,15
20191009,054500,56.07,2.31,217.3,501.87,0.95,554.47,15
20191009,060000,104.67,4.07,218.24,898,1.59,573.77,15
20191009,061500,125.2,5.14,216.63,1107.47,2.02,565.99,15
20191009,063000,169.6,6.95,217.98,1524,2.71,566.9,15
20191009,064500,202.2,8.55,218.35,1874.53,3.31,570.42,15
20191009,070000,369.6,15.72,218.41,3441.53,6.08,572.3,15
20191009,071500,458.57,19.08,220.09,4191.86,7.54,563.37,14
20191009,073000,474.73,19.93,218.01,4373.53,7.92,560.32,15
20191009,074500,427.6,18.23,214.83,3920,7.04,559.49,15
20191009,080000,239.13,12.11,214.65,2588,4.72,560.45,15
20191009,081500,233.2,20.37,215.2,4430.6,7.87,562.5,15
20191009,083000,211.47,17.51,214.52,3726.13,6.75,559.87,15
20191009,084500,179.8,15.91,215.25,3282.07,6.15,561.76,15
20191009,090000,178,27.26,219.07,5932.4,10.94,554.85,15
20191009,091500,586.53,30.76,219.85,6755.07,12.95,530.95,15
20191009,093000,777.33,30.69,219.93,6740.27,12.54,549.78,15
20191009,094500,906.53,34.01,220.32,7527.93,13.73,554.73,15
20191009,100000,834.93,31.27,219.27,6881.4,12.63,546.5,15
20191009,101500,700.47,27.1,219.27,5981.4,10.85,550.67,15
20191009,103000,777.73,29.27,219.98,6470,12.17,537.67,15
20191009,104500,879.53,31.48,221.65,6946.8,12.63,558.13,15
20191009,110000,1100.93,37.17,222.31,8265,15.29,549.47,14
20191009,111500,1104.47,36.91,222,8199.47,15.29,545.83,15
20191009,113000,919.27,30.14,220.04,6713.73,12.11,542.07,15
20191009,114500,993.4,32.86,221.07,7274.07,13.25,552.27,15
20191009,120000,1136.87,35.07,221.52,7780.2,14.3,552.55,15
20191009,121500,825.5,27.19,219.16,5997.71,11.23,529.79,14
20191009,123000,444,17.71,217.17,3857.07,7.36,529.15,15
20191009,124500,186.53,9.32,213.95,1995.6,3.85,526.73,15
20191009,130000,1017.87,35.61,220.57,7865.73,14.31,558.89,15
20191009,131500,579.53,22.46,217.38,4929.27,9.36,525.37,15
20191009,133000,939.53,35.35,219.99,7774,15.75,503.27,15
20191009,134500,894.33,33.55,218.81,7339.13,14.83,502.29,15
20191009,140000,650.67,24.85,217.33,5420.53,10.95,505.11,15
20191009,141500,209.93,27.43,218.66,6012.73,11.84,519.41,15
20191009,143000,164.47,21.26,217.49,4660.47,9.25,510.25,15
20191009,144500,95.67,11.03,214.4,2395.2,4.46,533.92,15
20191009,150000,171.13,24.01,218.61,5248.07,10.04,529.95,15
20191009,151500,155.53,18.78,215.11,4024.47,7.74,526.67,15
20191009,153000,137.87,16.1,214.75,3480.27,6.68,523.18,15
20191009,154500,313.67,15.54,216.41,3387.4,6.52,521.92,15
20191009,160000,318.27,13.17,214.41,2825.13,5.58,513.65,15
20191009,161500,243.6,9.62,213.69,2055.47,4.16,500.4,15
20191009,163000,50.4,3.95,213.43,830,2.19,369.77,15
20191009,164500,22.93,1.25,212.94,263.53,0.57,502.81,15
20191009,170000,17.27,0.9,214.97,190.4,0.43,492.99,15
20191009,171500,14.8,0.69,214.16,145.13,0.34,493.22,15
20191009,173000,3.86,0.2,214.12,34.93,0.13,454.37,14
20191009,174500,0,0.1,215.24,0,0,392.84,15
20191009,180000,0,0.1,215.3,0,0,65.03,15
20191009,181500,0,0.1,215.3,0,0,42.2,15
20191009,183000,0,0.1,215.3,0,0,40.55,15
20191009,184500,0,0.1,215.3,0,0,40,15
20191009,190000,0,0.1,215.3,0,0,41.33,15
20191009,191500,0,0.1,215.3,0,0,41.43,15
20191009,193000,0,0.1,215.3,0,0,40.77,15
20191009,194500,0,0.1,215.3,0,0,41.37,15
20191009,200000,0,0.1,215.3,0,0,41.76,15
20191009,201500,0,0.1,215.3,0,0,41.17,15
20191009,203000,0,0.1,215.3,0,0,42,15
20191009,204500,0,0.1,215.3,0,0,42.34,15
20191009,210000,0,0.1,215.3,0,0,40.78,15
20191009,211500,0,0.1,215.3,0,0,41.2,15
20191009,213000,0,0.1,215.3,0,0,41.74,15
20191009,214500,0,0.1,215.3,0,0,42.23,15
20191009,220000,0,0.1,215.3,0,0,41.83,15
20191009,221500,0,0.1,215.3,0,0,42.85,15
20191009,223000,0,0.1,215.3,0,0,42.92,15
20191009,224500,0,0.1,215.3,0,0,42.25,15
20191009,230000,0,0.1,215.3,0,0,42.51,15
20191009,231500,0,0.1,215.3,0,0,43.35,15
20191009,233000,0,0.1,215.3,0,0,43.75,15
20191009,234500,0,0.1,215.3,0,0,42.85,15
