dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,numPM1,numPM2,tamanho_medio,temp,vento_dir,vento_vel,massaPM4,massaPM10,numPM4,numPM10,rainfall,P_AC,I_AC,I_DC,V_AC,V_DC,IRR,P_DC
20200413,000100,0,3.95,0.13,32.62,0.09,0.47,22.12,45,9.31,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200413,000200,0,4.11,0.14,33.95,0.09,0.48,22.12,0,10.64,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200413,000300,0,4.19,0.14,34.53,0.09,0.48,21.94,135,6.65,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200413,000400,0,4.55,0.15,37.51,0.1,0.47,22.19,45,19.95,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200413,000500,0,4.52,0.15,37.25,0.1,0.47,22.12,45,14.63,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200413,000600,0,4.39,0.15,36.2,0.1,0.46,22.12,90,11.97,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200413,000700,0,5.38,0.18,44.38,0.12,0.45,22.19,90,34.58,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200413,000800,0,4.46,0.15,36.78,0.1,0.46,22.12,90,10.64,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200413,000900,0,4.63,0.15,38.21,0.11,0.47,22.12,90,26.6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200413,001000,0,4.53,0.15,37.35,0.1,0.45,21.94,0,13.3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200413,001100,0,4.42,0.15,36.44,0.1,0.43,22.06,135,6.65,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200413,001200,0,4.55,0.15,37.54,0.1,0.43,22.12,135,6.65,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200413,001300,0,4.74,0.16,39.15,0.11,0.43,22.12,90,25.27,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
