dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,numPM1,numPM2,tamanho_medio,temp,vento_dir,vento_vel,massaPM4,massaPM10,numPM4,numPM10,rainfall,P_AC,I_AC,I_DC,V_AC,V_DC,IRR,P_DC
20200319,004600,0,3.6,0.12,29.7,0.08,0.47,24.5,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,004700,0,3.28,0.11,27.04,0.07,0.46,24.75,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,004800,0,2.96,0.1,24.39,0.07,0.47,24.94,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,004900,0,2.72,0.09,22.48,0.06,0.48,24.81,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,005000,0,2.31,0.08,19.06,0.05,0.47,25.06,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,005100,0,2.94,0.1,24.26,0.07,0.46,24.88,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,005200,0,2.62,0.09,21.61,0.06,0.46,24.94,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,005300,0,2.34,0.08,19.29,0.05,0.46,24.94,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,005400,0,2.41,0.08,19.84,0.05,0.46,24.88,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,005500,0,2.28,0.08,18.85,0.05,0.45,24.94,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,005600,0,2.2,0.07,18.18,0.05,0.45,25,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,005700,0,2.87,0.1,23.69,0.07,0.48,24.81,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,005800,0,2.28,0.08,18.78,0.05,0.47,24.62,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,005900,0,2.25,0.07,18.58,0.05,0.47,24.62,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,010000,0,2.14,0.07,17.62,0.05,0.46,24.56,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,010100,0,2.5,0.08,20.63,0.06,0.46,24.62,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,010200,0,2.82,0.09,23.22,0.06,0.46,24.5,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,010300,0,2.68,0.09,22.11,0.06,0.48,24.56,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,010400,0,3.76,0.13,31.04,0.09,0.49,24.56,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,010500,0,2.71,0.09,22.34,0.06,0.49,24.38,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,010600,0,2.64,0.09,21.76,0.06,0.51,24.44,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,010700,0,2.39,0.08,19.74,0.05,0.51,24.44,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,010800,0,2.46,0.08,20.32,0.06,0.5,24.31,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,010900,0,2.34,0.08,19.31,0.05,0.49,24.31,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,011000,0,2.28,0.08,18.8,0.05,0.49,24.25,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,011100,0,2.28,0.08,18.78,0.05,0.48,24.25,225,7.98,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,011200,0,3.04,0.1,25.1,0.07,0.5,24.69,180,17.29,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,011300,0,3.52,0.12,29.05,0.08,0.49,24.75,135,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,011400,0,3.65,0.12,30.11,0.08,0.49,25.19,180,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,011500,0,3.43,0.11,28.31,0.08,0.49,24.94,180,3.99,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,011600,0,3.35,0.11,27.65,0.08,0.51,24.5,180,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,011700,0,3.23,0.11,26.61,0.07,0.49,24.62,180,3.99,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,011800,0,3.69,0.12,30.43,0.08,0.48,24.56,180,6.65,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,011900,0,6.68,0.22,55.15,0.15,0.5,24.75,180,6.65,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,012000,0,5.98,0.2,49.36,0.14,0.52,24.69,180,7.98,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,012100,0,7.45,0.25,61.5,0.17,0.5,24.5,180,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,012200,0,7.92,0.26,65.32,0.18,0.49,24.38,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,012300,0,7.51,0.25,61.98,0.17,0.48,24.38,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,012400,0,7.82,0.26,64.52,0.18,0.51,24.44,180,6.65,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,012500,0,7.93,0.26,65.42,0.18,0.49,24.62,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,012600,0,8.47,0.28,69.84,0.19,0.49,24.56,135,1.33,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,012700,0,8.84,0.29,72.93,0.2,0.47,24.44,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,012800,0,9.16,0.3,75.59,0.21,0.47,24.5,180,3.99,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,012900,0,7.51,0.25,61.94,0.17,0.49,24.31,180,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,013000,0,8.37,0.28,69.07,0.19,0.49,24.12,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,013100,0,7.93,0.26,65.42,0.18,0.5,24.25,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,013200,0,7.88,0.26,65.04,0.18,0.49,24.12,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,013300,0,7.39,0.25,61,0.17,0.5,24.19,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,013400,0,7.49,0.25,61.81,0.17,0.49,24,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,013500,0,6.69,0.22,55.19,0.15,0.49,23.75,135,1.33,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,013600,0,6.46,0.22,53.31,0.15,0.49,23.75,135,6.65,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,013700,0,7.14,0.24,58.94,0.16,0.47,23.56,135,3.99,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,013800,0,6.81,0.23,56.22,0.15,0.48,23.56,180,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200319,013900,0,7.02,0.23,57.95,0.16,0.48,23.69,180,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
