dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,numPM1,numPM2,tamanho_medio,temp,vento_dir,vento_vel,massaPM4,massaPM10,numPM4,numPM10,rainfall,P_AC,I_AC,I_DC,V_AC,V_DC,IRR,P_DC
20200402,000100,0,3.46,0.12,28.52,0.08,0.46,23,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,000200,0,3.22,0.11,26.55,0.07,0.45,22.94,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,000300,0,3.39,0.11,28,0.08,0.47,22.94,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,000400,0,3.31,0.11,27.34,0.08,0.46,22.88,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,000500,0,3.56,0.12,29.36,0.08,0.46,22.81,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,000600,0,3.21,0.11,26.46,0.07,0.47,22.81,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,000700,0,3.08,0.1,25.41,0.07,0.46,22.69,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,000800,0,3.64,0.12,30.07,0.08,0.47,22.69,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,000900,0,3.52,0.12,29.05,0.08,0.49,22.69,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,001000,0,2.9,0.1,23.89,0.07,0.49,22.88,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,001100,0,3.26,0.11,26.91,0.07,0.49,23.06,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,001200,0,3.42,0.11,28.2,0.08,0.47,22.88,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,001300,0,2.99,0.1,24.68,0.07,0.47,23,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,001400,0,3.22,0.11,26.57,0.07,0.47,23.06,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,001500,0,3.67,0.12,30.26,0.08,0.47,22.81,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,001600,0,3.53,0.12,29.13,0.08,0.45,22.81,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,001700,0,4.36,0.15,35.98,0.1,0.46,22.62,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,001800,0,3.38,0.11,27.92,0.08,0.45,22.38,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,001900,0,3.21,0.11,26.47,0.07,0.46,22.44,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,002000,0,3.31,0.11,27.29,0.07,0.47,22.44,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,002100,0,2.92,0.1,24.13,0.07,0.47,22.62,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,002200,0,2.8,0.09,23.14,0.06,0.46,22.5,135,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,002300,0,3.05,0.1,25.2,0.07,0.46,22.56,45,5.32,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,002400,0,3.23,0.11,26.66,0.07,0.45,22.75,45,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,002500,0,3.18,0.11,26.25,0.07,0.46,22.75,45,1.33,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,002600,0,2.88,0.1,23.75,0.07,0.45,22.69,45,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,002700,0,2.77,0.09,22.81,0.06,0.45,22.56,45,3.99,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,002800,0,2.89,0.1,23.81,0.07,0.45,22.56,45,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,002900,0,2.71,0.09,22.34,0.06,0.45,22.88,45,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,003000,0,2.79,0.09,23.05,0.06,0.47,22.75,45,5.32,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,003100,0,2.81,0.09,23.15,0.06,0.47,22.81,45,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,003200,0,2.46,0.08,20.33,0.06,0.45,22.69,45,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,003300,0,2.59,0.09,21.39,0.06,0.44,22.81,45,3.99,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,003400,0,2.72,0.09,22.44,0.06,0.45,23,180,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,003500,0,2.35,0.08,19.35,0.05,0.46,22.94,180,1.33,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,003600,0,2.58,0.09,21.31,0.06,0.46,23.06,90,2.66,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,003700,0,2.55,0.08,21.06,0.06,0.46,22.88,90,5.32,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,003800,0,2.51,0.08,20.67,0.06,0.46,23,90,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,003900,0,2.88,0.1,23.76,0.07,0.47,23,90,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200402,004000,0,2.6,0.09,21.48,0.06,0.45,23,90,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
