dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,numPM1,numPM2,tamanho_medio,temp,vento_dir,vento_vel,massaPM4,massaPM10,numPM4,numPM10,rainfall,P_AC,I_AC,I_DC,V_AC,V_DC,IRR,P_DC
20200427,000100,0,4.93,0.16,40.66,0.11,0.44,21.06,180,21.28,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200427,000200,0,4.83,0.16,39.83,0.11,0.43,21.38,135,22.61,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200427,000300,0,4.91,0.16,40.49,0.11,0.43,21.19,135,7.98,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200427,000400,0,4.8,0.16,39.59,0.11,0.44,21.38,135,25.27,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200427,000500,0,4.72,0.16,38.9,0.11,0.45,21.19,90,18.62,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200427,000600,0,4.65,0.15,38.36,0.11,0.45,21.44,135,7.98,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200427,000700,0,4.91,0.16,40.47,0.11,0.46,21.31,135,15.96,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200427,000800,0,5.2,0.17,42.87,0.12,0.46,21.38,135,7.98,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200427,000900,0,5.26,0.18,43.39,0.12,0.44,21.06,135,7.98,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200427,001000,0,4.87,0.16,40.2,0.11,0.45,21.19,135,6.65,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200427,001100,0,5.02,0.17,41.46,0.11,0.47,21.31,135,14.63,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200427,001200,0,5.26,0.17,43.38,0.12,0.45,21.19,135,15.96,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
20200427,001300,0,5.04,0.17,41.54,0.11,0.46,21.25,135,10.64,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
