dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,numPM1,numPM2,tamanho_medio,temp,vento_dir,vento_vel,massaPM4,massaPM10,numPM4,numPM10,rainfall,P_AC,I_AC,I_DC,V_AC,V_DC,IRR,P_DC
20200412,000100,0,1.71,0.06,14.13,0.04,0.48,20.56,135,11.97,0,0,0,0,0,0,0,0,1.91,45.1,0,0
20200412,000200,0,2.19,0.07,18.04,0.05,0.47,20.44,90,10.64,0,0,0,0,0,0,0,0,1.91,45,0,0
20200412,000300,0,2.48,0.08,20.49,0.06,0.47,20.5,90,11.97,0,0,0,0,0,0,0,0,1.91,45,0,0
20200412,000400,0,2.39,0.08,19.71,0.05,0.48,20.38,135,5.32,0,0,0,0,0,0,0,0,1.91,45,0,0
20200412,000500,0,2.48,0.08,20.43,0.06,0.48,20.19,90,9.31,0,0,0,0,0,0,0,0,1.91,45,0,0
20200412,000600,0,2.43,0.08,20.07,0.06,0.5,20.31,135,7.98,0,0,0,0,0,0,0,0,1.91,45.1,0,0
20200412,000700,0,2.76,0.09,22.79,0.06,0.49,20.31,135,6.65,0,0,0,0,0,0,0,0,1.91,45.1,0,0
20200412,000800,0,2.18,0.07,18.02,0.05,0.49,20.38,135,7.98,0,0,0,0,0,0,0,0,1.91,45.2,0,0
20200412,000900,0,3.08,0.1,25.4,0.07,0.49,20.19,135,7.98,0,0,0,0,0,0,0,0,1.91,45.2,0,0
20200412,001000,0,2.68,0.09,22.11,0.06,0.49,20.12,90,10.64,0,0,0,0,0,0,0,0,1.91,45.3,0,0
20200412,001100,0,2.71,0.09,22.33,0.06,0.49,20.06,135,7.98,0,0,0,0,0,0,0,0,1.91,45.3,0,0
20200412,001200,0,3.16,0.11,26.11,0.07,0.49,20.19,135,3.99,0,0,0,0,0,0,0,0,1.91,45.4,0,0
20200412,001300,0,2.78,0.09,22.94,0.06,0.51,20.38,135,9.31,0,0,0,0,0,0,0,0,1.91,45.4,0,0
20200412,001400,0,2.83,0.09,23.38,0.06,0.51,20.31,135,6.65,0,0,0,0,0,0,0,0,1.91,45.5,0,0
20200412,001500,0,3.24,0.11,26.72,0.07,0.5,20,135,10.64,0,0,0,0,0,0,0,0,1.91,45.5,0,0
