Data e horário,Energia por retificador alternado|Primo 8.2-1 (1) (# 1),Energia por retificador alternado por kWp|Primo 8.2-1 (1) (# 1),Instalação total,
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh],
01.05.2020,48.64,5.93,48.64,
02.05.2020,51.70,6.30,51.70,
03.05.2020,48.59,5.93,48.59,
04.05.2020,42.54,5.19,42.54,
05.05.2020,48.21,5.88,48.21,
06.05.2020,14.69,1.79,14.69,
07.05.2020,50.20,6.12,50.20,
08.05.2020,57.99,7.07,57.99,
09.05.2020,56.26,6.86,56.26,
10.05.2020,51.90,6.33,51.90,
11.05.2020,34.76,4.24,34.76,
12.05.2020,5.57,0.68,5.57,
13.05.2020,17.26,2.10,17.26,
14.05.2020,19.52,2.38,19.52,
15.05.2020,49.67,6.06,49.67,
16.05.2020,53.79,6.56,53.79,
17.05.2020,53.93,6.58,53.93,
18.05.2020,53.19,6.49,53.19,
19.05.2020,52.50,6.40,52.50,
20.05.2020,48.50,5.91,48.50,
21.05.2020,44.53,5.43,44.53,
22.05.2020,29.01,3.54,29.01,
23.05.2020,30.59,3.73,30.59,
24.05.2020,49.85,6.08,49.85,
25.05.2020,54.72,6.67,54.72,
26.05.2020,53.91,6.57,53.91,
27.05.2020,53.58,6.53,53.58,
28.05.2020,53.13,6.48,53.13,
29.05.2020,51.68,6.30,51.68,
30.05.2020,49.73,6.06,49.73,
31.05.2020,40.53,4.94,40.53,
