Data e horário,Energia por retificador alternado|Primo 8.2-1 (1) (# 1),Energia por retificador alternado por kWp|Primo 8.2-1 (1) (# 1),Instalação total,
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh],
01.04.2020,53.60,6.54,53.60,
02.04.2020,47.10,5.74,47.10,
03.04.2020,31.59,3.85,31.59,
04.04.2020,56.98,6.95,56.98,
05.04.2020,57.76,7.04,57.76,
06.04.2020,48.38,5.90,48.38,
07.04.2020,45.62,5.56,45.62,
08.04.2020,56.92,6.94,56.92,
09.04.2020,57.63,7.03,57.63,
10.04.2020,56.77,6.92,56.77,
11.04.2020,48.51,5.92,48.51,
12.04.2020,47.66,5.81,47.66,
13.04.2020,46.82,5.71,46.82,
14.04.2020,28.56,3.48,28.56,
15.04.2020,60.24,7.35,60.24,
16.04.2020,61.77,7.53,61.77,
17.04.2020,60.63,7.39,60.63,
18.04.2020,58.75,7.16,58.75,
19.04.2020,52.92,6.45,52.92,
20.04.2020,44.62,5.44,44.62,
21.04.2020,55.96,6.82,55.96,
22.04.2020,54.54,6.65,54.54,
23.04.2020,39.01,4.76,39.01,
24.04.2020,52.95,6.46,52.95,
25.04.2020,45.84,5.59,45.84,
26.04.2020,51.12,6.23,51.12,
27.04.2020,56.58,6.90,56.58,
28.04.2020,53.20,6.49,53.20,
29.04.2020,50.65,6.18,50.65,
30.04.2020,47.57,5.80,47.57,
