Data e horário,Energia por retificador alternado|Primo 8.2-1 (1) (# 1),Energia por retificador alternado por kWp|Primo 8.2-1 (1) (# 1),Instalação total,
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh],
31.12.2019,58.42,7.12,58.42,
01.01.2020,45.98,5.61,45.98,
02.01.2020,56.67,6.91,56.67,
03.01.2020,45.94,5.60,45.94,
04.01.2020,59.04,7.20,59.04,
05.01.2020,44.63,5.44,44.63,
06.01.2020,17.58,2.14,17.58,
07.01.2020,37.53,4.58,37.53,
08.01.2020,44.40,5.41,44.40,
09.01.2020,48.70,5.94,48.70,
10.01.2020,52.83,6.44,52.83,
11.01.2020,43.12,5.26,43.12,
12.01.2020,23.08,2.81,23.08,
13.01.2020,59.26,7.23,59.26,
14.01.2020,60.24,7.35,60.24,
15.01.2020,47.74,5.82,47.74,
16.01.2020,42.04,5.13,42.04,
17.01.2020,58.14,7.09,58.14,
18.01.2020,45.82,5.59,45.82,
19.01.2020,49.03,5.98,49.03,
20.01.2020,55.07,6.72,55.07,
21.01.2020,26.49,3.23,26.49,
22.01.2020,31.37,3.83,31.37,
23.01.2020,39.05,4.76,39.05,
24.01.2020,52.67,6.42,52.67,
25.01.2020,60.18,7.34,60.18,
26.01.2020,53.90,6.57,53.90,
27.01.2020,57.29,6.99,57.29,
28.01.2020,52.22,6.37,52.22,
29.01.2020,33.34,4.07,33.34,
30.01.2020,37.26,4.54,37.26,
