Data e horário,Energia por retificador alternado|Primo 8.2-1 (1) (# 1),Energia por retificador alternado por kWp|Primo 8.2-1 (1) (# 1),Instalação total,
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh],
31.10.2019,60.20,7.34,60.20,
01.11.2019,51.15,6.24,51.15,
02.11.2019,54.27,6.62,54.27,
03.11.2019,56.87,6.94,56.87,
04.11.2019,55.77,6.80,55.77,
05.11.2019,39.16,4.78,39.16,
06.11.2019,27.41,3.34,27.41,
07.11.2019,39.58,4.83,39.58,
08.11.2019,26.46,3.23,26.46,
09.11.2019,37.40,4.56,37.40,
10.11.2019,51.42,6.27,51.42,
11.11.2019,51.40,6.27,51.40,
12.11.2019,38.47,4.69,38.47,
13.11.2019,16.77,2.04,16.77,
14.11.2019,53.53,6.53,53.53,
15.11.2019,64.96,7.92,64.96,
16.11.2019,63.66,7.76,63.66,
17.11.2019,56.99,6.95,56.99,
18.11.2019,52.41,6.39,52.41,
19.11.2019,63.00,7.68,63.00,
20.11.2019,54.12,6.60,54.12,
21.11.2019,44.94,5.48,44.94,
22.11.2019,56.94,6.94,56.94,
23.11.2019,57.08,6.96,57.08,
24.11.2019,31.13,3.80,31.13,
25.11.2019,35.37,4.31,35.37,
26.11.2019,21.65,2.64,21.65,
27.11.2019,36.77,4.48,36.77,
28.11.2019,35.29,4.30,35.29,
29.11.2019,45.54,5.55,45.54,
