Data e horário,Energia por retificador alternado|Primo 8.2-1 (1) (# 1),Energia por retificador alternado por kWp|Primo 8.2-1 (1) (# 1),Instalação total,
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh],
30.09.2019,49.98,6.09,49.98,
01.10.2019,51.87,6.33,51.87,
02.10.2019,54.50,6.65,54.50,
03.10.2019,40.57,4.95,40.57,
04.10.2019,26.57,3.24,26.57,
05.10.2019,11.01,1.34,11.01,
06.10.2019,27.10,3.30,27.10,
07.10.2019,27.52,3.36,27.52,
08.10.2019,52.15,6.36,52.15,
09.10.2019,52.73,6.43,52.73,
10.10.2019,57.05,6.96,57.05,
11.10.2019,62.69,7.65,62.69,
12.10.2019,43.33,5.28,43.33,
13.10.2019,57.41,7.00,57.41,
14.10.2019,52.81,6.44,52.81,
15.10.2019,38.72,4.72,38.72,
16.10.2019,22.38,2.73,22.38,
17.10.2019,25.60,3.12,25.60,
18.10.2019,28.50,3.48,28.50,
19.10.2019,51.29,6.25,51.29,
20.10.2019,11.36,1.39,11.36,
21.10.2019,55.08,6.72,55.08,
22.10.2019,61.70,7.52,61.70,
23.10.2019,54.17,6.61,54.17,
24.10.2019,60.47,7.37,60.47,
25.10.2019,50.36,6.14,50.36,
26.10.2019,60.53,7.38,60.53,
27.10.2019,58.13,7.09,58.13,
28.10.2019,52.26,6.37,52.26,
29.10.2019,58.23,7.10,58.23,
30.10.2019,55.75,6.80,55.75,
