Data e horário,Energia por retificador alternado|Primo 8.2-1 (1) (# 1),Energia por retificador alternado por kWp|Primo 8.2-1 (1) (# 1),Instalação total,
[dd.MM.yyyy],[kWh],[kWh/kWp],[kWh],
30.11.2019,42.77,5.22,42.77,
01.12.2019,33.05,4.03,33.05,
02.12.2019,36.03,4.39,36.03,
03.12.2019,42.04,5.13,42.04,
04.12.2019,33.20,4.05,33.20,
05.12.2019,31.78,3.88,31.78,
06.12.2019,65.16,7.95,65.16,
07.12.2019,44.98,5.49,44.98,
08.12.2019,13.02,1.59,13.02,
09.12.2019,45.20,5.51,45.20,
10.12.2019,38.08,4.64,38.08,
11.12.2019,53.62,6.54,53.62,
12.12.2019,37.80,4.61,37.80,
13.12.2019,31.81,3.88,31.81,
14.12.2019,53.02,6.47,53.02,
15.12.2019,44.87,5.47,44.87,
16.12.2019,35.59,4.34,35.59,
17.12.2019,44.82,5.47,44.82,
18.12.2019,55.92,6.82,55.92,
19.12.2019,61.24,7.47,61.24,
20.12.2019,24.74,3.02,24.74,
21.12.2019,28.51,3.48,28.51,
22.12.2019,50.78,6.19,50.78,
23.12.2019,49.35,6.02,49.35,
24.12.2019,38.05,4.64,38.05,
25.12.2019,48.34,5.90,48.34,
26.12.2019,46.64,5.69,46.64,
27.12.2019,43.44,5.30,43.44,
28.12.2019,51.02,6.22,51.02,
29.12.2019,44.20,5.39,44.20,
30.12.2019,35.92,4.38,35.92,
