dia_mes_ano,hora_minuto,m,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,n.x,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,n.y,P_DC
20191006,231500,1,0.17200000000000001,2.481333333333333,0.08266666666666667,0,0,20.46666666666667,0.056666666666666664,0,0,0.43666666666666665,17.252666666666666,123,5.142666666666667,15,0,0.1,215.2,0,0,44.42666666666667,15,0
20191006,233000,2,0.436,2.8486666666666665,0.094,0,0,23.500666666666667,0.06333333333333334,0,0,0.438,17.284666666666666,132,3.812666666666667,15,0,0.1,215.2,0,0,46.2,15,0
20191006,234500,3,0.04,2.924,0.09733333333333334,0,0,24.126666666666665,0.06533333333333334,0,0,0.44733333333333336,17.351333333333333,129,4.788,15,0,0.1,215.2,0,0,46.666666666666664,15,0
20191007,053000,2,10.602666666666666,5.809333333333333,0.192,0,0,47.916,0.13266666666666668,0,0,0.4593333333333333,17.158,174,1.9506666666666668,15,14.733333333333333,0.46266666666666667,217.1,97.2,0.246,510.41333333333336,15,125.56168000000001
20191007,054500,3,21.881333333333334,6.1033333333333335,0.20333333333333334,0,0,50.35333333333333,0.13933333333333334,0,0,0.4693333333333333,17.429333333333332,174,1.1526666666666667,15,25.866666666666667,0.9893333333333334,217.30666666666667,212.73333333333332,0.44866666666666666,532.18,15,238.77142666666663
20191007,060000,0,28.888666666666666,6.193333333333333,0.20666666666666667,0,0,51.102666666666664,0.14066666666666666,0,0,0.46266666666666667,17.61,177,1.862,15,32.6,1.3093333333333335,216.82,281.46666666666664,0.5720000000000001,536.04,15,306.61488
20191007,061500,1,36.55533333333333,6.878,0.22933333333333333,0,0,56.748,0.15533333333333332,0,0,0.47866666666666663,17.691333333333333,162,2.482666666666667,15,42.333333333333336,1.7333333333333334,216.42666666666668,372.6,0.734,542.8866666666667,15,398.47881333333333
20191007,063000,2,47.79333333333334,7.528666666666667,0.25133333333333335,0,0,62.114666666666665,0.17066666666666666,0,0,0.48333333333333334,17.854,162,1.9506666666666668,15,52.53333333333333,2.191333333333333,217.43333333333334,474.53333333333336,0.918,541.86,15,497.42748000000006
20191007,064500,3,53.080666666666666,8.528,0.2833333333333333,0,0,70.35533333333333,0.19333333333333333,0,0,0.49,17.967333333333332,162,2.8373333333333335,15,55.06666666666667,2.35,216.65333333333334,507.8,0.9666666666666667,551.3866666666667,15,533.0071111111112
20191007,070000,0,47.79333333333333,8.774000000000001,0.292,0,0,72.38466666666666,0.19933333333333333,0,0,0.48533333333333334,18.09,171,3.546666666666667,15,51.266666666666666,2.175333333333333,216.06,468.1333333333333,0.8993333333333333,546.9533333333334,15,491.8933644444445
