"","dia_mes_ano","hora_minuto","P_AC","I_AC","I_DC","V_AC","V_DC","IRR"
"1",20200224,0,0,0.09,0,216.6,43.9,0
"2",20200224,100,0,0.09,0,216.6,43.9,0
"3",20200224,200,0,0.09,0,216.6,43.9,0
"4",20200224,300,0,0.09,0,216.6,44,0
"5",20200224,400,0,0.09,0,216.6,44,0
"6",20200224,500,0,0.09,0,216.6,44,0
"7",20200224,600,0,0.09,0,216.6,44,0
"8",20200224,700,0,0.09,0,216.6,43.7,0
"9",20200224,800,0,0.09,0,216.6,43.7,0
"10",20200224,900,0,0.09,0,216.6,43.2,0
"11",20200224,1000,0,0.09,0,216.6,43.2,0
"12",20200224,1100,0,0.09,0,216.6,43.1,0
"13",20200224,1200,0,0.09,0,216.6,43.1,0
"14",20200224,1300,0,0.09,0,216.6,43,0
"15",20200224,1400,0,0.09,0,216.6,43,0
"16",20200224,1500,0,0.09,0,216.6,43.1,0
"17",20200224,1600,0,0.09,0,216.6,43.1,0
"18",20200224,1700,0,0.09,0,216.6,43.3,0
"19",20200224,1800,0,0.09,0,216.6,43.3,0
"20",20200224,1900,0,0.09,0,216.6,44,0
"21",20200224,2000,0,0.09,0,216.6,44,0
"22",20200224,2100,0,0.09,0,216.6,44.1,0
"23",20200224,2200,0,0.09,0,216.6,44.1,0
"24",20200224,2300,0,0.09,0,216.6,44.2,0
"25",20200224,2400,0,0.09,0,216.6,44.2,0
"26",20200224,2500,0,0.09,0,216.6,44.2,0
"27",20200224,2600,0,0.09,0,216.6,44.2,0
"28",20200224,2700,0,0.09,0,216.6,44.2,0
"29",20200224,2800,0,0.09,0,216.6,44.2,0
"30",20200224,2900,0,0.09,0,216.6,44.1,0
"31",20200224,3000,0,0.09,0,216.6,44.1,0
"32",20200224,3100,0,0.09,0,216.6,44.1,0
"33",20200224,3200,0,0.09,0,216.6,44.2,0
"34",20200224,3300,0,0.09,0,216.6,44.3,0
"35",20200224,3400,0,0.09,0,216.6,44.3,0
"36",20200224,3500,0,0.09,0,216.6,44.4,0
"37",20200224,3600,0,0.09,0,216.6,44.4,0
"38",20200224,3700,0,0.09,0,216.6,44.2,0
"39",20200224,3800,0,0.09,0,216.6,44,0
"40",20200224,3900,0,0.09,0,216.6,44,0
"41",20200224,4000,0,0.09,0,216.6,43.6,0
"42",20200224,4100,0,0.09,0,216.6,43.6,0
"43",20200224,4200,0,0.09,0,216.6,43.7,0
"44",20200224,4300,0,0.09,0,216.6,43.7,0
"45",20200224,4400,0,0.09,0,216.6,43.9,0
"46",20200224,4500,0,0.09,0,216.6,43.9,0
"47",20200224,4600,0,0.09,0,216.6,44.2,0
"48",20200224,4700,0,0.09,0,216.6,44.2,0
"49",20200224,4800,0,0.09,0,216.6,44.3,0
"50",20200224,4900,0,0.09,0,216.6,44.3,0
"51",20200224,5000,0,0.09,0,216.6,44.8,0
"52",20200224,5100,0,0.09,0,216.6,44.8,0
"53",20200224,5200,0,0.09,0,216.6,44.8,0
"54",20200224,5300,0,0.09,0,216.6,44.8,0
"55",20200224,5400,0,0.09,0,216.6,45,0
"56",20200224,5500,0,0.09,0,216.6,45,0
"57",20200224,5600,0,0.09,0,216.6,45.3,0
"58",20200224,5700,0,0.09,0,216.6,45.3,0
"59",20200224,5800,0,0.09,0,216.6,45.5,0
"60",20200224,54200,9,0.1,0.09,215.4,459.8,6
"61",20200224,54300,15,0.11,0.1,215.5,427.2,6
"62",20200224,54400,21,0.12,0.11,215.7,467.1,6
"63",20200224,54500,25,0.15,0.12,215.8,476.2,7
"64",20200224,54600,36,0.18,0.13,215.9,473.1,9
"65",20200224,54700,49,0.25,0.16,216.1,493.1,12
"66",20200224,54800,60,0.29,0.18,217.4,497.8,12
"67",20200224,54900,63,0.3,0.19,217.6,490.1,12
"68",20200224,55000,66,0.32,0.19,217.6,493,12
"69",20200224,55100,73,0.36,0.21,217.5,494.2,13
"70",20200224,55200,88,0.42,0.23,217.5,508.9,15
"71",20200224,55300,108,0.52,0.27,217.4,504.4,18
"72",20200224,55400,127,0.6,0.31,217.6,499.7,19
"73",20200224,55500,138,0.65,0.33,217.6,504.9,15
"74",20200224,55600,147,0.69,0.35,217.6,503.8,21
"75",20200224,55700,156,0.74,0.35,217.5,519.2,24
"76",20200224,55800,166,0.78,0.38,217.8,509.2,24
"77",20200224,55900,179,0.83,0.4,217.7,518.8,25
"78",20200224,60000,192,0.89,0.42,217.7,522.3,27
"79",20200224,60100,204,0.95,0.45,217.3,520.4,28
"80",20200224,60200,219,1.02,0.47,217.4,524.8,31
"81",20200224,60300,234,1.09,0.49,217.5,525.7,31
"82",20200224,60400,250,1.16,0.52,217.4,527.1,33
"83",20200224,60500,267,1.24,0.55,217.1,533.4,35
"84",20200224,60600,282,1.32,0.59,217.3,533.4,38
"85",20200224,60700,303,1.4,0.62,217.1,532.4,38
"86",20200224,60800,324,1.5,0.66,217,532.2,41
"87",20200224,60900,345,1.61,0.7,215.8,533.8,42
"88",20200224,61000,369,1.71,0.74,215.8,537.5,45
"89",20200224,61100,390,1.81,0.77,215.9,536.8,48
