"","dia_mes_ano","hora_minuto","P_AC","I_AC","I_DC","V_AC","V_DC","IRR"
"1",20191004,52100,9,0.1,0.09,220,461.7,6
"2",20191004,52200,12,0.1,0.1,220.1,440,6
"3",20191004,52300,19,0.12,0.1,218.7,481.5,6
"4",20191004,52400,27,0.15,0.12,218.8,466.9,7
"5",20191004,52500,33,0.18,0.13,218.3,482.4,7
"6",20191004,52600,39,0.2,0.14,217.5,494.2,7
"7",20191004,52700,48,0.23,0.15,217.5,485.4,9
"8",20191004,52800,54,0.27,0.17,217.5,491.6,9
"9",20191004,52900,66,0.31,0.18,217.5,502,10
"10",20191004,53000,72,0.35,0.2,217.7,501.6,12
"11",20191004,53100,76,0.36,0.22,217.8,495.3,13
"12",20191004,53200,90,0.43,0.24,217.6,506.6,13
"13",20191004,53300,99,0.47,0.25,217.6,508.1,15
"14",20191004,53400,105,0.49,0.26,217.6,515.8,16
"15",20191004,53500,114,0.53,0.28,217.6,510.7,16
"16",20191004,53600,123,0.57,0.29,217.5,512.5,18
"17",20191004,53700,132,0.62,0.31,217.6,514.3,18
"18",20191004,53800,145,0.68,0.33,217.4,521.5,21
"19",20191004,53900,162,0.75,0.36,217.2,522.2,22
"20",20191004,54000,177,0.82,0.39,217.1,528.2,24
"21",20191004,54100,194,0.9,0.41,217.1,536.3,27
"22",20191004,54200,207,0.97,0.43,217.1,537.5,28
"23",20191004,54300,222,1.04,0.47,217.2,531.3,30
"24",20191004,54400,240,1.12,0.49,217.1,546.4,33
"25",20191004,54500,255,1.19,0.51,217.2,549.2,35
"26",20191004,54600,270,1.25,0.54,217.5,550.4,36
"27",20191004,54700,285,1.31,0.57,218.5,554.5,38
"28",20191004,54800,299,1.38,0.59,218.6,553.6,41
"29",20191004,54900,312,1.44,0.61,218.6,560.8,41
"30",20191004,55000,330,1.53,0.64,218.5,557.9,44
"31",20191004,55100,346,1.6,0.67,218.7,558.9,47
"32",20191004,55200,363,1.67,0.7,218.6,558.2,48
"33",20191004,55300,381,1.75,0.72,218.4,562.4,50
"34",20191004,55400,396,1.83,0.76,218.6,564.4,53
"35",20191004,55500,416,1.91,0.79,218.5,567,56
"36",20191004,55600,435,1.99,0.81,218.5,571.3,57
"37",20191004,55700,450,2.06,0.83,218.6,567.3,59
"38",20191004,55800,471,2.15,0.88,219,568.9,62
"39",20191004,55900,486,2.23,0.9,219,569.7,65
"40",20191004,60000,504,2.31,0.94,218.8,567.1,66
"41",20191004,60100,519,2.39,0.96,218.9,570.9,70
"42",20191004,60200,538,2.47,1,219,568.2,71
"43",20191004,60300,561,2.57,1.03,219,571.6,74
"44",20191004,60400,582,2.66,1.05,219.1,576.2,77
"45",20191004,60500,603,2.78,1.09,217.8,572.7,80
"46",20191004,60600,624,2.87,1.14,217.9,573.8,83
"47",20191004,60700,645,2.97,1.17,217.7,575.6,86
"48",20191004,60800,666,3.07,1.2,217.8,576.5,88
"49",20191004,60900,688,3.17,1.25,217.7,571.1,91
"50",20191004,61000,711,3.28,1.29,217.9,571.7,95
"51",20191004,61100,742,3.41,1.35,217.8,571.7,98
"52",20191004,61200,777,3.57,1.48,217.9,543.1,103
"53",20191004,61300,822,3.78,1.68,218,509.6,106
"54",20191004,61400,854,3.93,1.75,217.9,509,111
"55",20191004,61500,900,4.14,1.75,217.7,525.8,114
