"","dia_mes_ano","hora_minuto","P_AC","I_AC","I_DC","V_AC","V_DC","IRR"
"1",20200203,0,0,0.1,0,213.4,41.8,0
"2",20200203,100,0,0.1,0,213.4,41.5,0
"3",20200203,200,0,0.1,0,213.4,41.5,0
"4",20200203,300,0,0.1,0,213.4,40.9,0
"5",20200203,400,0,0.1,0,213.4,40.9,0
"6",20200203,500,0,0.1,0,213.4,40.7,0
"7",20200203,600,0,0.1,0,213.4,40.7,0
"8",20200203,700,0,0.1,0,213.4,40.7,0
"9",20200203,800,0,0.1,0,213.4,40.7,0
"10",20200203,900,0,0.1,0,213.4,40.6,0
"11",20200203,1000,0,0.1,0,213.4,40.6,0
"12",20200203,1100,0,0.1,0,213.4,40.7,0
"13",20200203,1200,0,0.1,0,213.4,40.7,0
"14",20200203,1300,0,0.1,0,213.4,40.7,0
"15",20200203,1400,0,0.1,0,213.4,40.7,0
"16",20200203,1500,0,0.1,0,213.4,40.7,0
"17",20200203,1600,0,0.1,0,213.4,40.7,0
"18",20200203,1700,0,0.1,0,213.4,40.7,0
"19",20200203,1800,0,0.1,0,213.4,40.7,0
"20",20200203,1900,0,0.1,0,213.4,40.8,0
"21",20200203,2000,0,0.1,0,213.4,40.8,0
"22",20200203,2100,0,0.1,0,213.4,40.8,0
"23",20200203,2200,0,0.1,0,213.4,40.8,0
"24",20200203,2300,0,0.1,0,213.4,41.2,0
"25",20200203,2400,0,0.1,0,213.4,41.3,0
"26",20200203,2500,0,0.1,0,213.4,41.5,0
"27",20200203,2600,0,0.1,0,213.4,41.6,0
"28",20200203,2700,0,0.1,0,213.4,41.7,0
"29",20200203,2800,0,0.1,0,213.4,41.8,0
"30",20200203,2900,0,0.1,0,213.4,41.8,0
"31",20200203,3000,0,0.1,0,213.4,42,0
"32",20200203,3100,0,0.1,0,213.4,42.1,0
"33",20200203,3200,0,0.1,0,213.4,42.1,0
"34",20200203,3300,0,0.1,0,213.4,42.1,0
"35",20200203,3400,0,0.1,0,213.4,42.1,0
"36",20200203,3500,0,0.1,0,213.4,42,0
"37",20200203,3600,0,0.1,0,213.4,41.9,0
"38",20200203,3700,0,0.1,0,213.4,41.8,0
"39",20200203,3800,0,0.1,0,213.4,41.7,0
"40",20200203,3900,0,0.1,0,213.4,41.7,0
"41",20200203,4000,0,0.1,0,213.4,41.6,0
"42",20200203,4100,0,0.1,0,213.4,41.6,0
"43",20200203,4200,0,0.1,0,213.4,41.6,0
"44",20200203,4300,0,0.1,0,213.4,41.6,0
"45",20200203,4400,0,0.1,0,213.4,41.6,0
"46",20200203,4500,0,0.1,0,213.4,41.6,0
"47",20200203,4600,0,0.1,0,213.4,41.7,0
"48",20200203,4700,0,0.1,0,213.4,41.7,0
"49",20200203,4800,0,0.1,0,213.4,41.8,0
"50",20200203,4900,0,0.1,0,213.4,41.8,0
"51",20200203,5000,0,0.1,0,213.4,41.3,0
"52",20200203,5100,0,0.1,0,213.4,41.3,0
"53",20200203,5200,0,0.1,0,213.4,41.1,0
"54",20200203,5300,0,0.1,0,213.4,41.1,0
"55",20200203,5400,0,0.1,0,213.4,41.2,0
"56",20200203,5500,0,0.1,0,213.4,41.2,0
"57",20200203,54500,4,0.09,0.07,217.1,460.5,6
"58",20200203,54600,6,0.09,0.08,216.9,452.6,4
"59",20200203,54700,6,0.09,0.08,216.9,448,4
"60",20200203,54800,6,0.09,0.08,216.5,457.8,7
"61",20200203,54900,9,0.1,0.09,216.8,447.6,6
"62",20200203,55000,12,0.11,0.09,217,462.2,7
"63",20200203,55100,15,0.11,0.09,216.8,455.9,6
"64",20200203,55200,15,0.12,0.1,216.6,464.6,6
"65",20200203,55300,17,0.12,0.1,216.8,462.8,6
"66",20200203,55400,21,0.14,0.11,216.9,462.9,7
"67",20200203,55500,24,0.14,0.11,216.8,470.3,4
"68",20200203,55600,27,0.15,0.12,216.7,456.3,7
"69",20200203,55700,32,0.17,0.13,218.2,467.3,7
"70",20200203,55800,33,0.18,0.14,218.2,468,9
"71",20200203,55900,36,0.2,0.14,218.1,479.4,10
"72",20200203,60000,40,0.21,0.14,217.9,489.5,10
"73",20200203,60100,45,0.23,0.15,218.1,492.1,9
"74",20200203,60200,52,0.26,0.17,218.1,475.3,10
"75",20200203,60300,63,0.31,0.19,218,490.9,12
"76",20200203,60400,57,0.28,0.17,217.7,498.9,12
"77",20200203,60500,57,0.26,0.18,217.8,442.1,12
"78",20200203,60600,58,0.29,0.18,218,490.2,12
"79",20200203,60700,63,0.3,0.19,218.1,489.6,12
"80",20200203,60800,66,0.32,0.19,217.8,492.1,12
"81",20200203,60900,69,0.33,0.2,217.8,500.3,13
"82",20200203,61000,72,0.35,0.21,217.7,491.2,13
"83",20200203,61100,75,0.36,0.22,217.8,500.1,13
"84",20200203,61200,81,0.38,0.22,217.8,504.8,15
"85",20200203,61300,81,0.4,0.23,217.8,496.7,15
"86",20200203,61400,87,0.41,0.24,217.9,496.1,15
"87",20200203,61500,90,0.43,0.24,218,504.1,15
"88",20200203,61600,97,0.45,0.25,217.9,502,15
"89",20200203,61700,102,0.48,0.26,217.9,505.5,16
"90",20200203,61800,106,0.51,0.27,216.7,501.7,18
"91",20200203,61900,114,0.54,0.28,216.7,500.6,18
"92",20200203,62000,121,0.57,0.29,216.3,506.8,18
"93",20200203,62100,129,0.61,0.31,216.4,506,19
"94",20200203,62200,138,0.64,0.32,216.7,507,21
"95",20200203,62300,147,0.69,0.33,216.9,513.9,21
"96",20200203,62400,156,0.74,0.36,216.6,517.1,22
"97",20200203,62500,168,0.8,0.38,216.8,520.9,25
"98",20200203,62600,183,0.86,0.4,216.8,521.2,25
"99",20200203,62700,198,0.93,0.42,216.6,524.5,28
"100",20200203,62800,213,1,0.45,216.6,523.9,28
"101",20200203,62900,231,1.08,0.49,216.8,530.5,31
"102",20200203,63000,252,1.17,0.52,216.6,532.4,33
"103",20200203,63100,270,1.26,0.55,216.9,540,36
"104",20200203,63200,294,1.37,0.6,216.7,538.7,38
"105",20200203,63300,318,1.48,0.64,216.8,541.4,39
"106",20200203,63400,345,1.59,0.69,216.9,541.8,44
"107",20200203,63500,372,1.72,0.73,216.8,545.7,45
"108",20200203,63600,381,1.86,0.78,216.6,546.5,48
