"","dia_mes_ano","hora_minuto","P_AC","I_AC","I_DC","V_AC","V_DC","IRR"
"1",20200314,0,0,0,0,202631375875504406948600280044862664442848642,39.1,0
"2",20200314,100,0,0,0,202631375875504406948600280044862664442848642,39.1,0
"3",20200314,200,0,0,0,202631375875504406948600280044862664442848642,39.2,0
"4",20200314,300,0,0,0,202631375875504406948600280044862664442848642,39.2,0
"5",20200314,400,0,0,0,202631375875504406948600280044862664442848642,39.2,0
"6",20200314,500,0,0,0,202631375875504406948600280044862664442848642,39.2,0
"7",20200314,600,0,0,0,202631375875504406948600280044862664442848642,39.3,0
"8",20200314,700,0,0,0,202631375875504406948600280044862664442848642,39.3,0
"9",20200314,800,0,0,0,202631375875504406948600280044862664442848642,39.2,0
"10",20200314,900,0,0,0,202631375875504406948600280044862664442848642,39.2,0
"11",20200314,1000,0,0,0,202631375875504406948600280044862664442848642,39.3,0
"12",20200314,1100,0,0,0,202631375875504406948600280044862664442848642,39.3,0
"13",20200314,1200,0,0,0,202631375875504406948600280044862664442848642,39.4,0
"14",20200314,1300,0,0,0,202631375875504406948600280044862664442848642,39.4,0
"15",20200314,1400,0,0,0,202631375875504406948600280044862664442848642,39.5,0
"16",20200314,1500,0,0,0,202631375875504406948600280044862664442848642,39.5,0
"17",20200314,1600,0,0,0,202631375875504406948600280044862664442848642,39.5,0
"18",20200314,1700,0,0,0,202631375875504406948600280044862664442848642,39.5,0
"19",20200314,1800,0,0,0,202631375875504406948600280044862664442848642,39.6,0
"20",20200314,1900,0,0,0,202631375875504406948600280044862664442848642,39.6,0
"21",20200314,2000,0,0,0,202631375875504406948600280044862664442848642,39.6,0
"22",20200314,2100,0,0,0,202631375875504406948600280044862664442848642,39.6,0
"23",20200314,2200,0,0,0,202631375875504406948600280044862664442848642,39.6,0
"24",20200314,2300,0,0,0,202631375875504406948600280044862664442848642,39.6,0
"25",20200314,2400,0,0,0,202631375875504406948600280044862664442848642,39.7,0
"26",20200314,2500,0,0,0,202631375875504406948600280044862664442848642,39.8,0
"27",20200314,2600,0,0,0,202631375875504406948600280044862664442848642,40,0
"28",20200314,2700,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"29",20200314,2800,0,0,0,202631375875504406948600280044862664442848642,40.4,0
"30",20200314,2900,0,0,0,202631375875504406948600280044862664442848642,40.6,0
"31",20200314,3000,0,0,0,202631375875504406948600280044862664442848642,40.6,0
"32",20200314,3100,0,0,0,202631375875504406948600280044862664442848642,40.4,0
"33",20200314,3200,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"34",20200314,3300,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"35",20200314,3400,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"36",20200314,3500,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"37",20200314,3600,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"38",20200314,3700,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"39",20200314,3800,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"40",20200314,3900,0,0,0,202631375875504406948600280044862664442848642,40.1,0
"41",20200314,4000,0,0,0,202631375875504406948600280044862664442848642,40.1,0
"42",20200314,4100,0,0,0,202631375875504406948600280044862664442848642,40.3,0
"43",20200314,4200,0,0,0,202631375875504406948600280044862664442848642,40.3,0
"44",20200314,4300,0,0,0,202631375875504406948600280044862664442848642,40.4,0
"45",20200314,4400,0,0,0,202631375875504406948600280044862664442848642,40.4,0
"46",20200314,4500,0,0,0,202631375875504406948600280044862664442848642,40.3,0
"47",20200314,4600,0,0,0,202631375875504406948600280044862664442848642,40.3,0
"48",20200314,4700,0,0,0,202631375875504406948600280044862664442848642,40.4,0
"49",20200314,4800,0,0,0,202631375875504406948600280044862664442848642,40.4,0
"50",20200314,4900,0,0,0,202631375875504406948600280044862664442848642,40.6,0
"51",20200314,5000,0,0,0,202631375875504406948600280044862664442848642,40.6,0
"52",20200314,5100,0,0,0,202631375875504406948600280044862664442848642,40.7,0
"53",20200314,5200,0,0,0,202631375875504406948600280044862664442848642,40.7,0
"54",20200314,5300,0,0,0,202631375875504406948600280044862664442848642,40.7,0
"55",20200314,5400,0,0,0,202631375875504406948600280044862664442848642,40.7,0
"56",20200314,5500,0,0,0,202631375875504406948600280044862664442848642,40.7,0
"57",20200314,5600,0,0,0,202631375875504406948600280044862664442848642,40.7,0
"58",20200314,5700,0,0,0,202631375875504406948600280044862664442848642,41.1,0
"59",20200314,5800,0,0,0,202631375875504406948600280044862664442848642,41.1,0
"60",20200314,5900,0,0,0,202631375875504406948600280044862664442848642,41.5,0
"61",20200314,10000,0,0,0,202631375875504406948600280044862664442848642,41.5,0
"62",20200314,10100,0,0,0,202631375875504406948600280044862664442848642,41.8,0
"63",20200314,10200,0,0,0,202631375875504406948600280044862664442848642,41.9,0
"64",20200314,10300,0,0,0,202631375875504406948600280044862664442848642,41.9,0
"65",20200314,10400,0,0,0,202631375875504406948600280044862664442848642,42,0
"66",20200314,10500,0,0,0,202631375875504406948600280044862664442848642,41.9,0
"67",20200314,10600,0,0,0,202631375875504406948600280044862664442848642,41.6,0
"68",20200314,10700,0,0,0,202631375875504406948600280044862664442848642,41.3,0
"69",20200314,10800,0,0,0,202631375875504406948600280044862664442848642,41.2,0
"70",20200314,10900,0,0,0,202631375875504406948600280044862664442848642,41.1,0
"71",20200314,11000,0,0,0,202631375875504406948600280044862664442848642,41.2,0
"72",20200314,11100,0,0,0,202631375875504406948600280044862664442848642,41.1,0
"73",20200314,11200,0,0,0,202631375875504406948600280044862664442848642,40.9,0
"74",20200314,11300,0,0,0,202631375875504406948600280044862664442848642,40.6,0
"75",20200314,11400,0,0,0,202631375875504406948600280044862664442848642,40.4,0
"76",20200314,11500,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"77",20200314,11600,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"78",20200314,11700,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"79",20200314,11800,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"80",20200314,11900,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"81",20200314,12000,0,0,0,202631375875504406948600280044862664442848642,40.3,0
"82",20200314,12100,0,0,0,202631375875504406948600280044862664442848642,40.3,0
"83",20200314,12200,0,0,0,202631375875504406948600280044862664442848642,40.3,0
"84",20200314,12300,0,0,0,202631375875504406948600280044862664442848642,40.3,0
"85",20200314,12400,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"86",20200314,12500,0,0,0,202631375875504406948600280044862664442848642,40.2,0
"87",20200314,12600,0,0,0,202631375875504406948600280044862664442848642,40.4,0
"88",20200314,12700,0,0,0,202631375875504406948600280044862664442848642,40.4,0
"89",20200314,12800,0,0,0,202631375875504406948600280044862664442848642,40.5,0
"90",20200314,12900,0,0,0,202631375875504406948600280044862664442848642,40.5,0
"91",20200314,13000,0,0,0,202631375875504406948600280044862664442848642,40.7,0
"92",20200314,13100,0,0,0,202631375875504406948600280044862664442848642,40.7,0
"93",20200314,13200,0,0,0,202631375875504406948600280044862664442848642,40.8,0
"94",20200314,13300,0,0,0,202631375875504406948600280044862664442848642,40.8,0
"95",20200314,13400,0,0,0,202631375875504406948600280044862664442848642,40.8,0
"96",20200314,13500,0,0,0,202631375875504406948600280044862664442848642,40.8,0
"97",20200314,13600,0,0,0,202631375875504406948600280044862664442848642,41,0
"98",20200314,13700,0,0,0,202631375875504406948600280044862664442848642,41,0
"99",20200314,13800,0,0,0,202631375875504406948600280044862664442848642,41,0
"100",20200314,13900,0,0,0,202631375875504406948600280044862664442848642,41,0
"101",20200314,14000,0,0,0,202631375875504406948600280044862664442848642,41.2,0
"102",20200314,14100,0,0,0,202631375875504406948600280044862664442848642,41.2,0
"103",20200314,14200,0,0,0,202631375875504406948600280044862664442848642,41.4,0
"104",20200314,14300,0,0,0,202631375875504406948600280044862664442848642,41.5,0
"105",20200314,14400,0,0,0,202631375875504406948600280044862664442848642,41.7,0
"106",20200314,14500,0,0,0,202631375875504406948600280044862664442848642,41.9,0
"107",20200314,14600,0,0,0,202631375875504406948600280044862664442848642,42.1,0
"108",20200314,14700,0,0,0,202631375875504406948600280044862664442848642,42.3,0
"109",20200314,14800,0,0,0,202631375875504406948600280044862664442848642,42.3,0
"110",20200314,14900,0,0,0,202631375875504406948600280044862664442848642,42.4,0
"111",20200314,15000,0,0,0,202631375875504406948600280044862664442848642,42.4,0
"112",20200314,15100,0,0,0,202631375875504406948600280044862664442848642,42.5,0
"113",20200314,15200,0,0,0,202631375875504406948600280044862664442848642,42.7,0
"114",20200314,15300,0,0,0,202631375875504406948600280044862664442848642,42.9,0
