Dia,RL_Res_Min,RL_Res_1Q,RL_Res_Mdn,RL_Res_3Q,RegLin_Max,CoefEst_Intercept,CoefEst_irr_est,CoefEst_temp,CoefEst_numPM1,CoefEst_massaPM1,CoefEst_numPM2,CoefEst_massaPM2,CoefStdError_Intercept,CoefStdError_irr_est,CoefStdError_temp,CoefStdError_numPM1,CoefStdError_massaPM1,CoefStdError_numPM2,CoefStdError_massaPM2,CoefPValue_Intercept,CoefPValue_irr_est,CoefPValue_temp,CoefPValue_numPM1,CoefPValue_massaPM1,CoefPValue_numPM2,CoefPValue_massaPM2,R2,R2_ajust,Graus_Lib,Err_res_pad
20191028,-296.6901650523795,-56.655238723316046,-16.54894850012879,66.67121611576577,283.3729893755278,497.15947409762373,8.770740622051587,-27.60014663323014,504.26389360763534,-5730.48041398021,22743.000014370708,33047.7719440818,692.451745865034,0.2244693098991885,28.267762076085234,2030.1595847585963,16802.562566958546,15928.841023215198,18859.780649585515,0.48380906496119547,1.6564678295482786e-16,0.3443597542815223,0.8072039664862874,0.7377976163906591,0.17384124271454374,0.10013472065904662,0.998042585982861,0.9969986318403868,15,170.81802453297087
20191029,-415.6703226642789,-38.563251619200926,-4.966234322120294,47.240906477060264,272.4832301266239,164.24472167612143,8.531348407059351,-8.992572408217264,271.08444051872425,-2164.3405677370183,-3503.991625159828,401.49962971168753,328.90618969630384,0.13215406700547352,13.253600415096924,995.4277813528489,8273.05134202738,8464.308046248174,8987.457277299249,0.620326765902488,2.916591324763435e-41,0.5014609893216692,0.7868052845361034,0.7949963087077061,0.6811620746367415,0.9645956519141674,0.9976548034020725,0.9971737374332669,39,158.7702910091977
20191030,-412.01911163526523,-61.843727887831285,0.8370808427194657,41.276733081495166,329.80267279209477,-190.2629556911433,8.335991107153532,5.000106475880788,718.1152957526981,-5860.107916987886,-4295.166842602455,1322.1906057280166,188.3550132100219,0.09820663064514508,6.889582560155005,760.5606754792037,6292.893414236428,6625.605732062969,6842.7520836569,0.31629722413272643,1.1144765873439253e-66,0.47068029505337194,0.3486786317261886,0.3552914232100961,0.5191676350336434,0.847404381322607,0.9976539184111468,0.9973560032887527,63,156.51191148666612
20191031,-727.3619657769295,-66.92015113052909,5.343286630993297,66.1393711102643,374.34469606418725,-193.12436046929892,8.259176124931857,3.6454132277891538,1458.9421235512996,-11838.428529965866,-7769.463180092526,-275.7702162838882,182.15183568555605,0.08963966863382578,6.124228154957743,693.3133538557315,5700.107738063974,6296.932514538722,6038.660789855498,0.2919707697122873,1.598043850470841e-88,0.5532252307695579,0.03823715477536053,0.040762187486564655,0.22058205340905754,0.9636799720376951,0.9971082545859513,0.996842346961671,87,170.76165239277273
20191101,-728.204679599732,-61.060778891536046,5.2051996434508405,64.06033968748606,381.31900920827854,-201.01207237293676,8.271936121026101,3.1553828315972985,1238.5073210286675,-9995.938545103045,-9492.918806808893,312.6381162675957,159.231129327629,0.07720115148024877,5.20743686442729,622.751336011073,5120.884022595303,5508.591457728284,5416.305246211457,0.20945365971199265,6.850133332301583e-114,0.5457931468084553,0.04918749623550731,0.05345763058849062,0.08761998387484085,0.9540741240375917,0.9971518752016345,0.9969466049458965,111,168.99673876252544
20191102,-960.7059557753521,-77.29694927049675,3.4517827873793654,80.41716761286546,449.98184109207136,-177.50671639761853,8.189950622335083,1.5824621903681078,1485.726219977869,-11871.27443776567,-8922.020542521015,-5042.872235286468,166.57171274954243,0.08605669029273462,5.7299408224076265,666.5885764472297,5486.250104670704,5896.937749001349,5830.87747935003,0.28848522711981117,1.2761287171117912e-125,0.7828365604899772,0.02747721333011182,0.03223793800284069,0.13261921002439406,0.38865176024406645,0.9958615341086756,0.995616291685486,135,199.5276271431246
20191103,-951.1023397098357,-64.75755720351853,-2.40300051770459,77.46174146746507,486.85511537869775,-15.873966008895634,8.169109537436533,0.5856235305198952,1274.2493809777998,-10279.525525333824,-6798.772313502799,-2538.45860037986,149.25937721761986,0.08074883676559737,5.466050360375576,618.2042919423017,5092.8299141772295,5390.219332854829,5306.428721660117,0.9154374959053464,3.0308735768254977e-146,0.9148143015477489,0.04091133854610638,0.04522739923666484,0.2090422832259548,0.6330410015912143,0.9958981412623442,0.9956917584327767,159,196.71249201132173
20191104,-881.2854284058131,-60.853174283814226,4.211220032103176,62.047215059321644,533.5661696626163,-57.07591726461673,8.105671991536482,2.997210698150639,1422.766505262715,-11581.474212082234,-4686.5598839979075,-1610.8767133649471,137.9493945094168,0.07564371550728596,5.208710214214698,598.3176451803953,4921.5177490810975,5135.662326194971,5166.0203116510465,0.6795451036544145,4.6398590407911935e-167,0.5657122383333653,0.018439950830934207,0.019672569230898263,0.3626787281318691,0.755531083746305,0.9956087422993702,0.995416774749616,183,202.25850446409302
20191105,-841.8434630293813,-57.901083132837975,2.6987397081149185,61.02177690163661,578.8565660905357,-61.32258544002326,8.086864250169844,3.1640524361050684,1241.844174865391,-10225.683095692615,-780.3527200531723,-78.15533482765342,131.50345787981922,0.07183599473086384,4.942497345301005,570.2755297647263,4692.728526536848,4943.304613348414,4948.555067810946,0.6414774013322192,1.1854811688251075e-187,0.52276820864262,0.03056474174314915,0.030457045374275335,0.8747205791067307,0.9874142925634821,0.9954294927666284,0.9952528548059184,207,204.82227431844962
20191106,-867.3873348669139,-63.89639268755407,-5.245751609563558,67.74950888854136,562.4171593304595,21.160796790621575,8.135803367246394,0.1884836064621022,1086.6126311854975,-9025.122915625489,84.38282884865252,1747.617932147781,130.7935540821498,0.073024304508246915,4.925627609224389,552.2385234012426,4578.288126350621,3342.2542570712694,3711.281135737095,0.871614408196918,9.002747463079365e-203,0.9695087225961544,0.05030472107784073,0.049884681754782396,0.9798795214142512,0.6381611943842509,0.9947405818589887,0.9945584375077848,231,214.19960239443643
