tipo,P_AC,I_DC,IRR,I_AC,V_AC,dia_mes_ano,V_DC,hora_minuto
inverter,9.0,0.09,6.0,0.1,220.0,20191004.0,461.7,052100
inverter,12.0,0.1,6.0,0.1,220.1,20191004.0,440.0,052200
inverter,19.0,0.1,6.0,0.12,218.7,20191004.0,481.5,052300
inverter,27.0,0.12,7.0,0.15,218.8,20191004.0,466.9,052400
inverter,33.0,0.13,7.0,0.18,218.3,20191004.0,482.4,052500
inverter,39.0,0.14,7.0,0.2,217.5,20191004.0,494.2,052600
inverter,48.0,0.15,9.0,0.23,217.5,20191004.0,485.4,052700
inverter,54.0,0.17,9.0,0.27,217.5,20191004.0,491.6,052800
inverter,66.0,0.18,10.0,0.31,217.5,20191004.0,502.0,052900
inverter,72.0,0.2,12.0,0.35,217.7,20191004.0,501.6,053000
inverter,76.0,0.22,13.0,0.36,217.8,20191004.0,495.3,053100
inverter,90.0,0.24,13.0,0.43,217.6,20191004.0,506.6,053200
inverter,99.0,0.25,15.0,0.47,217.6,20191004.0,508.1,053300
inverter,105.0,0.26,16.0,0.49,217.6,20191004.0,515.8,053400
inverter,114.0,0.28,16.0,0.53,217.6,20191004.0,510.7,053500
inverter,123.0,0.29,18.0,0.57,217.5,20191004.0,512.5,053600
inverter,132.0,0.31,18.0,0.62,217.6,20191004.0,514.3,053700
inverter,145.0,0.33,21.0,0.68,217.4,20191004.0,521.5,053800
inverter,162.0,0.36,22.0,0.75,217.2,20191004.0,522.2,053900
inverter,177.0,0.39,24.0,0.82,217.1,20191004.0,528.2,054000
inverter,194.0,0.41,27.0,0.9,217.1,20191004.0,536.3,054100
inverter,207.0,0.43,28.0,0.97,217.1,20191004.0,537.5,054200
inverter,222.0,0.47,30.0,1.04,217.2,20191004.0,531.3,054300
inverter,240.0,0.49,33.0,1.12,217.1,20191004.0,546.4,054400
inverter,255.0,0.51,35.0,1.19,217.2,20191004.0,549.2,054500
inverter,270.0,0.54,36.0,1.25,217.5,20191004.0,550.4,054600
inverter,285.0,0.57,38.0,1.31,218.5,20191004.0,554.5,054700
