dia_mes_ano,hora_minuto,irradiacao,temperatura,preciptacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191029,001500,0,23.11,0,0.96,0.03,0,0,7.95,0.02,0,0,0.43,30,0,0,0.09,212.9,0,0,39.29,0
20191029,003000,0,23.33,0,0.87,0.03,0,0,7.14,0.02,0,0,0.44,21,0,0,0.09,212.9,0,0,38.44,0
20191029,004500,0,23.35,0,0.82,0.03,0,0,6.75,0.02,0,0,0.45,15,0,0,0.09,212.9,0,0,39.17,0
20191029,061500,214.74,29.07,0,1.46,0.05,0,0,12.02,0.03,0,0,0.47,0,0,24.93,0.86,213.85,180.53,0.4,517.75,207.1
20191029,063000,262.23,18.99,0,1.89,0.06,0,0,15.58,0.04,0,0,0.45,40.33,0,47.33,1.79,211.51,376.53,0.74,547.16,404.9
20191029,064500,322.11,30.53,0,1.49,0.05,0,0,12.29,0.03,0,0,0.43,67,0,80.6,3.24,212.04,686.87,1.28,557.05,713.02
20191029,070000,378.47,10.59,0,1.99,0.07,0,0,16.4,0.05,0,0,0.46,25.33,0,127.93,5.19,213.61,1116.8,2.07,552.32,1143.3
20191029,071500,427.27,32.35,0,1.44,0.05,0,0,11.89,0.03,0,0,0.47,73.33,0,185,7.61,214.13,1626.13,2.99,555.28,1660.29
20191029,073000,492.37,33.31,0,1.29,0.04,0,0,10.62,0.03,0,0,0.46,3,0,239.47,9.98,215.54,2144,3.88,563.13,2184.94
20191029,074500,552.64,34.33,0,1.55,0.05,0,0,12.84,0.03,0,0,0.46,62.67,0,305.6,12.85,215.27,2766.2,4.99,562.43,2806.53
20191029,080000,607.57,34.84,0,2.66,0.09,0,0,21.94,0.06,0,0,0.45,101.67,0,368.8,15.42,215.64,3323.13,6.09,553.25,3369.29
20191029,081500,602.24,35.15,0,3.27,0.11,0,0,26.94,0.07,0,0,0.47,166.79,0,423.8,17.69,214.66,3795.67,6.99,550.24,3846.18
20191029,083000,599.61,34.42,0,3.29,0.11,0,0,27.14,0.07,0,0,0.43,49.33,0,491.87,20.44,213.26,4358.53,8.14,544.05,4428.57
20191029,084500,762.43,34.85,0,3.68,0.12,0,0,30.35,0.08,0,0,0.42,156.67,0,559.13,22.72,215.2,4890.27,9.28,536.18,4975.75
20191029,090000,672.02,35.05,0,3.59,0.12,0,0,29.63,0.08,0,0,0.44,204.33,0,601.8,24.37,213.21,5248.93,9.92,531.99,5277.34
20191029,091500,475.41,33.63,0,4.02,0.13,0,0,33.18,0.09,0,0,0.43,134.67,0,645.8,26.33,213.08,5573.13,10.82,529.33,5727.35
20191029,093000,772.6,33.95,0,3.66,0.12,0,0,30.21,0.08,0,0,0.43,116.33,0,607.87,24.61,212.02,5210.47,10.06,529.82,5329.99
20191029,094500,920.55,34.27,0,3.48,0.12,0,0,28.68,0.08,0,0,0.43,31.33,0,775.93,30.65,214.31,6592.53,12.77,523.39,6683.69
20191029,100000,931.9,34.64,0,3.53,0.12,0,0,29.1,0.08,0,0,0.42,94.33,0,737.93,28.42,212.92,6215,11.71,520.2,6091.54
20191029,101500,955.77,34.69,0,3.57,0.12,0,0,29.49,0.08,0,0,0.42,122.33,0,517.93,20.34,210.43,4353.87,8.07,536,4325.52
20191029,103000,980.43,34.66,0,3.51,0.12,0,0,28.97,0.08,0,0,0.43,107.33,0,807.47,31.86,214.45,6818.2,13.22,530.87,7018.1
20191029,104500,984.61,35,0,3.64,0.12,0,0,30.02,0.08,0,0,0.43,149.67,0,956.67,36.73,214.59,7886.13,15.69,512.27,8037.52
20191029,110000,997.26,35.1,0,3.69,0.12,0,0,30.46,0.09,0,0,0.42,158.33,0,993.27,37.57,214.78,8071.13,16.09,510.29,8210.57
20191029,111500,1009.65,34.92,0,3.77,0.13,0,0,31.09,0.08,0,0,0.42,119.67,0,1002.8,37.79,215.23,8133.13,16.66,497.81,8293.51
