dia_mes_ano,hora_minuto,irradiacao,temperatura,preciptacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191105,001500,0,7.27,0,6.37,0.21,0,0,52.59,0.14,0,0,0.44,49.33,0,0,0.1,212.9,0,0,37.43,0
20191105,003000,0,27.78,0,5.79,0.19,0,0,47.75,0.13,0,0,0.45,70,0,0,0.1,212.9,0,0,37.39,0
20191105,010000,0,27.29,0,5.8,0.19,0,0,47.88,0.13,0,0,0.44,31.33,0,0,0.1,212.9,0,0,37.99,0
20191105,011500,0,27.28,0,5.33,0.18,0,0,44,0.12,0,0,0.44,58.33,0,0,0.1,212.9,0,0,37.41,0
20191105,013000,0,27.07,0,5.46,0.18,0,0,45.01,0.12,0,0,0.44,0,0,0,0.1,212.9,0,0,37.43,0
20191105,014500,0,16.66,0,5.19,0.17,0,0,42.79,0.12,0,0,0.43,39,0,0,0.1,212.9,0,0,37.52,0
20191105,060000,230.14,29.48,0,4.12,0.14,0,0,33.99,0.09,0,0,0.44,27.14,0,11.87,0.29,215.75,57.13,0.18,456.27,82.13
20191105,061500,267.19,19.32,0,4.13,0.14,0,0,34.09,0.09,0,0,0.46,36,0,30.4,0.95,215.29,201.47,0.48,479.42,230.12
20191105,063000,334.77,30.6,0,4.63,0.15,0,0,38.18,0.1,0,0,0.45,83.67,0,42.67,1.39,215.67,298.2,0.67,485.44,325.24
20191105,064500,349.25,29.24,0,4.93,0.16,0,0,40.7,0.11,0,0,0.44,30,0,119.53,4.35,217.06,941.67,1.84,527.92,971.37
20191105,070000,432.22,29.06,0,4.39,0.15,0,0,36.21,0.1,0,0,0.44,110.67,0,171.2,6.39,216.17,1379.67,2.67,529.08,1412.64
20191105,071500,484.02,28.99,0,4.26,0.14,0,0,35.16,0.1,0,0,0.46,65.67,0,206.73,7.79,216.21,1682.73,3.23,530.35,1713.03
20191105,073000,540.9,29.6,0,4.68,0.16,0,0,38.59,0.11,0,0,0.44,59.67,0,282.67,10.85,217.56,2361.13,4.51,535.35,2414.43
20191105,074500,594.13,29.9,0,4.83,0.16,0,0,39.85,0.11,0,0,0.43,85,0,308.47,12.04,216.39,2603.67,4.94,535.42,2644.97
20191105,080000,642.53,30.81,0,5.01,0.17,0,0,41.32,0.11,0,0,0.43,60,0,395.07,15.39,212.96,3274.6,6.31,527.39,3327.83
20191105,081500,693.54,32.01,0,5.12,0.17,0,0,42.2,0.12,0,0,0.45,125.67,0,454,17.51,212.29,3716.53,7.37,511.01,3766.14
