dia_mes_ano,hora_minuto,irradiacao,temperatura,preciptacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191101,050000,4.44,19.84,0,7.61,0.25,0,0,62.77,0.17,0,0,0.45,135,0,12.13,0.31,217.13,62.33,0.18,499.13,89.84
20191101,051500,29.62,21.79,0,7.71,0.26,0,0,63.57,0.17,0,0,0.46,135,0,25.33,0.83,216.63,176.87,0.38,527.49,200.45
20191101,053000,50.75,24.04,0,7.81,0.26,0,0,64.46,0.18,0,0,0.45,135,0,38.87,1.35,216.61,291,0.58,545.47,316.37
20191101,054500,80.1,25.29,0,7.01,0.23,0,0,57.8,0.16,0,0,0.46,138,0,61.87,2.33,216.07,499.8,0.94,557.35,523.91
20191101,061500,224,17.78,0,8.17,0.27,0,0,67.45,0.19,0,0,0.46,105,0,187.07,7.45,217.29,1617.13,2.94,560.94,1649.16
20191101,063000,283.24,28.62,0,6.37,0.21,0,0,52.52,0.14,0,0,0.45,132,0,252.4,10.28,216.83,2226.2,3.98,567.35,2258.05
20191101,064500,341.94,28.56,0,5.37,0.18,0,0,44.26,0.12,0,0,0.46,144,0,317.53,13.16,217.19,2857.8,5.13,564.98,2898.35
20191101,070000,399.87,28.94,0,8.7,0.29,0,0,71.79,0.2,0,0,0.47,120,0,382.67,15.96,216.47,3421.13,6.22,564.17,3509.14
20191101,071500,459.23,30.13,0,7.54,0.25,0,0,62.2,0.17,0,0,0.46,168,0,447.93,18.68,215.97,4034,7.33,557.85,4089.04
20191101,073000,525.11,30.02,0,4.37,0.15,0,0,36.03,0.1,0,0,0.44,96,0,518.93,21.34,216.95,4633.93,8.47,553.44,4687.64
20191101,074500,578.08,20.77,0,4.34,0.15,0,0,35.84,0.1,0,0,0.45,138,0,583.47,23.77,216.9,5153.8,9.57,548.07,5245.03
20191101,080000,620.74,30.13,0,4.34,0.14,0,0,35.83,0.1,0,0,0.44,27,0,629.53,25.73,214.55,5522.07,10.36,540.25,5596.99
20191101,081500,668.36,30.63,0,4.61,0.15,0,0,38.04,0.1,0,0,0.45,75,0,681.93,27.65,214.97,5946.6,11.23,537.83,6039.83
20191101,083000,729.16,31.16,0,4.82,0.16,0,0,39.8,0.11,0,0,0.44,123,0,743.07,29.57,216.04,6360.53,12.21,535.53,6538.82
20191101,084500,764.91,32.12,0,4.66,0.15,0,0,38.49,0.11,0,0,0.44,54,0,788.87,31.12,216.2,6730.6,12.95,527.18,6826.98
