dia_mes_ano,hora_minuto,irradiacao,temperatura,preciptacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191024,100000,953.16,27.34,0,1.92,0.06,0,0,15.83,0.04,0,0,0.42,37.33,0,857.93,33.7,218.49,7364.27,14.28,524.77,7493.72
20191024,101500,967.51,34.22,0,2.04,0.07,0,0,16.83,0.05,0,0,0.41,103,0,898.53,34.97,218.18,7631.07,14.96,519.67,7774.26
20191024,103000,983.69,34.22,0,1.93,0.06,0,0,15.89,0.05,0,0,0.4,156,0,941.2,36.15,217.61,7868.87,15.58,513.21,7995.81
20191024,104500,958.77,33.99,0,1.99,0.07,0,0,16.45,0.05,0,0,0.41,56.67,0,972.87,36.32,220.32,7896.47,16.08,506.97,8152.08
20191024,110000,959.56,33.76,0,1.93,0.06,0,0,15.92,0.04,0,0,0.42,30,0,1002.2,37.17,219.01,8137.93,16.63,498.92,8297.04
20191024,111500,1072.02,33.51,0,1.96,0.07,0,0,16.18,0.04,0,0,0.43,37.33,0,1029.8,37.61,218.95,8237.67,16.91,496.41,8394.29
20191024,113000,1051.8,34.33,0,1.92,0.06,0,0,15.88,0.04,0,0,0.42,177.67,0,1040.6,37.25,219.91,8057.93,15.78,526.59,8309.59
20191024,114500,442.14,33.8,0,1.9,0.06,0,0,15.69,0.04,0,0,0.42,110.67,0,996.93,34.43,218.65,7565.27,14.39,527.24,7586.98
20191024,121500,873.71,34.62,0,2.02,0.07,0,0,16.67,0.05,0,0,0.43,61.33,0,1136.27,37.67,219.68,8276.93,15.84,531.87,8424.82
20191024,123000,276.84,34.11,0,2.11,0.07,0,0,17.4,0.05,0,0,0.44,197.67,0,1138.07,36.57,222.15,8129.6,15.66,528.57,8277.41
20191024,124500,257.01,33.63,0,1.97,0.07,0,0,16.23,0.04,0,0,0.43,175,0,493.87,16.7,216.07,3637.07,7.24,508.1,3678.64
20191024,130000,739.47,35.13,0,2.08,0.07,0,0,17.14,0.05,0,0,0.42,190.33,0,353.67,14.3,215.78,3095,5.8,535.45,3105.61
20191024,131500,965.43,35.96,0,2.22,0.07,0,0,18.31,0.05,0,0,0.44,216,0,888.4,28.47,220.29,6331.87,11.43,547.69,6260.1
20191024,133000,913.24,35.83,0,2.7,0.09,0,0,22.25,0.06,0,0,0.42,238,0,293.93,11.13,214.92,2410.4,4.7,515.7,2423.79
20191024,134500,613.96,35.72,0,2.7,0.09,0,0,22.27,0.06,0,0,0.44,224.33,0,240.13,10.02,215,2162.73,4.09,536.59,2194.65
20191024,140000,147.42,34.3,0,2.76,0.09,0,0,22.78,0.06,0,0,0.43,180,0,795.47,27.08,220.04,5994.47,10.74,552.09,5929.45
20191024,141500,395.43,34.64,0,2.84,0.1,0,0,23.46,0.07,0,0,0.43,220,0,966.6,33.25,218.92,7249.27,14.17,527.95,7481.05
20191024,143000,712.33,36.9,0,2.73,0.09,0,0,22.53,0.06,0,0,0.43,186,0,961.67,35.34,219.22,7745.67,15.7,501.35,7871.19
