"","Data","dia_mes_ano","hora_minuto","irr","massaPM1","massaPM2","numPM1","numPM2","tamanho_medio","temp","vento_dir","vento_vel","massaPM4","massaPM10","numPM4","numPM10","rainfall"
"1",2020-03-05 00:01:00,20200305,100,0,1.11,0.04,9.16,0.03,0.47,23.06,135,15.96,0,0,0,0,0
"2",2020-03-05 00:02:00,20200305,200,0,1.14,0.04,9.38,0.03,0.47,23,135,18.62,0,0,0,0,0
"3",2020-03-05 00:03:00,20200305,300,0,1.1,0.04,9.05,0.02,0.47,23.25,90,21.28,0,0,0,0,0
"4",2020-03-05 00:04:00,20200305,400,0,1.26,0.04,10.36,0.03,0.49,23.06,90,14.63,0,0,0,0,0
"5",2020-03-05 00:05:00,20200305,500,0,1.02,0.03,8.42,0.02,0.47,23,225,14.63,0,0,0,0,0
"6",2020-03-05 00:06:00,20200305,600,0,1.05,0.03,8.67,0.02,0.47,23.12,135,17.29,0,0,0,0,0
"7",2020-03-05 00:07:00,20200305,700,0,1.29,0.04,10.61,0.03,0.47,22.94,90,9.31,0,0,0,0,0
"8",2020-03-05 00:08:00,20200305,800,0,0.99,0.03,8.2,0.02,0.47,23.25,90,26.6,0,0,0,0,0
"9",2020-03-05 00:09:00,20200305,900,0,0.84,0.03,6.96,0.02,0.48,23.19,90,39.9,0,0,0,0,0
"10",2020-03-05 00:10:00,20200305,1000,0,1.29,0.04,10.64,0.03,0.47,23.12,90,19.95,0,0,0,0,0
"11",2020-03-05 00:11:00,20200305,1100,0,0.88,0.03,7.23,0.02,0.47,22.94,135,15.96,0,0,0,0,0
"12",2020-03-05 00:12:00,20200305,1200,0,0.87,0.03,7.18,0.02,0.47,22.88,90,13.3,0,0,0,0,0
"13",2020-03-05 00:13:00,20200305,1300,0,0.89,0.03,7.33,0.02,0.48,23.19,135,23.94,0,0,0,0,0
"14",2020-03-05 00:14:00,20200305,1400,0,0.97,0.03,7.99,0.02,0.47,22.94,90,27.93,0,0,0,0,0
"15",2020-03-05 00:15:00,20200305,1500,0,0.94,0.03,7.75,0.02,0.48,23.06,90,14.63,0,0,0,0,0
"16",2020-03-05 00:16:00,20200305,1600,0,0.8,0.03,6.63,0.02,0.49,23.06,135,31.92,0,0,0,0,0
"17",2020-03-05 00:17:00,20200305,1700,0,0.91,0.03,7.49,0.02,0.49,22.94,90,19.95,0,0,0,0,0
"18",2020-03-05 00:18:00,20200305,1800,0,1.21,0.04,9.99,0.03,0.49,23.06,90,14.63,0,0,0,0,0
"19",2020-03-05 00:19:00,20200305,1900,0,0.92,0.03,7.58,0.02,0.48,22.5,90,18.62,0,0,0,0,0
"20",2020-03-05 00:20:00,20200305,2000,0,1.02,0.03,8.39,0.02,0.48,22.88,45,14.63,0,0,0,0,0
"21",2020-03-05 00:21:00,20200305,2100,0,1.16,0.04,9.55,0.03,0.49,22.81,90,22.61,0,0,0,0,0
"22",2020-03-05 00:22:00,20200305,2200,0,1.16,0.04,9.56,0.03,0.48,23.19,45,18.62,0,0,0,0,0
"23",2020-03-05 00:23:00,20200305,2300,0,0.71,0.02,5.89,0.02,0.49,22.81,90,18.62,0,0,0,0,0
"24",2020-03-05 00:24:00,20200305,2400,0,0.79,0.03,6.51,0.02,0.49,22.94,180,25.27,0,0,0,0,0
"25",2020-03-05 00:25:00,20200305,2500,0,1.04,0.03,8.59,0.02,0.49,22.69,90,18.62,0,0,0,0,0
"26",2020-03-05 00:26:00,20200305,2600,0,0.91,0.03,7.53,0.02,0.48,23.06,90,43.89,0,0,0,0,0
"27",2020-03-05 00:27:00,20200305,2700,0,1.03,0.03,8.5,0.02,0.48,23.31,45,34.58,0,0,0,0,0
"28",2020-03-05 00:28:00,20200305,2800,0,0.71,0.02,5.85,0.02,0.47,22.88,90,19.95,0,0,0,0,0
"29",2020-03-05 00:29:00,20200305,2900,0,0.96,0.03,7.95,0.02,0.47,22.88,90,27.93,0,0,0,0,0
"30",2020-03-05 00:30:00,20200305,3000,0,0.93,0.03,7.65,0.02,0.48,22.94,90,22.61,0,0,0,0,0
"31",2020-03-05 00:31:00,20200305,3100,0,0.88,0.03,7.3,0.02,0.48,23,90,29.26,0,0,0,0,0
"32",2020-03-05 00:32:00,20200305,3200,0,1.05,0.03,8.64,0.02,0.48,22.75,135,11.97,0,0,0,0,0
"33",2020-03-05 00:33:00,20200305,3300,0,0.85,0.03,6.98,0.02,0.48,22.75,135,18.62,0,0,0,0,0
