"","Data","dia_mes_ano","hora_minuto","irr","massaPM1","massaPM2","numPM1","numPM2","tamanho_medio","temp","vento_dir","vento_vel","massaPM4","massaPM10","numPM4","numPM10","rainfall"
"1",2019-11-19 00:01:00,20191119,100,0,5.4,0.18,44.52,0.12,0.45,25.31,90,18.62,0,0,0,0,0
"2",2019-11-19 00:02:00,20191119,200,0,5.03,0.17,41.46,0.11,0.43,25.44,45,18.62,0,0,0,0,0
"3",2019-11-19 00:03:00,20191119,300,0,4.73,0.16,39.02,0.11,0.45,25.38,45,9.31,0,0,0,0,0
"4",2019-11-19 00:04:00,20191119,400,0,5.38,0.18,44.4,0.12,0.47,25.19,135,22.61,0,0,0,0,0
"5",2019-11-19 00:05:00,20191119,500,0,5.49,0.18,45.3,0.12,0.47,25.31,90,14.63,0,0,0,0,0
"6",2019-11-19 00:06:00,20191119,600,0,5.19,0.17,42.8,0.12,0.47,25.31,45,7.98,0,0,0,0,0
"7",2019-11-19 00:07:00,20191119,700,0,5.39,0.18,44.46,0.12,0.45,25.38,90,22.61,0,0,0,0,0
"8",2019-11-19 00:08:00,20191119,800,0,4.94,0.16,40.77,0.11,0.46,25.56,90,18.62,0,0,0,0,0
"9",2019-11-19 00:09:00,20191119,900,0,4.81,0.16,39.66,0.11,0.45,25.19,135,10.64,0,0,0,0,0
"10",2019-11-19 00:10:00,20191119,1000,0,4.68,0.16,38.64,0.11,0.46,25.19,45,5.32,0,0,0,0,0
"11",2019-11-19 00:11:00,20191119,1100,0,4.77,0.16,39.34,0.11,0.48,25.19,90,13.3,0,0,0,0,0
"12",2019-11-19 00:12:00,20191119,1200,0,4.57,0.15,37.68,0.1,0.46,25.12,45,11.97,0,0,0,0,0
"13",2019-11-19 00:13:00,20191119,1300,0,4.68,0.16,38.63,0.11,0.48,25.12,90,7.98,0,0,0,0,0
"14",2019-11-19 00:14:00,20191119,1400,0,4.88,0.16,40.25,0.11,0.46,25.25,45,7.98,0,0,0,0,0
"15",2019-11-19 00:15:00,20191119,1500,0,5.1,0.17,42.05,0.12,0.46,25.25,135,10.64,0,0,0,0,0
"16",2019-11-19 00:16:00,20191119,1600,0,4.67,0.16,38.55,0.11,0.47,25.31,45,9.31,0,0,0,0,0
"17",2019-11-19 00:17:00,20191119,1700,0,5.01,0.17,41.31,0.11,0.47,25.12,45,10.64,0,0,0,0,0
"18",2019-11-19 00:18:00,20191119,1800,0,4.99,0.17,41.16,0.11,0.48,25.19,45,10.64,0,0,0,0,0
"19",2019-11-19 00:19:00,20191119,1900,0,5,0.17,41.29,0.11,0.48,25.19,0,11.97,0,0,0,0,0
