tipo,P_AC,I_DC,IRR,I_AC,V_AC,dia_mes_ano,V_DC,hora_minuto
inverter,2187.0,3.89,248.0,10.11,216.6,20191003.0,569.6,064700
inverter,2241.0,4.0,252.0,10.34,216.8,20191003.0,573.2,064800
inverter,2286.0,4.08,257.0,10.55,216.9,20191003.0,572.3,064900
inverter,2331.0,4.12,261.0,10.74,216.9,20191003.0,571.3,065000
inverter,2370.0,4.22,266.0,10.95,216.5,20191003.0,570.7,065100
inverter,2409.0,4.3,270.0,11.13,216.5,20191003.0,570.1,065200
inverter,2451.0,4.34,275.0,11.32,216.6,20191003.0,573.6,065300
inverter,2487.0,4.41,280.0,11.53,216.5,20191003.0,569.5,065400
inverter,2531.0,4.52,284.0,11.69,216.6,20191003.0,573.1,065500
inverter,2577.0,4.62,289.0,11.9,216.6,20191003.0,564.8,065600
inverter,2616.0,4.69,293.0,12.08,216.7,20191003.0,568.8,065700
inverter,2660.0,4.76,298.0,12.28,216.6,20191003.0,569.1,065800
inverter,2694.0,4.85,302.0,12.46,216.7,20191003.0,567.8,065900
inverter,2736.0,4.88,307.0,12.63,216.8,20191003.0,566.0,070000
inverter,2778.0,5.0,312.0,12.83,216.8,20191003.0,566.3,070100
inverter,2826.0,5.04,316.0,13.06,216.8,20191003.0,567.5,070200
inverter,2871.0,5.15,321.0,13.29,216.1,20191003.0,564.8,070300
inverter,2922.0,5.23,327.0,13.55,215.9,20191003.0,568.7,070400
inverter,2961.0,5.32,331.0,13.73,215.9,20191003.0,563.4,070500
inverter,3014.0,5.41,334.0,13.94,216.1,20191003.0,567.9,070600
inverter,3048.0,5.49,339.0,14.09,216.7,20191003.0,566.6,070700
inverter,3088.0,5.61,345.0,14.31,215.8,20191003.0,556.0,070800
inverter,3149.0,5.62,350.0,14.57,216.5,20191003.0,567.0,070900
inverter,3195.0,5.74,354.0,14.75,216.6,20191003.0,563.5,071000
inverter,3229.0,5.8,359.0,14.85,217.8,20191003.0,563.4,071100
inverter,3267.0,5.84,363.0,15.12,216.3,20191003.0,563.3,071200
inverter,3314.0,5.95,368.0,15.34,216.1,20191003.0,563.4,071300
inverter,3354.0,6.04,372.0,15.53,216.0,20191003.0,567.6,071400
inverter,3394.0,6.04,377.0,15.72,216.1,20191003.0,565.6,071500
inverter,3438.0,6.2,382.0,15.93,215.9,20191003.0,564.0,071600
inverter,3459.0,6.27,386.0,16.13,215.6,20191003.0,563.0,071700
inverter,3521.0,6.29,392.0,16.18,217.4,20191003.0,567.2,071800
inverter,3546.0,6.44,395.0,16.31,217.3,20191003.0,559.7,071900
inverter,3569.0,6.44,398.0,16.47,217.1,20191003.0,560.7,072000
inverter,3614.0,6.57,403.0,16.77,215.5,20191003.0,561.6,072100
inverter,3653.0,6.6,407.0,16.97,215.1,20191003.0,557.6,072200
inverter,3679.0,6.66,411.0,17.1,215.1,20191003.0,557.9,072300
inverter,3723.0,6.76,415.0,17.17,216.9,20191003.0,561.4,072400
inverter,3760.0,6.77,420.0,17.34,216.9,20191003.0,558.6,072500
inverter,3786.0,6.86,424.0,17.48,216.6,20191003.0,561.3,072600
inverter,3789.0,7.03,429.0,17.75,214.6,20191003.0,547.4,072700
inverter,3854.0,6.96,433.0,17.95,214.8,20191003.0,560.4,072800
inverter,3882.0,7.06,436.0,18.09,214.6,20191003.0,558.6,072900
inverter,3918.0,7.14,441.0,18.19,215.6,20191003.0,559.3,073000
inverter,3952.0,7.26,446.0,18.36,215.5,20191003.0,555.9,073100
inverter,3993.0,7.32,449.0,18.52,215.7,20191003.0,555.2,073200
inverter,4021.0,7.38,453.0,18.82,213.7,20191003.0,554.6,073300
inverter,4074.0,7.48,459.0,19.07,213.9,20191003.0,553.9,073400
inverter,4125.0,7.51,465.0,19.34,213.6,20191003.0,555.6,073500
inverter,4165.0,7.66,468.0,19.51,213.6,20191003.0,553.7,073600
inverter,4208.0,7.64,474.0,19.53,215.4,20191003.0,553.3,073700
inverter,4254.0,7.83,481.0,19.73,215.6,20191003.0,550.7,073800
inverter,4305.0,7.85,485.0,19.96,215.6,20191003.0,554.3,073900
inverter,4335.0,7.92,490.0,20.27,213.9,20191003.0,555.1,074000
inverter,4362.0,7.99,494.0,20.37,214.2,20191003.0,550.7,074100
inverter,4389.0,8.07,496.0,20.49,214.2,20191003.0,555.1,074200
inverter,4419.0,8.06,500.0,20.47,216.1,20191003.0,552.1,074300
inverter,4466.0,8.15,506.0,20.69,215.9,20191003.0,553.3,074400
inverter,4509.0,8.31,511.0,20.88,215.9,20191003.0,551.9,074500
inverter,3795.0,7.69,517.0,18.56,213.5,20191003.0,520.9,074600
inverter,4592.0,8.45,522.0,21.43,214.1,20191003.0,554.2,074700
inverter,4620.0,8.55,526.0,21.6,213.9,20191003.0,545.5,074800
inverter,4653.0,8.63,531.0,21.58,215.8,20191003.0,550.6,074900
inverter,4689.0,8.63,534.0,21.71,215.9,20191003.0,546.0,075000
inverter,4716.0,8.76,537.0,21.85,215.8,20191003.0,548.5,075100
inverter,4751.0,8.82,541.0,22.17,214.2,20191003.0,548.9,075200
inverter,4796.0,8.93,546.0,22.37,214.4,20191003.0,545.7,075300
inverter,4872.0,8.92,552.0,22.8,213.5,20191003.0,550.6,075400
inverter,4891.0,9.04,555.0,22.87,213.8,20191003.0,550.1,075500
inverter,4921.0,9.08,560.0,23.06,213.3,20191003.0,546.2,075600
inverter,4953.0,9.08,564.0,23.16,213.8,20191003.0,552.4,075700
inverter,4980.0,9.16,567.0,23.47,211.9,20191003.0,552.7,075800
inverter,4992.0,9.21,569.0,23.47,213.0,20191003.0,548.0,075900
