tipo,P_AC,I_DC,IRR,I_AC,V_AC,dia_mes_ano,V_DC,hora_minuto
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.6,012000
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.6,012100
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.7,012200
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.8,012300
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.8,012400
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.8,012500
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.9,012600
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.9,012700
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.0,012800
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.1,012900
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.1,013000
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.2,013100
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.2,013200
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.1,013300
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.1,013400
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.1,013500
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.1,013600
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.8,013700
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.8,013800
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.6,013900
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.6,014000
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.5,014100
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.5,014200
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.4,014300
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.4,014400
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.3,014500
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.3,014600
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.3,014700
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.3,014800
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.5,014900
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,45.5,015000
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.2,015100
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.2,015200
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.9,015300
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.9,015400
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.9,015500
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.9,015600
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.9,015700
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.9,015800
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.9,015900
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.9,020000
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.0,020100
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.1,020200
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.1,020300
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.2,020400
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.1,020500
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.0,020600
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.0,020700
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.1,020800
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.0,020900
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.8,021000
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.7,021100
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.7,021200
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.7,021300
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.7,021400
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.7,021500
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.8,021600
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.8,021700
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.8,021800
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.8,021900
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.7,022000
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.7,022100
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.9,022200
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,46.9,022300
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.3,022400
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.3,022500
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.4,022600
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.4,022700
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.5,022800
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.5,022900
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.6,023000
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.6,023100
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.6,023200
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.6,023300
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.6,023400
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.6,023500
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.6,023600
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.6,023700
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.7,023800
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.7,023900
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.8,024000
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.6,024100
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.5,024200
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.4,024300
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.3,024400
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.2,024500
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.1,024600
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.1,024700
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.1,024800
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.1,024900
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.2,025000
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.2,025100
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.2,025200
inverter,0.0,0.0,0.0,0.0,1.4848216655799276e+23,20191022.0,47.1,025300
