data,hora,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel
07/10/2019,00:01,0,3.04,0.1,0,0,25.07,0.07,0,0,0.44,17.38,135,0
07/10/2019,00:02,0,2.59,0.09,0,0,21.33,0.06,0,0,0.43,17.44,90,0
07/10/2019,00:03,0.6,3.04,0.1,0,0,25.05,0.07,0,0,0.43,17.44,90,0
07/10/2019,00:04,0,3.08,0.1,0,0,25.42,0.07,0,0,0.41,17.31,135,0
07/10/2019,00:05,0,3.28,0.11,0,0,27.05,0.07,0,0,0.41,17.38,135,0
07/10/2019,00:06,0,3.16,0.11,0,0,26.1,0.07,0,0,0.41,17.31,135,0
07/10/2019,00:07,0,3.36,0.11,0,0,27.72,0.08,0,0,0.42,17.44,135,0
07/10/2019,00:08,0,3.13,0.1,0,0,25.79,0.07,0,0,0.43,17.31,90,0
07/10/2019,00:09,0,3.02,0.1,0,0,24.88,0.07,0,0,0.43,17.25,135,0
07/10/2019,00:10,0,3.4,0.11,0,0,28.09,0.08,0,0,0.42,17.19,135,0
07/10/2019,00:11,0,3.12,0.1,0,0,25.7,0.07,0,0,0.42,17.38,90,0
07/10/2019,00:12,0,3.18,0.11,0,0,26.26,0.07,0,0,0.43,17.44,135,0
07/10/2019,00:13,0,3.05,0.1,0,0,25.13,0.07,0,0,0.42,17.38,90,0
07/10/2019,00:14,0,3.16,0.11,0,0,26.11,0.07,0,0,0.42,17.31,135,0
07/10/2019,00:15,0,3.11,0.1,0,0,25.62,0.07,0,0,0.42,17.25,135,0
07/10/2019,00:16,0,3.2,0.11,0,0,26.37,0.07,0,0,0.45,17.19,90,0
07/10/2019,00:17,0,3.12,0.1,0,0,25.77,0.07,0,0,0.44,17.31,90,0
07/10/2019,00:18,0,2.98,0.1,0,0,24.55,0.07,0,0,0.45,17.31,90,0
07/10/2019,00:19,0,3.31,0.11,0,0,27.31,0.08,0,0,0.45,17.38,90,0
07/10/2019,00:20,0,2.73,0.09,0,0,22.49,0.06,0,0,0.44,17.44,135,0
07/10/2019,00:21,0,3.44,0.11,0,0,28.38,0.08,0,0,0.45,17.25,90,0
07/10/2019,00:22,0,3.58,0.12,0,0,29.56,0.08,0,0,0.46,17.38,90,0
07/10/2019,00:23,0,3.78,0.13,0,0,31.19,0.09,0,0,0.45,17.44,90,0
07/10/2019,00:24,0,3.43,0.11,0,0,28.28,0.08,0,0,0.46,17.31,90,0
07/10/2019,00:25,0,3.34,0.11,0,0,27.54,0.08,0,0,0.47,17.31,135,0
07/10/2019,00:26,0,3.1,0.1,0,0,25.59,0.07,0,0,0.47,17.31,135,0
07/10/2019,00:27,0,3.28,0.11,0,0,27.08,0.07,0,0,0.48,17.38,135,0
07/10/2019,00:28,0,3.27,0.11,0,0,26.96,0.07,0,0,0.47,17.19,90,0
07/10/2019,00:29,0,2.96,0.1,0,0,24.43,0.07,0,0,0.46,17.19,90,0
07/10/2019,00:30,0,3.1,0.1,0,0,25.57,0.07,0,0,0.46,17.12,90,0
07/10/2019,00:31,0,3.51,0.12,0,0,28.99,0.08,0,0,0.46,17.31,90,0
07/10/2019,00:32,0.6,3.21,0.11,0,0,26.52,0.07,0,0,0.45,17.38,135,0
07/10/2019,00:33,0,3.36,0.11,0,0,27.71,0.08,0,0,0.45,17.38,135,0
07/10/2019,00:34,0,3.08,0.1,0,0,25.45,0.07,0,0,0.44,17.25,135,0
07/10/2019,00:35,0,3.07,0.1,0,0,25.3,0.07,0,0,0.43,17.44,135,0
07/10/2019,00:36,0,3.01,0.1,0,0,24.87,0.07,0,0,0.42,17.38,135,0
07/10/2019,00:37,0,3.03,0.1,0,0,25.02,0.07,0,0,0.42,17.38,135,0
07/10/2019,00:38,0,3.05,0.1,0,0,25.17,0.07,0,0,0.43,17.44,135,0
07/10/2019,00:39,0,3.2,0.11,0,0,26.42,0.07,0,0,0.44,17.31,135,0
07/10/2019,00:40,4.56,3.91,0.13,0,0,32.24,0.09,0,0,0.44,17.25,135,0
07/10/2019,00:41,0,3.01,0.1,0,0,24.85,0.07,0,0,0.45,17.38,135,0
07/10/2019,00:42,0,2.98,0.1,0,0,24.57,0.07,0,0,0.44,17.31,90,0
07/10/2019,00:43,0,3.5,0.12,0,0,28.87,0.08,0,0,0.43,17.31,135,0
07/10/2019,00:44,0,3.07,0.1,0,0,25.35,0.07,0,0,0.42,17.19,180,0
07/10/2019,00:45,0,3.6,0.12,0,0,29.66,0.08,0,0,0.42,17.38,135,0
07/10/2019,00:46,0,3.37,0.11,0,0,27.83,0.08,0,0,0.42,17.31,90,0
07/10/2019,00:47,0,3.19,0.11,0,0,26.28,0.07,0,0,0.45,17.12,90,0
07/10/2019,00:48,2.58,3.72,0.12,0,0,30.67,0.08,0,0,0.47,17.25,90,0
07/10/2019,00:49,0,3.48,0.12,0,0,28.71,0.08,0,0,0.46,17.31,90,0
07/10/2019,00:50,0,3.43,0.11,0,0,28.27,0.08,0,0,0.45,17.25,135,0
07/10/2019,00:51,0,3.08,0.1,0,0,25.41,0.07,0,0,0.43,17.25,135,0
07/10/2019,00:52,12.49,3.5,0.12,0,0,28.85,0.08,0,0,0.44,17.44,135,0
07/10/2019,00:53,0.6,3.49,0.12,0,0,28.81,0.08,0,0,0.42,17.31,135,0
07/10/2019,00:54,0,3.55,0.12,0,0,29.28,0.08,0,0,0.42,17.31,180,0
07/10/2019,00:55,0,3.01,0.1,0,0,24.81,0.07,0,0,0.44,17.44,180,0
07/10/2019,00:56,0,3.48,0.12,0,0,28.7,0.08,0,0,0.44,17.44,135,0
07/10/2019,00:57,0,3.31,0.11,0,0,27.34,0.08,0,0,0.46,17.44,135,0
07/10/2019,00:58,0,3.58,0.12,0,0,29.5,0.08,0,0,0.46,17.31,135,0
07/10/2019,00:59,0,3.29,0.11,0,0,27.14,0.07,0,0,0.47,17.44,135,0
07/10/2019,01:00,0,3.43,0.11,0,0,28.34,0.08,0,0,0.44,17.38,90,0
