dia_mes_ano,hora_minuto,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191012,171500,7.310666666666667,7252,1.8226666666666667,1196,0.19133333333333333,57.43866666666667,1.8599999999999999,0.21533333333333332,0.034666666666666665,0.5293333333333333,25.795333333333332,99,18088,10.933333333333334,0.38,214.90666666666667,76.6,0.20866666666666667,479.31333333333333,100.01671555555555
20191012,173000,3.2666666666666666,3.8526666666666665,0.3046666666666667,0.13266666666666665,0.020666666666666667,31.529333333333334,0.27666666666666667,0.024666666666666667,0.004666666666666667,0.5186666666666667,20.541333333333334,132,11.97,2.8666666666666667,0.10733333333333334,214.9,9.6,0.06066666666666667,460.08,27.91152
20191012,174500,1.3093333333333332,4.500666666666667,0.14866666666666667,0,0,37.13133333333333,0.10266666666666667,0,0,0.46799999999999997,22.811333333333334,210,11.083333333333334,0,0.1,214.8,0,0,284.18,0
20191012,180000,212,3.3806666666666665,112,0,0,27.89,0.07666666666666667,0,0,0.45066666666666666,22.771333333333335,165,8246,0,0.1,214.8,0,0,49.906666666666666,0
20191012,181500,212,3.6393333333333335,0.12066666666666667,0,0,30.03,0.08333333333333333,0,0,0.46,22.043333333333333,186,3.6353333333333335,0,0.1,214.8,0,0,44.81333333333333,0
20191012,183000,0.04,7.969333333333333,0.2653333333333333,6.666666666666666e-4,0,65758,182,6.666666666666666e-4,0,0.4946666666666667,23.694666666666667,207,5.408666666666667,0,0.1,214.8,0,0,43.6,0
20191012,184500,0.17200000000000001,4164,0.13866666666666666,0,0,34.35466666666667,0.09533333333333334,0,0,466,24.483999999999998,204,5054,0,0.1,214.8,0,0,42.74666666666667,0
20191012,190000,304,4816,0.16,0,0,39.733333333333334,0.10933333333333334,0,0,448,24.55,165,2.482666666666667,0,0.1,214.8,0,0,43.3,0
20191012,191500,0.17200000000000001,7.658666666666667,0.2793333333333333,18,0.0026666666666666666,63.15,198,4,0,0.5306666666666667,24058,219,3.99,0,0.1,214.8,0,0,43.36666666666667,0
20191012,193000,0.04,7.892666666666667,0.30733333333333335,32,0.005333333333333333,65.05666666666667,224,0.006666666666666667,6.666666666666666e-4,0.5353333333333333,23.373333333333335,36,4.699333333333334,0,0.1,214.8,0,0,43.82,0
