dia_mes_ano,hora_minuto,irr_est,irr_inv,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC,massaPM1,numPM1,massaPM2,numPM2,massaPM4,numPM4,massaPM10,numPM10,tamanho_medio,temp,vento_vel,vento_dir,rainfall,DVr1,DVr2,IDV1,IDV2
20191125,000000,0.11,0,0.09,212.3,0,0,38.84,0,4.86,40.05,0.16,0.11,0,0,0,0,0.43,24.31,11.44,32.59,0.25,0.568803,-2.57279,1.538624,0.461376
20191125,010000,0,0,0,0,0,0,0,0,4.76,39.3,0.16,0.11,0,0,0,0,0.45,23.77,13.21,50.34,0.25,0.878599,-2.262994,1.769845,0.230155
20191125,020000,0,0,0,0,0,0,0,0,5.24,43.22,0.17,0.12,0,0,0,0,0.44,23.64,9.78,32.25,0.5,0.562869,-2.578724,1.533615,0.466385
20191125,030000,0.07,0,0,0,0,0,0,0,5.17,42.62,0.17,0.12,0,0,0,0,0.44,23.44,15.38,53.25,1,0.929388,-2.212205,1.801254,0.198746
20191125,040000,0.04,7,0.18,218.01,31.5,0.13,467.56,60.95,4.95,40.87,0.16,0.11,0,0,0,0,0.45,22.75,18.55,61.78,1,1.078264,-2.063328,1.881138,0.118862
20191125,050000,69.95,57.75,2.35,218.36,510.3,0.98,538.16,539.21,4.73,39.04,0.16,0.11,0,0,0,0,0.46,23.3,23.31,49.58,1.25,0.865334,-2.276258,1.761312,0.238688
20191125,060000,295.69,244.38,10.52,220.2,2322.42,4.18,564,2361.33,3.83,31.6,0.13,0.09,0,0,0,0,0.44,25.82,24.16,42.75,0.25,0.746128,-2.395464,1.678801,0.321199
20191125,070000,292.86,299.18,12.67,215.07,2727.22,4.96,556.43,2762.68,3.39,27.95,0.11,0.08,0,0,0,0,0.44,25.87,23.92,39.75,1.5,0.693768,-2.4478240000000002,1.639439,0.360561
20191125,080000,120.06,139.18,5.83,210.95,1228.6,2.29,547.74,1256.38,3.36,27.7,0.11,0.08,0,0,0,0,0.44,25.25,19.11,43.08,1.5,0.751888,-2.389705,1.683019,0.316981
20191125,090000,382.55,388.4,16.11,213.7,3447.23,6.38,550.52,3520.4,2.55,21.06,0.08,0.06,0,0,0,0,0.44,24.83,18.95,21.75,1.75,0.379609,-2.761984,1.370557,0.629443
20191125,100000,217.35,226.3,9.43,213.97,2015.9,3.8,540.7,2057.17,2.24,18.47,0.07,0.05,0,0,0,0,0.44,28.35,8.05,85.75,2,1.49662,-1.644973,1.99725,0.00275
20191125,110000,713.67,712.25,24.19,219.75,5336.88,9.95,545.81,5441.42,2.22,18.32,0.07,0.05,0,0,0,0,0.44,25.93,12.81,80.17,2,1.39923,-1.742362,1.985319,0.014681
20191125,120000,927.77,939.07,31.3,221.3,6949.2,13.13,536.29,7079.05,1.48,12.2,0.05,0.03,0,0,0,0,0.44,28.45,25.9,25.93,0,0.452564,-2.689029,1.437273,0.562727
20191125,130000,400.33,403.53,15.45,214.38,3337.12,6.4,531.55,3411.26,1.24,10.21,0.04,0.03,0,0,0,0,0.45,29.91,16.6,15.33,0.25,0.267559,-2.874034,1.264378,0.735622
20191125,140000,66.37,85.42,3.22,211.78,680.53,1.38,512.06,707.98,1.9,15.67,0.06,0.04,0,0,0,0,0.45,25.31,7.85,218.5,0.25,0.671952,0.671952,1.622515,1.622515
20191125,150000,74.72,99.97,3.82,213.88,815.4,1.59,528.72,843.62,2.48,20.49,0.08,0.06,0,0,0,0,0.46,22.6,2.22,200.33,0.5,0.354825,0.354825,1.347427,1.347427
20191125,160000,202.45,194,6.76,215.19,1451.78,2.78,537.3,1484.05,2.69,22.23,0.09,0.06,0,0,0,0,0.45,29.64,6.94,53.58,0.75,0.935147,-2.206445,1.804687,0.195313
20191125,170000,22.43,29.18,1.09,216.15,230.38,0.5,490.14,255.82,1.85,15.29,0.06,0.04,0,0,0,0,0.44,25.38,6.56,55.5,1.5,0.968658,-2.172935,1.824126,0.175874
20191125,180000,0,0,0.1,215.6,0,0,153.12,0,2.81,23.16,0.09,0.06,0,0,0,0,0.45,21.49,4.81,74.25,1.5,1.295907,-1.845686,1.962455,0.037545
20191125,190000,0,0,0.1,215.6,0,0,40.31,0,3.22,26.59,0.11,0.07,0,0,0,0,0.46,26.29,2.93,63.31,1.5,1.104968,-2.036625,1.89345,0.10655
20191125,200000,0.1,0,0.1,215.6,0,0,40.08,0,1.93,15.9,0.06,0.04,0,0,0,0,0.43,26.75,8.82,51.75,0,0.903208,-2.238385,1.785317,0.214683
20191125,210000,0,0,0.1,215.6,0,0,39.38,0,1.36,11.19,0.05,0.03,0,0,0,0,0.45,23.88,17.07,41.25,0,0.719948,-2.421644,1.659346,0.340654
20191125,220000,0,0,0.1,215.6,0,0,39.38,0,1.22,10.03,0.04,0.03,0,0,0,0,0.46,26.33,19.79,49.08,0,0.856608,-2.284985,1.755625,0.244375
20191125,230000,0.02,0,0.1,215.6,0,0,39.84,0,1.31,10.83,0.04,0.03,0,0,0,0,0.45,25.49,20.24,28.5,1,0.497419,-2.644174,1.4771590000000001,0.522841
