dia_mes_ano,hora_minuto,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191007,053000,10.6,5.81,0.19,0,0,47.92,0.13,0,0,0.46,17.16,174,1.95,14.73,0.46,217.1,97.2,0.25,510.41,127.6
20191007,054500,21.88,6.1,0.2,0,0,50.35,0.14,0,0,0.47,17.43,174,1.15,25.87,0.99,217.31,212.73,0.45,532.18,239.48
20191007,060000,28.89,6.19,0.21,0,0,51.1,0.14,0,0,0.46,17.61,177,1.86,32.6,1.31,216.82,281.47,0.57,536.04,305.54
20191007,061500,36.56,6.88,0.23,0,0,56.75,0.16,0,0,0.48,17.69,162,2.48,42.33,1.73,216.43,372.6,0.73,542.89,396.31
20191007,063000,47.79,7.53,0.25,0,0,62.11,0.17,0,0,0.48,17.85,162,1.95,52.53,2.19,217.43,474.53,0.92,541.86,498.51
20191007,064500,53.08,8.53,0.28,0,0,70.36,0.19,0,0,0.49,17.97,162,2.84,55.07,2.35,216.65,507.8,0.97,551.39,534.85
20191007,070000,47.79,8.77,0.29,0,0,72.38,0.2,0,0,0.49,18.09,171,3.55,51.27,2.18,216.06,468.13,0.9,546.95,492.26
20191007,071500,57.31,8.93,0.3,0,0,73.68,0.2,0,0,0.49,18.13,168,4.61,61.47,2.67,216.08,575.13,1.08,553.21,597.47
20191007,073000,73.31,9.5,0.32,0,0,78.36,0.22,0,0,0.5,18.26,168,3.28,74,3.32,213.8,709.07,1.31,558.47,731.6
20191007,074500,78.07,9.83,0.33,0,0,81.11,0.22,0,0,0.49,18.49,177,5.5,79.6,3.58,214.41,766.67,1.42,559.12,793.95
20191007,080000,58.37,10.86,0.36,0,0,89.56,0.25,0,0,0.49,18.39,174,6.83,61.07,2.7,213.67,575.53,1.09,551.56,601.2
20191007,081500,79.26,11.22,0.37,0,0,92.53,0.26,0,0,0.49,18.46,159,5.05,80.4,3.57,215.4,777.07,1.43,550.05,786.57
20191007,083000,80.32,11.12,0.37,0,0,91.71,0.25,0,0,0.48,18.46,195,6.3,82.47,3.71,215.51,798.73,1.47,561.53,825.45
20191007,084500,110.86,10.69,0.36,0,0,88.21,0.24,0,0,0.5,18.69,144,4.34,109,5.02,215.56,1080.33,1.95,569.89,1111.29
20191007,090000,192.56,10.29,0.34,0,0,84.89,0.23,0,0,0.49,19.37,150,4.61,177.6,8.31,217.78,1808.07,3.21,574.85,1845.27
20191007,091500,144.84,10.03,0.33,0,0,82.73,0.23,0,0,0.49,19.58,138,3.64,144.13,6.61,217.85,1440.07,2.59,566.7,1467.75
20191007,093000,161.1,8.91,0.3,0,0,73.54,0.2,0,0,0.51,19.63,129,5.76,156.67,7.19,218.43,1570.27,2.8,571.1,1599.08
20191007,094500,192.03,8.14,0.27,0,0,67.15,0.18,0,0,0.5,19.81,141,4.61,185.87,8.58,219.33,1881.47,3.34,572.49,1912.12
20191007,100000,440.06,7.43,0.25,0,0,61.3,0.17,0,0,0.5,21.09,126,7.45,375.67,16.58,219.49,3644.47,6.39,569.23,3637.38
20191007,101500,285.24,4.87,0.16,0,0,40.19,0.11,0,0,0.45,22.72,153,3.46,301.2,13.59,218.53,2998.4,5.36,559.37,2998.22
20191007,103000,305.87,3.97,0.13,0,0,32.71,0.09,0,0,0.45,22.29,141,4.43,280.53,13.07,218.31,2853.07,5.06,571.53,2891.94
20191007,104500,517.53,3.66,0.12,0,0,30.22,0.08,0,0,0.44,23.18,108,9.13,459.6,20.97,220.92,4637.93,8.33,564.97,4706.2
20191007,110000,358.35,4.2,0.14,0,0,34.66,0.09,0,0,0.45,22.93,135,5.32,328.33,15.14,219.79,3331.93,5.99,562.25,3367.88
20191007,111500,192.03,3.97,0.13,0,0,32.74,0.09,0,0,0.45,22.48,183,5.05,186.87,8.64,217.05,1877.4,3.41,558.87,1905.75
20191007,113000,99.49,3.65,0.12,0,0,30.12,0.08,0,0,0.43,22.04,177,1.06,110.6,4.97,216.59,1074.93,1.99,553.71,1101.88
