dia_mes_ano,hora_minuto,irradiacao,temperatura,preciptacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191016,053000,9.06,21.95,0,3.64,0.12,0,0,30.02,0.08,0,0,0.43,111,8.78,13.4,0.41,217.97,86.07,0.23,497.66,114.46
20191016,054500,16.86,21.95,0,3.74,0.12,0,0,30.87,0.08,0,0,0.45,111,11.88,21.13,0.78,216.43,167.07,0.38,509.99,193.8
20191016,060000,30.47,21.97,0,3.66,0.12,0,0,30.21,0.08,0,0,0.43,111,12.41,32.8,1.3,218.05,280.73,0.58,524.73,304.34
20191016,061500,31.93,21.94,0,3.32,0.11,0,0,27.39,0.08,0,0,0.44,105,15.34,36.67,1.46,216.5,313.73,0.64,528.81,338.44
20191016,063000,30.47,21.89,0,3.25,0.11,0,0,26.83,0.07,0,0,0.43,99,18.18,37.2,1.47,216.85,314.87,0.64,529.39,338.81
20191016,064500,29.15,21.91,0,2.94,0.1,0,0,24.27,0.06,0,0,0.46,108,14.63,35.93,1.41,216.87,304.93,0.63,527.25,332.17
20191016,070000,34.31,21.94,0,2.63,0.09,0,0,21.68,0.06,0,0,0.42,117,9.13,41.07,1.66,215.53,355.27,0.71,532.17,377.84
20191016,071500,36.95,21.9,0,2.61,0.09,0,0,21.51,0.06,0,0,0.44,99,8.07,46.87,1.93,216.15,415.4,0.82,535.65,439.23
20191016,073000,42.11,21.84,0,2.34,0.08,0,0,19.29,0.05,0,0,0.43,114,12.15,50.47,2.16,214.84,461.47,0.9,539.46,485.51
20191016,074500,53.08,21.97,0,2.31,0.08,0,0,19.08,0.05,0,0,0.44,123,7.8,57.4,2.58,213.35,547.6,1.05,543.55,570.73
20191016,080000,70.53,22.05,0,2.24,0.08,0,0,18.48,0.05,0,0,0.44,120,5.85,69.27,3.21,213.25,671.6,1.28,550.63,704.81
20191016,081500,88.52,22.25,0,2.2,0.07,0,0,18.13,0.05,0,0,0.43,123,7.54,86.4,4.14,211.79,875.53,1.62,556.48,901.5
20191016,083000,109.14,22.21,0,2.25,0.07,0,0,18.54,0.05,0,0,0.44,93,10.37,108.87,5.11,213.48,1087.33,1.99,559.95,1114.3
20191016,084500,132.94,22.32,0,2.48,0.08,0,0,20.44,0.06,0,0,0.44,105,14.45,136.53,6.37,213.69,1360.07,2.47,562.27,1388.81
20191016,090000,189.26,22.81,0,2.53,0.08,0,0,20.88,0.06,0,0,0.45,105,13.21,192,8.94,214.77,1917.2,3.44,567.03,1950.58
20191016,091500,252.98,23.62,0,2.69,0.09,0,0,22.18,0.06,0,0,0.45,114,8.78,256.6,11.87,215.49,2556.07,4.56,567.83,2589.3
20191016,093000,283.66,24,0,2.99,0.1,0,0,24.65,0.07,0,0,0.45,102,10.91,283.87,13.17,214.97,2830.53,5.08,565.61,2873.3
20191016,094500,367.62,25.02,0,3.5,0.12,0,0,28.92,0.08,0,0,0.45,106.07,9.69,348.81,16.05,216.42,3475.81,6.26,564.98,3536.77
20191016,100000,470.6,26.29,0,3.79,0.12,0,0,31.29,0.08,0,0,0.45,106.07,10.26,433.58,19.89,216.94,4313.83,7.82,559.44,4374.82
20191016,101500,564.34,27.35,0,3.89,0.13,0,0,32.08,0.09,0,0,0.43,93,12.41,528.13,23.77,216.43,5145.93,9.43,554.61,5229.97
20191016,103000,601.09,28.36,0,3.92,0.13,0,0,32.31,0.09,0,0,0.42,120,9.49,567.47,25.09,217.57,5460.13,10.09,548.34,5532.75
20191016,104500,641.28,28.61,0,4.08,0.14,0,0,33.64,0.09,0,0,0.44,93,17.29,604.47,25.6,217.42,5552.87,10.16,554.69,5635.65
20191016,110000,727.56,28.92,0,4.02,0.13,0,0,33.2,0.09,0,0,0.42,83.57,25.46,710.57,29.26,217.53,6366.29,11.79,547.21,6451.61
20191016,114500,836.82,30.48,0,3.63,0.12,0,0,29.94,0.08,0,0,0.43,93,11.97,794.33,31.89,222.17,7026.93,13.24,548.22,7258.43
20191016,120000,1270.2,31.49,0,3.61,0.12,0,0,29.8,0.08,0,0,0.43,66,18.09,1247.79,37.22,221.93,8264.07,14.72,571.18,8407.77
20191016,121500,1201.72,31.9,0,3.53,0.12,0,0,29.11,0.08,0,0,0.43,84,15.34,1189.27,37.17,222.19,8261.8,15.16,554.35,8403.95
20191016,123000,999.31,32.23,0,3.51,0.12,0,0,28.95,0.08,0,0,0.44,96,11.35,939.73,35.19,220.46,7763.13,15.08,524.3,7906.44
20191016,124500,665.08,31.46,0,3.45,0.11,0,0,28.46,0.08,0,0,0.43,63,14.36,602.73,25.8,218.89,5659.27,10.99,521.81,5734.69
20191016,130000,645.54,32.21,0,3.58,0.12,0,0,29.59,0.08,0,0,0.42,118.93,9.21,572.71,25.34,218.64,5527.21,10.63,530.47,5638.9
