dia_mes_ano,hora_minuto,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191003,154500,30.75,9.65,0.76,0.33,0.05,78.98,0.68,0.06,0.01,0.07,26.22,90,0.57,91.73,4.39,207.54,909.53,1.79,524.12,938.17
20191003,171500,19.77,4.8,0.16,0,0,39.56,0.11,0,0,4.88,29.53,174,0.44,23.27,1,213.43,211.93,0.47,502.55,236.2
20191003,173000,1.08,4.43,0.15,0,0,36.51,0.1,0,0,5.14,29.45,177,0.47,3.67,0.17,213.1,24.93,0.09,461.36,41.52
20191003,174500,0.3,5.35,0.18,0,0,44.16,0.12,0,0,3.81,29.07,147,0.47,0,0.09,211.7,0,0,264.08,0
20191003,180000,0.04,5.13,0.17,0,0,42.36,0.12,0,0,17.2,28.4,81,0.47,0,0.09,211.7,0,0,41.92,0
20191003,181500,0,5.46,0.18,0,0,45.07,0.12,0,0,12.95,28.11,75,0.46,0,0.09,211.7,0,0,37.63,0
20191003,183000,0,4.51,0.15,0,0,37.22,0.1,0,0,13.12,28.02,78,0.47,0,0.09,211.7,0,0,36.95,0
20191003,184500,0,3.99,0.13,0,0,32.89,0.09,0,0,13.65,27.65,81,0.47,0,0.09,211.7,0,0,36.55,0
20191003,190000,0,4.23,0.14,0,0,34.9,0.1,0,0,12.06,27.46,75,0.45,0,0.09,211.7,0,0,37.67,0
20191003,191500,0,4.03,0.13,0,0,33.23,0.09,0,0,7.54,27.44,81,0.46,0,0.09,211.7,0,0,37.83,0
20191003,193000,0.34,3.92,0.13,0,0,32.35,0.09,0,0,5.67,27.56,66,0.47,0,0.09,211.7,0,0,39.05,0
20191003,194500,0.57,4.26,0.14,0,0,35.15,0.1,0,0,6.65,27.87,96,0.46,0,0.09,211.7,0,0,38.03,0
20191003,200000,0,4.03,0.13,0,0,33.23,0.09,0,0,3.55,27.72,102,0.44,0,0.09,211.7,0,0,38.77,0
20191003,201500,0,3.98,0.13,0,0,32.83,0.09,0,0,5.41,27.71,90,0.46,0,0.09,211.7,0,0,38.7,0
20191003,203000,0,4.09,0.14,0,0,33.72,0.09,0,0,5.59,27.8,105,0.46,0,0.09,211.7,0,0,39.65,0
20191003,204500,0.52,4.41,0.15,0,0,36.39,0.1,0,0,8.16,27.88,105,0.45,0,0.09,211.7,0,0,38.96,0
20191003,210000,0.25,4.68,0.16,0,0,38.64,0.11,0,0,6.74,27.68,108,0.44,0,0.09,211.7,0,0,38.8,0
20191003,211500,0,4.84,0.16,0,0,39.94,0.11,0,0,3.72,27.43,81,0.47,0,0.09,211.7,0,0,37.89,0
20191003,213000,0,4.63,0.15,0,0,38.24,0.11,0,0,3.1,26.81,261,0.46,0,0.09,211.7,0,0,39.07,0
20191003,214500,0,5.08,0.17,0,0,41.87,0.11,0,0,0.53,26.01,270,0.47,0,0.09,211.7,0,0,39.57,0
