dia_mes_ano,hora_minuto,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel,IRR,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC
20191012,000100,0,3.49,0.12,0,0,28.79,0.08,0,0,0.46,24.6,90,1.9,0,1.89,1.89,0,0,43.29,0
20191012,001500,0.46,3.5,0.12,0,0,28.87,0.08,0,0,0.45,24.13,135,0.18,0,1.89,1.89,0,0,44.14,0
20191012,003000,0,3.39,0.11,0,0,28.01,0.08,0,0,0.46,24.1,195,0.53,0,1.89,1.89,0,0,43.99,0
20191012,004500,1,3.31,0.11,0,0,27.35,0.08,0,0,0.44,24.33,315,3.1,0,1.89,1.89,0,0,43.09,0
20191012,010000,0.17,3.42,0.11,0,0,28.21,0.08,0,0,0.46,23.94,315,0.71,0,1.89,1.89,0,0,43.71,0
20191012,011500,0.38,3.41,0.11,0,0,28.16,0.08,0,0,0.46,23.44,315,0,0,1.89,1.89,0,0,44.16,0
20191012,013000,0,3.45,0.11,0,0,28.5,0.08,0,0,0.45,22.63,207,0.35,0,1.89,1.89,0,0,45.23,0
20191012,014500,0,3.54,0.12,0,0,29.19,0.08,0,0,0.45,21.96,135,0,0,1.89,1.89,0,0,45.47,0
20191012,020000,0,3.85,0.13,0,0,31.76,0.09,0,0,0.45,21.76,135,0,0,1.89,1.89,0,0,45.77,0
20191012,021500,0.82,4.78,0.16,0,0,39.48,0.11,0,0,0.45,21.79,135,0.8,0,1.89,1.89,0,0,46.33,0
20191012,023000,0.17,5.68,0.19,0,0,46.89,0.13,0,0,0.47,21.67,135,0,0,1.89,1.89,0,0,45.61,0
20191012,024500,1.08,6.12,0.2,0,0,50.51,0.14,0,0,0.46,21.39,135,0.09,0,1.89,1.89,0,0,45.34,0
20191012,030000,0,7.68,0.26,0,0,63.4,0.17,0,0,0.46,21.44,135,1.6,0,1.89,1.89,0,0,45.83,0
20191012,031500,0.21,5.13,0.17,0,0,42.35,0.12,0,0,0.45,22.55,135,1.95,0,1.89,1.89,0,0,44.65,0
20191012,033000,0,3.4,0.11,0,0,28.05,0.08,0,0,0.46,23.32,135,1.33,0,1.89,1.89,0,0,45.17,0
20191012,034500,0.08,3.27,0.11,0,0,27.01,0.08,0,0,0.46,23.65,135,0,0,1.89,1.89,0,0,46.41,0
20191012,040000,0.17,3.18,0.11,0,0,26.23,0.07,0,0,0.45,23.23,135,0,0,1.89,1.89,0,0,45.4,0
20191012,041500,0.25,3.17,0.1,0,0,26.18,0.07,0,0,0.44,22.94,87,2.22,0,1.89,1.89,0,0,45.41,0
20191012,043000,0.04,3.17,0.11,0,0,26.17,0.07,0,0,0.47,23.16,69,2.57,0,1.89,1.89,0,0,46.6,0
20191012,044500,0,3.06,0.1,0,0,25.27,0.07,0,0,0.46,23.2,42,1.33,0,1.89,1.89,0,0,166.05,0
20191012,050000,0.04,3.18,0.1,0,0,26.22,0.07,0,0,0.45,23.21,51,2.31,0.53,1.89,1.89,0,0,526.15,0
20191012,051500,5.42,3.28,0.11,0,0,27.04,0.08,0,0,0.45,23.49,63,3.1,10.2,0.4,203.44,55.93,0.17,495.36,84.21
20191012,053000,43.56,3.39,0.11,0,0,27.99,0.08,0,0,0.46,25.55,60,10.2,30.6,1.03,217.34,222.67,0.46,536.65,246.86
20191012,054500,84.02,3.38,0.11,0,0,27.92,0.08,0,0,0.44,26.86,24,11.7,61.07,2.1,218.59,456.13,0.87,556.01,483.73
20191012,060000,134.39,3.62,0.12,0,0,29.86,0.08,0,0,0.44,27.78,21,9.84,110.87,3.87,218.62,849.67,1.69,520.85,880.24
20191012,061500,173.79,3.67,0.12,0,0,30.26,0.08,0,0,0.44,28.65,96,7.71,157.53,5.9,218.41,1300.73,2.47,530.78,1311.03
20191012,063000,242.01,3.71,0.12,0,0,30.6,0.08,0,0,0.43,29.47,45,8.25,226.47,9.04,218.97,1977.33,3.6,560.06,2016.22
20191012,064500,287.09,3.83,0.13,0,0,31.57,0.09,0,0,0.46,31,81,6.38,279.2,11.3,220.31,2486.27,4.48,564.56,2529.23
20191012,070000,366.29,3.81,0.13,0,0,31.44,0.09,0,0,0.44,31.77,69,9.49,365.33,14.76,219.87,3246.8,5.86,560.43,3284.12
20191012,071500,427.9,3.81,0.13,0,0,31.45,0.09,0,0,0.44,32.22,84,9.04,435,17.45,220.02,3839,7.02,554.67,3893.78
20191012,073000,487.13,3.5,0.12,0,0,28.9,0.08,0,0,0.44,33.11,57,10.02,502.73,19.85,221.21,4391.2,8.14,547.27,4454.78
20191012,074500,541.33,2.88,0.1,0,0,23.75,0.06,0,0,0.43,33.15,42,14.72,564.13,22.25,220.5,4903.53,9.18,542.48,4979.97
20191012,080000,599.9,2.72,0.09,0,0,22.39,0.06,0,0,0.43,33.92,72,14.19,628.27,24.18,221.13,5440.6,10.14,532.31,5397.62
20191012,081500,659.53,2.78,0.09,0,0,22.97,0.06,0,0,0.42,33.89,45,15.43,690.4,26.77,221.73,5939.73,11.29,534.96,6039.7
20191012,083000,697.87,2.98,0.1,0,0,24.6,0.07,0,0,0.43,34.56,60,12.86,736.21,28.37,220.87,6276.36,11.97,530.5,6350.09
20191012,084500,721.27,2.8,0.09,0,0,23.1,0.06,0,0,0.44,34.11,111,14.28,761.6,29.51,220.39,6506.6,12.56,528.3,6635.45
20191012,090000,803.77,2.9,0.1,0,0,23.94,0.07,0,0,0.43,34.57,69,15.96,843.4,32.17,221.41,7124.27,13.9,521.28,7245.79
20191012,091500,840.92,2.64,0.09,0,0,21.79,0.06,0,0,0.43,34.42,183,14.72,882.29,33.57,220.89,7418.14,14.51,519.59,7539.25
20191012,093000,875.29,2.65,0.09,0,0,21.9,0.06,0,0,0.42,34.05,78,14.63,919.53,34.65,221.6,7679.6,15.17,514.49,7804.81
20191012,094500,906.1,2.81,0.09,0,0,23.16,0.06,0,0,0.44,34.69,159,14.54,952.27,35.01,222.19,7894.53,15.52,504.09,7823.48
20191012,100000,927.12,2.93,0.1,0,0,24.15,0.07,0,0,0.43,35.5,111,11.26,978,36.06,221.71,7997,16.07,506.55,8140.26
20191012,101500,945.5,2.54,0.08,0,0,20.97,0.06,0,0,0.43,35.33,84,12.15,996.53,36.48,221.55,8083.6,16.46,499.77,8226.21
20191012,103000,967.97,2.78,0.09,0,0,22.92,0.06,0,0,0.45,35.18,135,14.54,1015.33,36.82,223.51,8233.47,16.57,505.42,8374.81
20191012,104500,984.1,2.81,0.09,0,0,23.19,0.06,0,0,0.45,34.85,117,13.92,1032.67,37.07,223.11,8273.13,16.43,512.75,8424.48
20191012,110000,996.8,2.77,0.09,0,0,22.89,0.06,0,0,0.44,35.75,147,13.65,1042.6,37.07,223.17,8276,16.19,520.75,8430.94
20191012,111500,1000.89,3.06,0.1,0,0,25.24,0.07,0,0,0.44,35.76,132,11.44,1044.07,37.03,223.4,8275.47,16.28,518.23,8436.78
20191012,113000,996.66,2.96,0.1,0,0,24.38,0.07,0,0,0.43,36.08,81,10.11,1040.73,37.07,222.85,8263,16.88,498.38,8412.65
20191012,114500,996.13,2.97,0.1,0,0,24.47,0.07,0,0,0.43,35.51,138,11.79,1038.4,37.04,223.29,8273.4,16.58,508.86,8436.9
20191012,120000,986.75,3.03,0.1,0,0,24.96,0.07,0,0,0.42,35.68,114,12.24,1025.2,36.93,222.71,8226.13,16.96,493.84,8375.53
20191012,121500,1013.85,3.12,0.1,0,0,25.69,0.07,0,0,0.43,36.38,126,10.82,1053.33,37.08,222.12,8218.27,16.4,511.55,8389.42
