dia_estacao,amostras_estacao,dia_inversor,amostras_inversor,dia_merge,amostras_merge
20200125,1435,20200125,1181,20200125,1438
20200126,1438,20200126,1180,20200126,1440
20200127,1437,20200127,1159,20200127,1440
20200128,1438,20200128,1170,20200128,1440
20200129,1438,20200129,1177,20200129,1440
20200130,1438,20200130,1158,20200130,1440
20200131,1412,20200131,1101,20200131,1418
20200201,1438,20200201,1124,20200201,1440
20200202,1438,20200202,1158,20200202,1440
20200203,1438,20200203,1146,20200203,1440
20200204,1438,20200204,1437,20200204,1440
20200205,1438,20200205,1165,20200205,1440
20200206,1438,20200206,1171,20200206,1440
20200207,1438,20200207,1171,20200207,1440
20200208,327,20200208,1145,20200208,1416
NA,0,20200209,1166,20200209,1166
20200210,549,20200210,1158,20200210,1158
20200211,1321,20200211,1159,20200211,1438
20200212,1365,20200212,1159,20200212,1440
20200213,1352,20200213,1166,20200213,1438
20200214,1432,20200214,1434,20200214,1440
NA,0,20200215,1165,20200215,1165
NA,0,20200216,1169,20200216,1169
20200217,931,20200217,1409,20200217,1414
20200218,1403,20200218,1146,20200218,1438
20200219,923,20200219,1094,20200219,1432
NA,0,20200220,969,20200220,969
20200221,418,20200221,1097,20200221,1097
20200222,1433,20200222,1155,20200222,1440
20200223,1434,20200223,1160,20200223,1440
20200224,1434,20200224,1155,20200224,1439
20200225,1431,20200225,1148,20200225,1437
20200226,1423,20200226,1148,20200226,1427
20200227,1435,20200227,1161,20200227,1439
20200228,1432,20200228,1163,20200228,1439
20200229,1286,20200229,1155,20200229,1436
NA,0,20200301,1162,20200301,1162
20200302,438,20200302,1151,20200302,1151
20200303,1431,20200303,1161,20200303,1438
20200304,1435,20200304,1161,20200304,1440
20200305,1281,20200305,1159,20200305,1432
20200306,1433,20200306,1160,20200306,1439
20200307,1434,20200307,1160,20200307,1439
20200308,1432,20200308,1158,20200308,1439
20200309,1433,20200309,1097,20200309,1438
20200310,1430,20200310,1095,20200310,1437
20200311,1430,20200311,1295,20200311,1438
20200312,1423,20200312,1095,20200312,1434
20200313,864,20200313,720,20200313,870
20200314,1427,20200314,1439,20200314,1440
20200315,1430,20200315,1439,20200315,1440
20200316,1430,20200316,740,20200316,1437
20200317,1427,20200317,1093,20200317,1437
20200318,1434,20200318,1253,20200318,1440
