dia_mes_ano,hora_minuto,irradiacao,temperatura,preciptacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,vento_dir,vento_vel,n
20191023,143000,0,33.95,1.32,0.46,0.04,687.41,0,9.53,0.03,0,0,6.83,227.67,0,15
20191023,144500,0,34.27,1.43,0.43,0.04,638.75,0,9.96,0.03,0,0,9.75,227.67,0,15
20191023,150000,0,33.68,1.28,0.42,0.04,576,0,9.49,0.03,0,0,11.7,210,0,15
20191023,151500,0,33.41,1.59,0.43,0.04,518.72,0,10.55,0.03,0,0,9.31,183,0,15
20191023,153000,0,33.62,1.53,0.44,0.04,459.36,0,10.43,0.03,0,0,6.3,189.67,0,15
20191023,154500,0,33.68,1.37,0.43,0.04,394.52,0,9.37,0.03,0,0,12.06,228,0,15
20191023,160000,0,33.42,1.32,0.42,0.04,333.2,0,10.03,0.03,0,0,9.31,217.33,0,15
20191023,161500,0,33.11,1.43,0.43,0.04,274.1,0,9.51,0.03,0,0,8.6,238.33,0,15
20191023,163000,0,32.03,1.42,0.44,0.04,80.37,0,9.46,0.03,0,0,6.03,231,0,15
20191023,164500,0,30.71,2.18,0.45,0.05,18.4,0,12.76,0.03,0,0,10.2,228,0,15
20191023,170000,0.01,30,1.87,0.5,0.13,10.05,0.01,13.49,0.11,0.05,0,9.22,231,0,15
20191023,171500,0,29.32,2.51,0.48,0.06,3.71,0,15.6,0.04,0,0,8.51,216,0,15
20191023,173000,0.02,28.25,2.78,0.53,0.19,0,0.01,18.45,0.17,0.09,0,3.9,219,0,15
20191023,174500,0,26.9,3.42,0.51,0.11,0,0,23.78,0.08,0.01,0,4.61,204,0,15
20191023,180000,0,26.43,4.26,0.5,0.12,0,0,30.85,0.08,0,0,3.19,219,0,15
20191023,181500,0,25.69,5.7,0.5,0.15,0,0,37.83,0.1,0,0,2.93,222,0,15
20191023,183000,0,24.87,10.47,0.51,0.27,0,0,67.86,0.19,0,0,0.27,180,0,15
20191023,184500,0,23.77,7.57,0.52,0.22,0,0,53.82,0.15,0,0,0,174,0,15
20191023,190000,0,23.37,8.92,0.5,0.26,0,0,63.41,0.17,0,0,0,180,0,15
20191023,191500,0,22.21,7.79,0.48,0.23,0,0,57.8,0.16,0,0,0,176.79,0,14
20191023,193000,0,21.73,7.98,0.51,0.25,0,0,61,0.18,0.01,0,2.09,73.93,0,14
20191023,194500,0,21.65,10.43,0.51,0.25,0,0,62.48,0.17,0,0,0.09,69,0,15
20191023,200000,0,21.17,13.64,0.5,0.39,0,0,96.41,0.27,0,0,1.33,57,0,15
20191023,201500,0,21.07,13.34,0.5,0.42,0,0,104.02,0.29,0,0,0,57,0,15
20191023,203000,0,20.74,14.34,0.49,0.44,0,0,109.02,0.3,0,0,0,54,0,15
20191023,204500,0,20.55,18.31,0.48,0.47,0,0,117.71,0.32,0,0,0,54,0,15
20191023,210000,0.01,20.72,19.7,0.48,0.55,0,0,135.6,0.37,0,0,0,78,0,15
20191023,211500,0,21.93,13.95,0.5,0.43,0,0,105.97,0.29,0,0,0.27,147,0,15
20191023,213000,0,20.92,11.44,0.48,0.33,0,0,81.23,0.22,0,0,0.27,180,0,15
20191023,214500,0.01,20.37,20.3,0.53,0.64,0,0.01,145.23,0.46,0.04,0,0,159,0,15
20191023,220000,0.03,21.14,18.27,0.56,0.75,0,0.02,135.95,0.59,0.15,0.01,0,141,0,15
20191023,221500,0,21.47,12.29,0.52,0.23,0,0,55.59,0.16,0,0,2.22,120,0,15
20191023,223000,0,22.18,4.32,0.48,0.12,0,0,29.48,0.08,0,0,3.55,96,0,15
20191023,224500,0,22.24,3.45,0.47,0.09,0,0,22.81,0.06,0,0,4.61,105,0,15
20191023,230000,0,22.47,2.8,0.45,0.08,0,0,20.96,0.06,0,0,7.32,83.57,0,14
20191023,231500,0,22.66,2.55,0.46,0.07,0,0,17.85,0.05,0,0,9.5,67.5,0,14
20191023,233000,0,22.79,2.39,0.47,0.07,0,0,17.21,0.05,0,0,11.62,51,0,15
20191023,234500,0,22.94,2.38,0.45,0.07,0,0,16.45,0.05,0,0,12.24,78,0,15
