dia_mes_ano,hora_minuto,irradiacao,temperatura,preciptacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,vento_dir,vento_vel,n
20191014,000100,0.09,22.37,0,3.72,0.12,0,0,30.67,0.08,0,0,0.43,48.21,0,14
20191014,001500,0.17,22.39,0,3.51,0.12,0,0,28.93,0.08,0,0,0.43,60,0,15
20191014,003000,0,22.35,0,3.23,0.11,0,0,26.6,0.07,0,0,0.45,60,0,15
20191014,004500,0,22.54,0,3.13,0.1,0,0,25.82,0.07,0,0,0.45,42,0,15
20191014,010000,0.04,22.47,0,3.26,0.11,0,0,26.89,0.07,0,0,0.45,66,0,15
20191014,011500,0.04,22.36,0,3.32,0.11,0,0,27.38,0.08,0,0,0.44,66,0,15
20191014,013000,0.04,22.38,0,3.28,0.11,0,0,27.07,0.07,0,0,0.46,21,0,15
20191014,014500,0.21,21.84,0,3.2,0.11,0,0,26.37,0.07,0,0,0.46,57,0,15
20191014,020000,0,21.63,0,2.91,0.1,0,0,24,0.07,0,0,0.45,30,0,15
20191014,021500,0,21.02,0,2.98,0.1,0,0,24.56,0.07,0,0,0.45,165,0,15
20191014,023000,0,20.66,0,2.98,0.1,0,0,24.6,0.07,0,0,0.45,135,0,15
20191014,024500,0.21,21.4,0,2.82,0.09,0,0,23.25,0.06,0,0,0.45,177,0,15
20191014,030000,0.3,21.15,0,2.88,0.1,0,0,23.76,0.07,0,0,0.44,138,0,15
20191014,031500,0.04,20.77,0,2.91,0.1,0,0,24.01,0.07,0,0,0.46,135,0,15
20191014,033000,0,20.49,0,2.94,0.1,0,0,24.22,0.07,0,0,0.45,126,0,15
20191014,034500,0,20.85,0,2.78,0.09,0,0,22.91,0.06,0,0,0.44,216,0,15
20191014,040000,0,20.72,0,2.67,0.09,0,0,22.01,0.06,0,0,0.44,168,0,15
20191014,041500,0.04,21.1,0,3.1,0.1,0,0,25.59,0.07,0,0,0.45,174,0,15
20191014,043000,0.04,21.02,0,2.98,0.1,0,0,24.58,0.07,0,0,0.45,102,0,15
20191014,044500,0.04,20.89,0,2.94,0.1,0,0,24.22,0.07,0,0,0.45,90,0,15
20191014,050000,0.91,20.9,0,2.96,0.1,0,0,24.42,0.07,0,0,0.44,90,0,15
20191014,051500,8.1,21.13,0,3.13,0.1,0,0,25.82,0.07,0,0,0.45,90,0,15
20191014,053000,39.2,22.07,0,3.21,0.11,0,0,26.45,0.07,0,0,0.45,90,0,15
20191014,054500,53.61,22.81,0,3.17,0.11,0,0,26.16,0.07,0,0,0.44,132,0,15
20191014,060000,117.07,27.51,0,4.19,0.14,0,0,34.56,0.1,0,0,0.44,144,0,15
20191014,061500,107.82,28.68,0,4.34,0.14,0,0,35.83,0.1,0,0,0.45,147,0,15
20191014,063000,99.22,26.17,0,4.78,0.16,0,0,39.46,0.11,0,0,0.45,180,0,15
20191014,064500,202.21,29,0,4.48,0.15,0,0,36.94,0.1,0,0,0.45,180,0,15
20191014,070000,376.07,30.21,0,4.21,0.14,0,0,34.71,0.1,0,0,0.43,111,0,15
20191014,071500,428.82,30.66,0,4.5,0.15,0,0,37.17,0.1,0,0,0.45,108,0,15
20191014,073000,485.54,30.23,0,3.66,0.12,0,0,30.2,0.08,0,0,0.43,72,0,15
20191014,074500,551.78,30.74,0,3.28,0.11,0,0,27.07,0.08,0,0,0.43,84,0,15
20191014,080000,589.32,30.56,0,3.38,0.11,0,0,27.85,0.08,0,0,0.43,57,0,15
20191014,081500,633.61,31.84,0,3.65,0.12,0,0,30.14,0.08,0,0,0.43,72,0,15
20191014,083000,729.73,32.57,0,3.8,0.13,0,0,31.32,0.09,0,0,0.42,96,0,15
20191014,084500,809.45,33.38,0,3.81,0.13,0,0,31.4,0.08,0,0,0.43,90,0,15
20191014,090000,869.08,34.26,0,3.91,0.13,0,0,32.26,0.09,0,0,0.44,84,0,15
20191014,091500,746.26,34.79,0,3.42,0.11,0,0,28.21,0.08,0,0,0.42,153,0,15
20191014,093000,612.2,34.6,0,3.23,0.11,0,0,26.69,0.07,0,0,0.43,237,0,15
20191014,094500,725.9,33.98,0,3.31,0.11,0,0,27.29,0.07,0,0,0.43,90,0,15
20191014,100000,739.65,35.36,0,3.13,0.1,0,0,25.79,0.07,0,0,0.42,195,0,15
20191014,101500,765.56,35.7,0,3.19,0.11,0,0,26.33,0.07,0,0,0.43,189,0,15
