dia_mes_ano,hora_minuto,irradiacao,temperatura,preciptacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,vento_dir,vento_vel,n
20191008,000100,0.18,18.55,0,5.96,0.2,0,0,49.15,0.14,0,0,0.45,173.57,2.09,14
20191008,001500,0,18.64,0,6.5,0.22,0,0,53.66,0.15,0,0,0.44,165,3.19,15
20191008,003000,0.04,18.66,0,5.87,0.2,0,0,48.4,0.13,0,0,0.44,138,4.43,15
20191008,004500,0.04,18.72,0,6.03,0.2,0,0,49.74,0.14,0,0,0.45,93,9.75,15
20191008,010000,0.25,18.8,0,5.27,0.18,0,0,43.48,0.12,0,0,0.43,99,8.69,15
20191008,011500,0.08,18.83,0,4.72,0.16,0,0,38.94,0.11,0,0,0.44,102,9.13,15
20191008,013000,0,18.93,0,4.61,0.15,0,0,38.02,0.11,0,0,0.43,105,10.73,15
20191008,014500,0,18.96,0,3.89,0.13,0,0,32.08,0.09,0,0,0.45,108,8.96,15
20191008,020000,0.04,19,0,3.53,0.12,0,0,29.11,0.08,0,0,0.44,102,8.25,15
20191008,021500,0.48,18.93,0,3.4,0.11,0,0,28.05,0.08,0,0,0.45,105,7.63,15
20191008,023000,0,18.92,0,3.16,0.11,0,0,26.07,0.07,0,0,0.45,96,10.29,15
20191008,024500,0,19.06,0,2.75,0.09,0,0,22.65,0.06,0,0,0.44,102,8.16,15
20191008,030000,0,19.02,0,2.62,0.09,0,0,21.6,0.06,0,0,0.46,93,9.66,15
20191008,031500,0.04,19.16,0,2.43,0.08,0,0,20.03,0.06,0,0,0.45,90,12.41,15
20191008,033000,0.34,19.2,0,2.25,0.07,0,0,18.54,0.05,0,0,0.45,105,12.32,15
20191008,034500,0,19.04,0,2.43,0.08,0,0,20.04,0.05,0,0,0.46,87,13.57,15
20191008,040000,0.04,18.97,0,2.37,0.08,0,0,19.55,0.05,0,0,0.45,84,11.97,15
20191008,041500,0,18.93,0,2.3,0.08,0,0,18.95,0.05,0,0,0.45,114,5.94,15
20191008,043000,0,18.78,0,2.23,0.07,0,0,18.38,0.05,0,0,0.45,156,1.42,15
20191008,044500,0,18.72,0,2.37,0.08,0,0,19.55,0.05,0,0,0.46,108,6.38,15
20191008,050000,0.04,18.93,0,2.34,0.08,0,0,19.3,0.05,0,0,0.45,96,7,15
20191008,051500,2.47,19.1,0,2.33,0.08,0,0,19.23,0.05,0,0,0.46,102,7.09,15
20191008,053000,13.29,19.14,0,2.37,0.08,0,0,19.53,0.05,0,0,0.45,90,7,15
20191008,054500,20.43,19.27,0,2.39,0.08,0,0,19.71,0.05,0,0,0.45,117,3.37,15
