dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20200322,054600,12,0.11,0.09,218.6,462.8,6
20200322,054700,18,0.12,0.1,217.4,469.1,7
20200322,054800,21,0.15,0.11,217.6,465,9
20200322,054900,33,0.18,0.13,217.5,468.1,9
20200322,055000,39,0.2,0.14,217.8,489.3,9
20200322,055100,48,0.24,0.15,217.6,494.9,4
20200322,055200,51,0.26,0.16,217.5,482,10
20200322,055300,57,0.28,0.17,217.4,495.4,10
20200322,055400,57,0.29,0.17,217.6,504.7,12
20200322,055500,60,0.29,0.18,217.6,486.9,10
20200322,055600,60,0.3,0.18,217.5,483.6,10
20200322,055700,57,0.29,0.18,217.3,494.6,12
20200322,055800,60,0.29,0.18,217.4,498.5,10
20200322,055900,63,0.3,0.18,217.5,491.4,12
20200322,060000,66,0.32,0.19,217.4,488.6,12
20200322,060100,69,0.33,0.2,217.4,488.8,12
20200322,060200,72,0.36,0.2,217.5,503.2,12
20200322,060300,81,0.38,0.22,217.5,503.4,15
20200322,060400,88,0.42,0.23,217.2,498.6,15
20200322,060500,95,0.45,0.24,217.5,499.2,15
20200322,060600,99,0.47,0.25,217.6,508.4,16
20200322,060700,105,0.51,0.27,217.6,501.3,16
20200322,060800,114,0.54,0.28,217.4,507.9,18
20200322,060900,121,0.56,0.29,217.6,505,18
20200322,061000,130,0.61,0.31,217.5,505.5,21
20200322,061100,144,0.67,0.33,217.7,513.4,24
20200322,061200,165,0.78,0.37,217.8,509.6,22
20200322,061300,195,0.91,0.42,217.7,519.6,27
20200322,061400,226,1.06,0.48,217.9,520.8,31
20200322,061500,263,1.22,0.55,217.9,527.7,35
20200322,061600,243,1.26,0.63,218.2,518.8,39
20200322,061700,336,1.55,0.68,218.3,533.2,42
20200322,061800,363,1.68,0.73,218.5,533.7,45
20200322,061900,389,1.79,0.77,218.3,533.7,48
20200322,062000,408,1.88,0.81,218.4,537.8,50
20200322,062100,426,1.96,0.84,218.1,541.1,54
20200322,062200,448,2.07,0.87,218.1,541.7,54
20200322,062300,477,2.2,0.92,217.9,542.6,57
20200322,062400,504,2.31,0.97,218.2,543,62
20200322,062500,528,2.43,1.02,218.3,538.8,63
20200322,062600,558,2.56,1.08,218.4,538.5,66
20200322,062700,579,2.67,1.12,218.4,543.2,70
20200322,062800,612,2.82,1.17,218.5,546,73
20200322,062900,650,2.98,1.24,218.5,545.2,77
20200322,063000,675,3.09,1.26,218.3,548.4,80
20200322,063100,693,3.19,1.32,218.5,548.5,83
20200322,063200,717,3.3,1.37,218.5,543.6,85
20200322,063300,750,3.43,1.42,218.7,549.8,86
20200322,063400,789,3.62,1.49,218.5,553.6,94
20200322,063500,834,3.82,1.56,218.8,548.9,97
20200322,063600,873,4,1.63,218.8,553.6,103
20200322,063700,888,4.09,1.65,218.8,553.1,105
20200322,063800,910,4.18,1.68,218.5,553.7,106
20200322,063900,921,4.21,1.71,218.8,555.6,106
20200322,064000,918,4.2,1.69,218.8,556.3,108
20200322,064100,912,4.17,1.7,218.9,553.7,106
20200322,064200,897,4.1,1.66,218.9,558.1,105
20200322,064300,873,3.99,1.61,218.9,557.3,101
20200322,064400,852,3.9,1.6,218.8,549.3,100
20200322,064500,850,3.9,1.6,218.6,548.5,100
20200322,064600,868,3.98,1.63,218.8,552.5,100
20200322,064700,909,4.16,1.7,218.8,553.4,106
