dia_mes_ano,hora_minuto,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
20200428,130400,7176,32.16,14.38,223,511.3,931
20200428,130500,7179,32.21,14.37,222.9,511.5,930
20200428,130600,7152,32.11,14.26,222.8,507.1,928
20200428,130700,7149,32.11,14.2,222.6,511,927
20200428,130800,7149,32.1,14.19,222.7,507.8,925
20200428,130900,7140,32.07,14.18,222.6,509.1,924
20200428,131000,7098,31.89,14.09,222.5,511.1,917
20200428,131100,7065,31.72,14.17,222.6,507.9,914
20200428,131200,7068,31.75,14.04,222.4,512,914
20200428,131300,7032,31.62,13.96,222.3,509.1,911
20200428,131400,7014,31.53,13.97,222.4,507.4,908
20200428,131500,6990,31.43,14.01,222.3,511.3,905
20200428,131600,6966,31.34,13.85,222.3,508.5,902
20200428,131700,6972,31.38,13.85,222.1,509.3,904
20200428,131800,6981,31.44,13.99,221.9,508.4,902
20200428,131900,6972,31.38,13.94,222,507.8,899
20200428,132000,6972,31.42,13.7,222,513.6,898
20200428,132100,6963,31.38,13.75,221.9,512.2,893
20200428,132200,6948,31.29,13.76,222,515.9,890
20200428,132300,6915,31.17,13.57,221.8,514.7,887
20200428,132400,6897,31.1,13.65,221.7,516,884
20200428,132500,6876,31.01,13.46,221.6,516.1,886
20200428,132600,6855,30.92,13.58,221.8,514.2,884
20200428,132700,6852,30.83,13.48,222,517.7,882
20200428,132800,6804,30.7,13.39,221.9,513.5,878
20200428,132900,6801,30.66,13.34,221.6,513.6,876
20200428,133000,6795,30.65,13.45,221.6,516.5,873
20200428,133100,6761,30.52,13.25,221.5,515.6,869
20200428,133200,6726,30.37,13.33,221.5,515,866
20200428,133300,6713,28.48,13.65,221.1,480.5,864
20200428,133400,6676,30.11,13.29,221.5,509.8,861
20200428,133500,6655,30.02,13.2,221.6,516.4,858
20200428,133600,6625,29.88,12.96,221.7,515.4,855
20200428,133700,6602,29.82,13.08,221.4,509.9,854
20200428,133800,6580,29.71,13.02,221.5,511.3,851
20200428,133900,6557,29.61,13.08,221.4,510.9,847
20200428,134000,6532,29.51,12.94,221.6,514.2,843
20200428,134100,6524,29.44,12.76,221.4,515.5,840
20200428,134200,6494,29.31,12.82,221.5,516.6,837
20200428,134300,6460,29.17,12.64,221.3,517.9,834
20200428,134400,6468,29.2,12.74,221.2,519.5,834
20200428,134500,6435,29.09,12.55,221.1,518.8,831
20200428,134600,6433,29.07,12.58,221.2,517.5,831
20200428,134700,6441,29.08,12.71,221.5,515.8,829
20200428,134800,6414,28.95,12.53,221.4,519.9,826
20200428,134900,6396,28.9,12.58,221.4,515.3,825
20200428,135000,6397,28.93,12.57,221.2,519.2,823
20200428,135100,6380,28.81,12.46,221.3,515.4,820
20200428,135200,6339,28.64,12.49,221.2,516.2,814
20200428,135300,6313,28.53,12.33,221.2,519.8,809
20200428,135400,6306,28.52,12.19,221,522.7,808
20200428,135500,6295,28.52,12.3,221,521,808
20200428,135600,6282,28.42,12.17,220.9,524.9,803
20200428,135700,6270,28.37,12.18,221,520.1,800
20200428,135800,6246,28.27,12.17,221,523.7,799
20200428,135900,6229,28.2,12.06,220.7,521.3,793
20200428,140000,6201,28.09,12.02,220.8,522.4,790
20200428,140100,6186,27.99,12.09,221,521.6,788
20200428,140200,6159,27.9,11.92,220.7,529,785
20200428,140300,6129,27.78,11.87,220.6,527.9,780
20200428,140400,6111,27.71,11.84,220.5,527.6,777
20200428,140500,6084,27.6,11.77,220.4,527,776
20200428,140600,6065,27.49,11.6,220.4,528.9,771
20200428,140700,6042,27.44,11.65,220.3,525.5,770
