dia_mes_ano,hora_minuto,irr,temp,rainfall,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,vento_dir,vento_vel,n
20191004,144500,120.77,27.99,0,4.56,0.15,0,0,37.65,0.1,0,0,0.47,240,11.79,15
20191004,150000,77.28,26.9,0,4.92,0.16,0,0,40.58,0.11,0,0,0.45,252,8.6,15
20191004,151500,71.72,26.13,0,5.22,0.17,0,0,43.11,0.12,0,0,0.47,204,4.79,15
20191004,153000,82.83,26.06,0,4.83,0.16,0,0,39.82,0.11,0,0,0.47,207,5.41,15
20191004,154500,77.81,26.13,0,4.39,0.15,0,0,36.19,0.1,0,0,0.46,237,6.92,15
20191004,160000,45.15,26.33,0,4.25,0.14,0,0,35.03,0.1,0,0,0.46,270,1.51,15
20191004,161500,15.01,25.18,0,5.1,0.17,0,0,42.04,0.11,0,0,0.47,225,7.89,15
20191004,163000,12.59,24.54,0,5.05,0.17,0,0,41.67,0.11,0,0,0.46,102,5.32,15
20191004,164500,4.14,24.7,0,5.31,0.18,0,0,43.83,0.12,0,0,0.44,234,1.33,15
20191004,170000,2.43,24.61,0,6.24,0.21,0,0,51.48,0.14,0,0,0.46,159,0.53,15
20191004,171500,1.3,24.69,0,6.68,0.22,0,0,55.14,0.15,0,0,0.46,249,1.77,15
20191004,173000,0.44,24.72,0,5.82,0.19,0,0,48.05,0.13,0,0,0.44,189,0.98,15
20191004,174500,0.3,24.97,0,5.94,0.2,0,0,49,0.13,0,0,0.47,192,0.89,15
20191004,180000,0.08,24.78,0,6.2,0.21,0,0,51.18,0.14,0,0,0.48,180,0,15
20191004,181500,0.17,24.97,0,7.78,0.26,0,0,64.16,0.18,0,0,0.48,171,2.84,15
20191004,183000,0.34,24.72,0,5.91,0.2,0,0,48.73,0.13,0,0,0.47,162,3.55,15
20191004,184500,0.04,24.8,0,5.16,0.17,0,0,42.6,0.12,0,0,0.46,150,3.28,15
20191004,190000,0.04,24.68,0,4.47,0.15,0,0,36.87,0.1,0,0,0.46,174,2.84,15
20191004,191500,0.21,24.67,0,4.25,0.14,0,0,35.04,0.1,0,0,0.46,168,1.6,15
20191004,193000,0.52,23.88,0,4.66,0.15,0,0,38.44,0.11,0,0,0.45,171,4.61,15
20191004,194500,0,21.4,0,5.33,0.18,0,0,43.98,0.12,0,0,0.47,180,5.76,15
20191004,200000,0,22.66,0,6.3,0.21,0,0,51.98,0.14,0,0,0.45,177,4.97,15
20191004,201500,0.08,23.32,0,6.43,0.21,0,0,53,0.15,0,0,0.45,180,3.28,15
20191004,203000,0.04,23.72,0,6.19,0.2,0,0,51.07,0.14,0,0,0.46,165,5.32,15
20191004,204500,0,23.76,0,6.23,0.21,0,0,51.44,0.14,0,0,0.46,153,4.52,15
20191004,210000,0.04,23.68,0,6.57,0.22,0,0,54.24,0.15,0,0,0.45,168,3.46,15
20191004,211500,0,23.81,0,6.5,0.22,0,0,53.61,0.15,0,0,0.46,156,3.55,15
20191004,213000,0.34,24,0,7.3,0.24,0,0,60.21,0.17,0,0,0.45,153,4.08,15
20191004,214500,0.08,23.92,0,8.89,0.3,0,0,73.38,0.2,0,0,0.45,156,2.13,15
20191004,220000,0,23.94,0,9.71,0.32,0,0,80.11,0.22,0,0,0.47,123,3.19,15
20191004,221500,0.04,24.22,0,8.06,0.27,0,0,66.46,0.18,0,0,0.47,123,2.13,15
20191004,223000,0.34,24.48,0,6.86,0.23,0,0,56.61,0.16,0,0,0.46,129,1.6,15
20191004,224500,0,24.47,0,7.19,0.24,0,0,59.32,0.16,0,0,0.45,114,3.64,15
20191004,230000,0.21,24.49,0,7.42,0.25,0,0,61.21,0.17,0,0,0.46,102,3.19,15
20191004,231500,0,24.38,0,7.65,0.25,0,0,63.12,0.17,0,0,0.45,96,2.66,15
20191004,233000,0.57,24.34,0,7.52,0.25,0,0,62.08,0.17,0,0,0.47,99,2.48,15
20191004,234500,0.33,24.07,0,7.84,0.26,0,0,64.65,0.18,0,0,0.45,90,0.66,14
