rainfall,vento_vel,tamanho_medio,massaPM1,massaPM2,irr,massaPM4,numPM4,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
0.0,10.64,0.45,3.19,0.11,0.0,0.0,0.0,0.0,0.07,004700,station,17.12,26.28,90.0,0.0,20191007.0
0.0,5.32,0.47,3.72,0.12,2.58,0.0,0.0,0.0,0.08,004800,station,17.25,30.67,90.0,0.0,20191007.0
0.0,0.0,0.46,3.48,0.12,0.0,0.0,0.0,0.0,0.08,004900,station,17.31,28.71,90.0,0.0,20191007.0
0.0,0.0,0.45,3.43,0.11,0.0,0.0,0.0,0.0,0.08,005000,station,17.25,28.27,135.0,0.0,20191007.0
0.0,0.0,0.43,3.08,0.1,0.0,0.0,0.0,0.0,0.07,005100,station,17.25,25.41,135.0,0.0,20191007.0
0.0,1.33,0.44,3.5,0.12,12.49,0.0,0.0,0.0,0.08,005200,station,17.44,28.85,135.0,0.0,20191007.0
0.0,2.66,0.42,3.49,0.12,0.6,0.0,0.0,0.0,0.08,005300,station,17.31,28.81,135.0,0.0,20191007.0
0.0,0.0,0.42,3.55,0.12,0.0,0.0,0.0,0.0,0.08,005400,station,17.31,29.28,180.0,0.0,20191007.0
0.0,5.32,0.44,3.01,0.1,0.0,0.0,0.0,0.0,0.07,005500,station,17.44,24.81,180.0,0.0,20191007.0
0.0,7.98,0.44,3.48,0.12,0.0,0.0,0.0,0.0,0.08,005600,station,17.44,28.7,135.0,0.0,20191007.0
0.0,3.99,0.46,3.31,0.11,0.0,0.0,0.0,0.0,0.08,005700,station,17.44,27.34,135.0,0.0,20191007.0
0.0,0.0,0.46,3.58,0.12,0.0,0.0,0.0,0.0,0.08,005800,station,17.31,29.5,135.0,0.0,20191007.0
0.0,2.66,0.47,3.29,0.11,0.0,0.0,0.0,0.0,0.07,005900,station,17.44,27.14,135.0,0.0,20191007.0
0.0,10.64,0.44,3.43,0.11,0.0,0.0,0.0,0.0,0.08,010000,station,17.38,28.34,90.0,0.0,20191007.0
0.0,2.66,0.44,3.53,0.12,0.0,0.0,0.0,0.0,0.08,010100,station,17.38,29.12,135.0,0.0,20191007.0
0.0,1.33,0.44,3.66,0.12,0.0,0.0,0.0,0.0,0.08,010200,station,17.31,30.22,135.0,0.0,20191007.0
0.0,2.66,0.45,3.28,0.11,0.0,0.0,0.0,0.0,0.07,010300,station,17.31,27.03,135.0,0.0,20191007.0
0.0,3.99,0.43,3.51,0.12,0.0,0.0,0.0,0.0,0.08,010400,station,17.31,28.97,135.0,0.0,20191007.0
0.0,2.66,0.43,3.57,0.12,0.0,0.0,0.0,0.0,0.08,010500,station,17.31,29.45,135.0,0.0,20191007.0
0.0,7.98,0.44,3.22,0.11,0.0,0.0,0.0,0.0,0.07,010600,station,17.31,26.53,90.0,0.0,20191007.0
0.0,0.0,0.43,2.83,0.09,0.6,0.0,0.0,0.0,0.06,010700,station,17.44,23.38,135.0,0.0,20191007.0
0.0,5.32,0.43,3.17,0.11,0.0,0.0,0.0,0.0,0.07,010800,station,17.25,26.16,90.0,0.0,20191007.0
0.0,0.0,0.47,3.08,0.1,0.0,0.0,0.0,0.0,0.07,010900,station,17.31,25.4,135.0,0.0,20191007.0
0.0,0.0,0.47,3.3,0.11,0.0,0.0,0.0,0.0,0.07,011000,station,17.5,27.25,135.0,0.0,20191007.0
0.0,0.0,0.48,2.95,0.1,0.0,0.0,0.0,0.0,0.07,011100,station,17.38,24.32,135.0,0.0,20191007.0
0.0,3.99,0.48,2.89,0.1,0.0,0.0,0.0,0.0,0.07,011200,station,17.31,23.87,135.0,0.0,20191007.0
0.0,1.33,0.49,2.91,0.1,0.6,0.0,0.0,0.0,0.07,011300,station,17.44,23.97,135.0,0.0,20191007.0
0.0,1.33,0.48,3.42,0.11,0.6,0.0,0.0,0.0,0.08,011400,station,17.31,28.17,135.0,0.0,20191007.0
0.0,0.0,0.44,3.43,0.11,0.0,0.0,0.0,0.0,0.08,011500,station,17.25,28.27,135.0,0.0,20191007.0
0.0,1.33,0.45,3.38,0.11,0.0,0.0,0.0,0.0,0.08,011600,station,17.44,27.87,135.0,0.0,20191007.0
0.0,1.33,0.44,3.06,0.1,0.6,0.0,0.0,0.0,0.07,011700,station,17.31,25.21,135.0,0.0,20191007.0
0.0,2.66,0.43,3.01,0.1,0.0,0.0,0.0,0.0,0.07,011800,station,17.25,24.86,135.0,0.0,20191007.0
0.0,0.0,0.43,3.4,0.11,0.0,0.0,0.0,0.0,0.08,011900,station,17.25,28.07,135.0,0.0,20191007.0
0.0,0.0,0.42,3.94,0.13,0.0,0.0,0.0,0.0,0.09,012000,station,17.38,32.46,135.0,0.0,20191007.0
0.0,1.33,0.43,2.75,0.09,0.0,0.0,0.0,0.0,0.06,012100,station,17.38,22.65,135.0,0.0,20191007.0
0.0,0.0,0.42,3.27,0.11,0.0,0.0,0.0,0.0,0.07,012200,station,17.38,26.94,135.0,0.0,20191007.0
0.0,5.32,0.41,3.35,0.11,0.0,0.0,0.0,0.0,0.08,012300,station,17.38,27.65,135.0,0.0,20191007.0
0.0,2.66,0.41,3.76,0.13,0.0,0.0,0.0,0.0,0.09,012400,station,17.25,31.06,135.0,0.0,20191007.0
0.0,5.32,0.41,3.41,0.11,0.0,0.0,0.0,0.0,0.08,012500,station,17.38,28.16,90.0,0.0,20191007.0
0.0,5.32,0.41,2.74,0.09,0.0,0.0,0.0,0.0,0.06,012600,station,17.44,22.64,135.0,0.0,20191007.0
0.0,2.66,0.42,3.43,0.11,0.0,0.0,0.0,0.0,0.08,012700,station,17.31,28.29,135.0,0.0,20191007.0
0.0,6.65,0.43,3.33,0.11,0.0,0.0,0.0,0.0,0.08,012800,station,17.44,27.45,90.0,0.0,20191007.0
0.0,5.32,0.43,4.07,0.14,0.0,0.0,0.0,0.0,0.09,012900,station,17.31,33.55,90.0,0.0,20191007.0
0.0,6.65,0.45,3.81,0.13,0.0,0.0,0.0,0.0,0.09,013000,station,17.19,31.42,135.0,0.0,20191007.0
0.0,3.99,0.44,3.37,0.11,0.0,0.0,0.0,0.0,0.08,013100,station,17.25,27.78,90.0,0.0,20191007.0
0.0,2.66,0.45,3.24,0.11,0.0,0.0,0.0,0.0,0.07,013200,station,17.12,26.69,90.0,0.0,20191007.0
0.0,10.64,0.44,4.17,0.14,0.6,0.0,0.0,0.0,0.09,013300,station,17.25,34.38,90.0,0.0,20191007.0
0.0,7.98,0.44,3.4,0.11,0.0,0.0,0.0,0.0,0.08,013400,station,17.31,28.01,90.0,0.0,20191007.0
0.0,6.65,0.43,4.19,0.14,0.0,0.0,0.0,0.0,0.1,013500,station,17.25,34.61,135.0,0.0,20191007.0
0.0,5.32,0.44,3.92,0.13,0.0,0.0,0.0,0.0,0.09,013600,station,17.38,32.3,135.0,0.0,20191007.0
0.0,3.99,0.46,3.53,0.12,0.0,0.0,0.0,0.0,0.08,013700,station,17.31,29.08,90.0,0.0,20191007.0
0.0,10.64,0.47,3.68,0.12,0.0,0.0,0.0,0.0,0.08,013800,station,17.38,30.35,90.0,0.0,20191007.0
0.0,0.0,0.46,3.61,0.12,0.0,0.0,0.0,0.0,0.08,013900,station,17.25,29.81,135.0,0.0,20191007.0
0.0,10.64,0.44,3.53,0.12,0.0,0.0,0.0,0.0,0.08,014000,station,17.38,29.13,90.0,0.0,20191007.0
0.0,7.98,0.44,3.84,0.13,0.0,0.0,0.0,0.0,0.09,014100,station,17.38,31.64,90.0,0.0,20191007.0
0.0,7.98,0.44,3.3,0.11,0.0,0.0,0.0,0.0,0.07,014200,station,17.38,27.22,45.0,0.0,20191007.0
0.0,9.31,0.43,3.91,0.13,4.56,0.0,0.0,0.0,0.09,014300,station,17.44,32.25,90.0,0.0,20191007.0
0.0,2.66,0.43,3.44,0.11,0.0,0.0,0.0,0.0,0.08,014400,station,17.25,28.38,135.0,0.0,20191007.0
0.0,2.66,0.43,3.9,0.13,0.0,0.0,0.0,0.0,0.09,014500,station,17.31,32.14,135.0,0.0,20191007.0
0.0,3.99,0.44,3.81,0.13,0.0,0.0,0.0,0.0,0.09,014600,station,17.38,31.44,135.0,0.0,20191007.0
0.0,2.66,0.45,3.58,0.12,0.0,0.0,0.0,0.0,0.08,014700,station,17.31,29.55,135.0,0.0,20191007.0
0.0,3.99,0.45,3.57,0.12,0.0,0.0,0.0,0.0,0.08,014800,station,17.25,29.48,90.0,0.0,20191007.0
0.0,6.65,0.45,3.67,0.12,0.0,0.0,0.0,0.0,0.08,014900,station,17.31,30.29,135.0,0.0,20191007.0
0.0,6.65,0.46,3.75,0.12,0.0,0.0,0.0,0.0,0.09,015000,station,17.19,30.97,90.0,0.0,20191007.0
0.0,2.66,0.45,3.53,0.12,0.0,0.0,0.0,0.0,0.08,015100,station,17.25,29.12,135.0,0.0,20191007.0
0.0,0.0,0.46,3.42,0.11,0.0,0.0,0.0,0.0,0.08,015200,station,17.25,28.19,135.0,0.0,20191007.0
0.0,10.64,0.46,3.48,0.12,0.0,0.0,0.0,0.0,0.08,015300,station,17.25,28.71,90.0,0.0,20191007.0
0.0,6.65,0.47,3.46,0.12,0.0,0.0,0.0,0.0,0.08,015400,station,17.19,28.55,135.0,0.0,20191007.0
0.0,3.99,0.46,3.55,0.12,0.0,0.0,0.0,0.0,0.08,015500,station,17.06,29.27,135.0,0.0,20191007.0
0.0,5.32,0.46,3.71,0.12,0.0,0.0,0.0,0.0,0.08,015600,station,17.12,30.64,135.0,0.0,20191007.0
0.0,3.99,0.47,3.73,0.12,0.0,0.0,0.0,0.0,0.08,015700,station,17.0,30.8,135.0,0.0,20191007.0
0.0,0.0,0.45,3.6,0.12,0.0,0.0,0.0,0.0,0.08,015800,station,17.06,29.74,135.0,0.0,20191007.0
0.0,5.32,0.43,3.69,0.12,0.0,0.0,0.0,0.0,0.08,015900,station,16.94,30.48,135.0,0.0,20191007.0
0.0,1.33,0.44,3.89,0.13,0.0,0.0,0.0,0.0,0.09,020000,station,17.0,32.11,135.0,0.0,20191007.0
0.0,5.32,0.45,3.57,0.12,0.0,0.0,0.0,0.0,0.08,020100,station,17.06,29.41,90.0,0.0,20191007.0
0.0,3.99,0.45,3.67,0.12,0.0,0.0,0.0,0.0,0.08,020200,station,17.0,30.31,135.0,0.0,20191007.0
0.0,1.33,0.45,3.46,0.12,0.0,0.0,0.0,0.0,0.08,020300,station,16.81,28.56,90.0,0.0,20191007.0
0.0,7.98,0.46,4.21,0.14,0.0,0.0,0.0,0.0,0.1,020400,station,17.0,34.76,135.0,0.0,20191007.0
0.0,2.66,0.46,3.55,0.12,0.6,0.0,0.0,0.0,0.08,020500,station,17.0,29.25,90.0,0.0,20191007.0
0.0,0.0,0.46,3.62,0.12,0.0,0.0,0.0,0.0,0.08,020600,station,17.0,29.85,135.0,0.0,20191007.0
0.0,1.33,0.47,3.5,0.12,0.0,0.0,0.0,0.0,0.08,020700,station,17.0,28.84,180.0,0.0,20191007.0
0.0,2.66,0.47,3.8,0.13,0.0,0.0,0.0,0.0,0.09,020800,station,17.0,31.33,135.0,0.0,20191007.0
0.0,2.66,0.46,3.14,0.1,0.0,0.0,0.0,0.0,0.07,020900,station,16.88,25.94,135.0,0.0,20191007.0
0.0,7.98,0.44,4.13,0.14,0.0,0.0,0.0,0.0,0.09,021000,station,17.06,34.04,90.0,0.0,20191007.0
0.0,1.33,0.44,3.97,0.13,0.0,0.0,0.0,0.0,0.09,021100,station,17.0,32.74,180.0,0.0,20191007.0
0.0,3.99,0.45,3.74,0.12,0.6,0.0,0.0,0.0,0.08,021200,station,17.06,30.9,135.0,0.0,20191007.0
0.0,2.66,0.43,3.84,0.13,0.0,0.0,0.0,0.0,0.09,021300,station,17.06,31.67,135.0,0.0,20191007.0
0.0,5.32,0.44,3.36,0.11,0.0,0.0,0.0,0.0,0.08,021400,station,16.94,27.73,135.0,0.0,20191007.0
0.0,2.66,0.42,3.82,0.13,0.0,0.0,0.0,0.0,0.09,021500,station,16.88,31.53,135.0,0.0,20191007.0
0.0,2.66,0.44,3.6,0.12,0.0,0.0,0.0,0.0,0.08,021600,station,17.06,29.68,135.0,0.0,20191007.0
0.0,5.32,0.45,3.76,0.13,0.0,0.0,0.0,0.0,0.09,021700,station,17.0,31.05,90.0,0.0,20191007.0
0.0,5.32,0.44,3.52,0.12,0.0,0.0,0.0,0.0,0.08,021800,station,17.0,29.05,135.0,0.0,20191007.0
0.0,5.32,0.43,3.54,0.12,0.0,0.0,0.0,0.0,0.08,021900,station,17.0,29.21,135.0,0.0,20191007.0
0.0,2.66,0.43,3.55,0.12,0.0,0.0,0.0,0.0,0.08,022000,station,17.0,29.25,135.0,0.0,20191007.0
0.0,3.99,0.42,3.89,0.13,0.0,0.0,0.0,0.0,0.09,022100,station,17.06,32.07,135.0,0.0,20191007.0
0.0,2.66,0.43,3.57,0.12,0.6,0.0,0.0,0.0,0.08,022200,station,17.06,29.48,135.0,0.0,20191007.0
0.0,1.33,0.44,4.05,0.13,0.0,0.0,0.0,0.0,0.09,022300,station,16.94,33.38,135.0,0.0,20191007.0
0.0,0.0,0.44,3.22,0.11,0.0,0.0,0.0,0.0,0.07,022400,station,17.06,26.56,135.0,0.0,20191007.0
0.0,0.0,0.44,3.66,0.12,0.0,0.0,0.0,0.0,0.08,022500,station,17.06,30.18,135.0,0.0,20191007.0
0.0,0.0,0.44,3.26,0.11,0.0,0.0,0.0,0.0,0.07,022600,station,17.12,26.91,135.0,0.0,20191007.0
0.0,0.0,0.45,3.43,0.11,0.6,0.0,0.0,0.0,0.08,022700,station,16.94,28.3,135.0,0.0,20191007.0
0.0,1.33,0.43,3.17,0.11,0.0,0.0,0.0,0.0,0.07,022800,station,17.12,26.18,135.0,0.0,20191007.0
0.0,0.0,0.42,2.82,0.09,0.0,0.0,0.0,0.0,0.06,022900,station,16.94,23.27,135.0,0.0,20191007.0
0.0,0.0,0.43,3.45,0.11,0.0,0.0,0.0,0.0,0.08,023000,station,17.06,28.45,135.0,0.0,20191007.0
0.0,0.0,0.43,3.62,0.12,0.0,0.0,0.0,0.0,0.08,023100,station,17.12,29.86,135.0,0.0,20191007.0
0.0,2.66,0.42,3.78,0.13,0.0,0.0,0.0,0.0,0.09,023200,station,17.06,31.15,135.0,0.0,20191007.0
0.0,0.0,0.42,3.88,0.13,0.0,0.0,0.0,0.0,0.09,023300,station,17.12,31.98,135.0,0.0,20191007.0
0.0,3.99,0.44,3.38,0.11,0.0,0.0,0.0,0.0,0.08,023400,station,17.12,27.89,135.0,0.0,20191007.0
0.0,14.63,0.44,3.66,0.12,0.0,0.0,0.0,0.0,0.08,023500,station,17.06,30.17,90.0,0.0,20191007.0
0.0,10.64,0.46,3.54,0.12,0.0,0.0,0.0,0.0,0.08,023600,station,17.19,29.21,90.0,0.0,20191007.0
0.0,2.66,0.47,3.49,0.12,0.0,0.0,0.0,0.0,0.08,023700,station,17.19,28.75,90.0,0.0,20191007.0
0.0,0.0,0.46,3.46,0.12,0.0,0.0,0.0,0.0,0.08,023800,station,17.12,28.54,135.0,0.0,20191007.0
0.0,2.66,0.45,3.54,0.12,0.0,0.0,0.0,0.0,0.08,023900,station,17.12,29.23,135.0,0.0,20191007.0
0.0,0.0,0.45,3.53,0.12,0.0,0.0,0.0,0.0,0.08,024000,station,17.25,29.12,135.0,0.0,20191007.0
0.0,0.0,0.46,3.48,0.12,0.0,0.0,0.0,0.0,0.08,024100,station,17.19,28.72,135.0,0.0,20191007.0
0.0,1.33,0.44,3.55,0.12,0.0,0.0,0.0,0.0,0.08,024200,station,17.06,29.28,135.0,0.0,20191007.0
0.0,0.0,0.45,3.39,0.11,0.6,0.0,0.0,0.0,0.08,024300,station,17.25,28.0,135.0,0.0,20191007.0
0.0,1.33,0.43,3.59,0.12,0.0,0.0,0.0,0.0,0.08,024400,station,17.06,29.59,135.0,0.0,20191007.0
0.0,0.0,0.44,3.24,0.11,0.0,0.0,0.0,0.0,0.07,024500,station,17.31,26.77,135.0,0.0,20191007.0
0.0,2.66,0.44,3.94,0.13,0.0,0.0,0.0,0.0,0.09,024600,station,17.06,32.47,135.0,0.0,20191007.0
0.0,0.0,0.44,3.57,0.12,0.0,0.0,0.0,0.0,0.08,024700,station,17.12,29.47,180.0,0.0,20191007.0
0.0,2.66,0.45,3.79,0.13,0.0,0.0,0.0,0.0,0.09,024800,station,17.25,31.26,180.0,0.0,20191007.0
0.0,0.0,0.45,3.61,0.12,0.0,0.0,0.0,0.0,0.08,024900,station,17.25,29.79,180.0,0.0,20191007.0
0.0,0.0,0.44,3.49,0.12,0.0,0.0,0.0,0.0,0.08,025000,station,17.06,28.79,180.0,0.0,20191007.0
0.0,2.66,0.42,3.59,0.12,0.0,0.0,0.0,0.0,0.08,025100,station,17.12,29.6,135.0,0.0,20191007.0
0.0,2.66,0.43,3.67,0.12,0.0,0.0,0.0,0.0,0.08,025200,station,17.25,30.32,180.0,0.0,20191007.0
0.0,0.0,0.44,3.56,0.12,0.0,0.0,0.0,0.0,0.08,025300,station,17.25,29.33,180.0,0.0,20191007.0
0.0,0.0,0.45,3.61,0.12,0.0,0.0,0.0,0.0,0.08,025400,station,17.25,29.77,180.0,0.0,20191007.0
0.0,0.0,0.46,3.59,0.12,0.0,0.0,0.0,0.0,0.08,025500,station,17.06,29.61,180.0,0.0,20191007.0
0.0,0.0,0.47,3.73,0.12,0.0,0.0,0.0,0.0,0.08,025600,station,17.25,30.8,180.0,0.0,20191007.0
0.0,0.0,0.46,3.4,0.11,0.0,0.0,0.0,0.0,0.08,025700,station,17.19,28.06,180.0,0.0,20191007.0
0.0,0.0,0.47,3.22,0.11,0.0,0.0,0.0,0.0,0.07,025800,station,17.12,26.53,180.0,0.0,20191007.0
0.0,3.99,0.46,3.53,0.12,0.0,0.0,0.0,0.0,0.08,025900,station,17.25,29.15,180.0,0.0,20191007.0
0.0,0.0,0.45,3.35,0.11,0.0,0.0,0.0,0.0,0.08,030000,station,17.19,27.67,135.0,0.0,20191007.0
0.0,1.33,0.45,3.36,0.11,0.0,0.0,0.0,0.0,0.08,030100,station,17.25,27.75,135.0,0.0,20191007.0
0.0,0.0,0.46,3.37,0.11,0.0,0.0,0.0,0.0,0.08,030200,station,17.06,27.81,135.0,0.0,20191007.0
0.0,2.66,0.45,4.21,0.14,0.0,0.0,0.0,0.0,0.1,030300,station,17.25,34.72,135.0,0.0,20191007.0
0.0,0.0,0.46,3.29,0.11,0.0,0.0,0.0,0.0,0.07,030400,station,17.19,27.14,135.0,0.0,20191007.0
0.0,0.0,0.45,3.79,0.13,0.0,0.0,0.0,0.0,0.09,030500,station,17.19,31.24,135.0,0.0,20191007.0
0.0,0.0,0.46,3.28,0.11,0.0,0.0,0.0,0.0,0.07,030600,station,17.06,27.1,135.0,0.0,20191007.0
0.0,0.0,0.47,3.72,0.12,0.0,0.0,0.0,0.0,0.08,030700,station,17.12,30.71,135.0,0.0,20191007.0
0.0,0.0,0.48,3.15,0.1,0.0,0.0,0.0,0.0,0.07,030800,station,17.06,25.97,135.0,0.0,20191007.0
0.0,0.0,0.45,4.07,0.14,0.0,0.0,0.0,0.0,0.09,030900,station,17.12,33.56,135.0,0.0,20191007.0
0.0,0.0,0.45,3.49,0.12,0.0,0.0,0.0,0.0,0.08,031000,station,17.19,28.82,135.0,0.0,20191007.0
0.0,0.0,0.45,3.6,0.12,0.0,0.0,0.0,0.0,0.08,031100,station,17.06,29.69,180.0,0.0,20191007.0
0.0,1.33,0.46,3.46,0.12,0.0,0.0,0.0,0.0,0.08,031200,station,17.19,28.56,180.0,0.0,20191007.0
0.0,2.66,0.45,3.51,0.12,0.0,0.0,0.0,0.0,0.08,031300,station,17.12,28.93,135.0,0.0,20191007.0
0.0,0.0,0.43,3.56,0.12,0.0,0.0,0.0,0.0,0.08,031400,station,17.25,29.4,135.0,0.0,20191007.0
