vento_vel,tamanho_medio,massaPM1,rainfall,massaPM2,massaPM4,numPM4,irr,massaPM10,numPM2,hora_minuto,tipo,temp,numPM1,vento_dir,numPM10,dia_mes_ano
6.65,0.45,1.94,0.0,0.06,0.0,0.0,0.0,0.0,0.04,4000,station,-127.0,16.0,315.0,0.0,20191023.0
5.32,0.44,1.59,0.0,0.05,0.0,0.0,0.0,0.0,0.04,4100,station,-127.0,13.14,315.0,0.0,20191023.0
3.99,0.45,1.63,0.0,0.05,0.0,0.0,0.0,0.0,0.04,4200,station,-127.0,13.45,315.0,0.0,20191023.0
5.32,0.45,1.78,0.0,0.06,0.0,0.0,0.0,0.0,0.04,4300,station,-127.0,14.66,315.0,0.0,20191023.0
2.66,0.46,2.08,0.0,0.07,0.0,0.0,0.0,0.0,0.05,4400,station,-127.0,17.14,0.0,0.0,20191023.0
5.32,0.46,2.01,0.0,0.07,0.0,0.0,0.0,0.0,0.05,4500,station,-127.0,16.62,315.0,0.0,20191023.0
5.32,0.46,1.75,0.0,0.06,0.0,0.0,0.0,0.0,0.04,4600,station,-127.0,14.44,0.0,0.0,20191023.0
5.32,0.46,1.93,0.0,0.06,0.0,0.0,0.0,0.0,0.04,4700,station,-127.0,15.94,0.0,0.0,20191023.0
5.32,0.44,1.87,0.0,0.06,0.0,0.0,0.0,0.0,0.04,4800,station,-127.0,15.42,0.0,0.0,20191023.0
6.65,0.45,2.25,0.0,0.07,0.0,0.0,0.0,0.0,0.05,4900,station,-127.0,18.58,0.0,0.0,20191023.0
3.99,0.44,1.83,0.0,0.06,0.0,0.0,0.0,0.0,0.04,5000,station,-127.0,15.11,0.0,0.0,20191023.0
2.66,0.45,1.69,0.0,0.06,0.0,0.0,0.0,0.0,0.04,5100,station,-127.0,13.95,0.0,0.0,20191023.0
6.65,0.44,1.9,0.0,0.06,0.0,0.0,0.0,0.0,0.04,5200,station,-127.0,15.67,0.0,0.0,20191023.0
7.98,0.44,2.37,0.0,0.08,0.0,0.0,0.0,0.0,0.05,5300,station,-127.0,19.57,0.0,0.0,20191023.0
10.64,0.45,1.95,0.0,0.06,0.0,0.0,0.0,0.0,0.04,5400,station,-127.0,16.05,0.0,0.0,20191023.0
3.99,0.44,1.97,0.0,0.07,0.0,0.0,0.0,0.0,0.04,5500,station,-127.0,16.22,0.0,0.0,20191023.0
2.66,0.44,2.02,0.0,0.07,0.0,0.0,0.0,0.0,0.05,5600,station,-127.0,16.66,0.0,0.0,20191023.0
7.98,0.43,2.02,0.0,0.07,0.0,0.0,0.0,0.0,0.05,5700,station,-127.0,16.67,315.0,0.0,20191023.0
