"","dia_mes_ano","hora_minuto","irr","massaPM1","massaPM2","numPM1","numPM2","tamanho_medio","temp","vento_dir","vento_vel","massaPM4","massaPM10","numPM4","numPM10","rainfall"
"1",20200307,100,0,2.6,0.09,21.43,0.06,0.47,22,135,5.32,0,0,0,0,0
"2",20200307,200,0,2.16,0.07,17.84,0.05,0.47,22.06,135,7.98,0,0,0,0,0
"3",20200307,300,0,1.98,0.07,16.36,0.04,0.47,21.88,135,3.99,0,0,0,0,0
"4",20200307,400,0,2.91,0.1,24.01,0.07,0.45,22,135,5.32,0,0,0,0,0
"5",20200307,500,0,2.49,0.08,20.5,0.06,0.47,22,135,2.66,0,0,0,0,0
"6",20200307,600,0,2.29,0.08,18.9,0.05,0.48,21.81,135,5.32,0,0,0,0,0
"7",20200307,700,0,2.46,0.08,20.29,0.06,0.49,22.12,135,7.98,0,0,0,0,0
"8",20200307,800,0,2.24,0.07,18.52,0.05,0.49,21.88,90,14.63,0,0,0,0,0
"9",20200307,900,0,2.19,0.07,18.11,0.05,0.49,22.12,135,7.98,0,0,0,0,0
"10",20200307,1000,0,2.45,0.08,20.24,0.06,0.49,22.12,90,10.64,0,0,0,0,0
"11",20200307,1100,0,2.33,0.08,19.24,0.05,0.49,22.12,180,3.99,0,0,0,0,0
"12",20200307,1200,0,2.35,0.08,19.38,0.05,0.5,22.06,135,2.66,0,0,0,0,0
"13",20200307,1300,0,2.24,0.07,18.5,0.05,0.51,22.06,90,13.3,0,0,0,0,0
"14",20200307,1400,0,1.9,0.06,15.7,0.04,0.5,21.94,90,11.97,0,0,0,0,0
"15",20200307,1500,0,2.48,0.08,20.44,0.06,0.48,22.12,45,17.29,0,0,0,0,0
"16",20200307,1600,0,2.68,0.09,22.15,0.06,0.49,22,90,9.31,0,0,0,0,0
"17",20200307,1700,0,2.06,0.07,16.96,0.05,0.47,22.31,135,2.66,0,0,0,0,0
"18",20200307,1800,0,2.4,0.08,19.82,0.05,0.48,22.12,135,3.99,0,0,0,0,0
"19",20200307,1900,0,2.68,0.09,22.12,0.06,0.47,22.12,135,3.99,0,0,0,0,0
"20",20200307,2000,0,2.25,0.07,18.59,0.05,0.47,22.25,180,7.98,0,0,0,0,0
"21",20200307,2100,0,2.58,0.09,21.32,0.06,0.47,22.38,135,10.64,0,0,0,0,0
"22",20200307,2200,0,2.53,0.08,20.88,0.06,0.47,22.31,135,7.98,0,0,0,0,0
"23",20200307,2300,0,2.45,0.08,20.17,0.06,0.46,22.38,90,7.98,0,0,0,0,0
"24",20200307,2400,0,2.48,0.08,20.46,0.06,0.46,22.25,135,9.31,0,0,0,0,0
"25",20200307,2500,0,2.52,0.08,20.83,0.06,0.47,22.19,45,7.98,0,0,0,0,0
"26",20200307,2600,0,2.63,0.09,21.69,0.06,0.48,22.44,90,13.3,0,0,0,0,0
"27",20200307,2700,0,2.45,0.08,20.22,0.06,0.49,22.38,135,6.65,0,0,0,0,0
"28",20200307,2800,0,2.34,0.08,19.33,0.05,0.49,22.38,135,9.31,0,0,0,0,0
"29",20200307,2900,0,2.58,0.09,21.29,0.06,0.49,22.44,135,9.31,0,0,0,0,0
"30",20200307,3000,0,2.57,0.09,21.19,0.06,0.49,22.5,90,10.64,0,0,0,0,0
"31",20200307,3100,0,2.18,0.07,18.02,0.05,0.49,22.31,0,22.61,0,0,0,0,0
"32",20200307,3200,0,2.61,0.09,21.53,0.06,0.49,22.62,45,13.3,0,0,0,0,0
"33",20200307,3300,0,2.57,0.09,21.22,0.06,0.49,22.31,90,14.63,0,0,0,0,0
"34",20200307,3400,0,2.53,0.08,20.9,0.06,0.5,22.44,90,11.97,0,0,0,0,0
"35",20200307,3500,0,2.47,0.08,20.35,0.06,0.5,22.56,45,7.98,0,0,0,0,0
"36",20200307,3600,0,2.85,0.09,23.49,0.06,0.5,22.62,90,21.28,0,0,0,0,0
"37",20200307,3700,0,2.7,0.09,22.25,0.06,0.5,22.62,45,9.31,0,0,0,0,0
"38",20200307,3800,0,2.52,0.08,20.76,0.06,0.5,22.44,135,7.98,0,0,0,0,0
"39",20200307,3900,0,2.58,0.09,21.32,0.06,0.5,22.12,135,3.99,0,0,0,0,0
"40",20200307,4000,0,2.37,0.08,19.59,0.05,0.49,22.19,45,13.3,0,0,0,0,0
"41",20200307,4100,0,2.71,0.09,22.33,0.06,0.49,22.06,45,21.28,0,0,0,0,0
"42",20200307,4200,0,2.51,0.08,20.69,0.06,0.47,22.25,90,13.3,0,0,0,0,0
"43",20200307,4300,0,2.42,0.08,19.98,0.05,0.47,22.19,90,10.64,0,0,0,0,0
"44",20200307,4400,0,2.12,0.07,17.53,0.05,0.45,22.44,45,7.98,0,0,0,0,0
"45",20200307,4500,0,2.26,0.08,18.6,0.05,0.46,22.12,135,6.65,0,0,0,0,0
