"","dia_mes_ano","hora_minuto","irr","massaPM1","massaPM2","numPM1","numPM2","tamanho_medio","temp","vento_dir","vento_vel","massaPM4","massaPM10","numPM4","numPM10","rainfall"
"1",20191111,100,0,2.06,0.07,17.02,0.05,0.47,21.38,0,0,0,0,0,0,0
"2",20191111,200,0,2.2,0.07,18.17,0.05,0.46,21.38,45,2.66,0,0,0,0,0
"3",20191111,300,0,2.41,0.08,19.91,0.05,0.46,21.38,45,1.33,0,0,0,0,0
"4",20191111,400,0,1.86,0.06,15.37,0.04,0.47,21.25,0,1.33,0,0,0,0,0
"5",20191111,500,0,2.15,0.07,17.71,0.05,0.48,21.38,45,0,0,0,0,0,0
"6",20191111,600,0,2.41,0.08,19.85,0.05,0.47,21.31,0,0,0,0,0,0,0
"7",20191111,700,0,2.19,0.07,18.11,0.05,0.45,21.44,0,5.32,0,0,0,0,0
"8",20191111,800,0,2.09,0.07,17.21,0.05,0.45,21.31,90,7.98,0,0,0,0,0
"9",20191111,900,0,1.99,0.07,16.41,0.05,0.47,21.44,45,5.32,0,0,0,0,0
"10",20191111,1000,0,2.21,0.07,18.27,0.05,0.46,21.5,45,5.32,0,0,0,0,0
"11",20191111,1100,0,2.33,0.08,19.25,0.05,0.47,21.56,135,0,0,0,0,0,0
"12",20191111,1200,0,2.46,0.08,20.29,0.06,0.46,21.62,45,2.66,0,0,0,0,0
"13",20191111,1300,1.17,2.64,0.09,21.81,0.06,0.46,21.5,45,0,0,0,0,0,0
"14",20191111,1400,0,2.19,0.07,18.06,0.05,0.47,21.38,90,0,0,0,0,0,0
"15",20191111,1500,0,2.47,0.08,20.39,0.06,0.46,21.31,45,0,0,0,0,0,0
"16",20191111,1600,0,2.53,0.08,20.85,0.06,0.46,21.12,45,0,0,0,0,0,0
"17",20191111,1700,0,2.29,0.08,18.9,0.05,0.46,21.19,90,0,0,0,0,0,0
"18",20191111,1800,0,2.38,0.08,19.62,0.05,0.46,21,45,0,0,0,0,0,0
"19",20191111,1900,0,2.21,0.07,18.24,0.05,0.45,21.06,90,0,0,0,0,0,0
"20",20191111,2000,0,2.77,0.09,22.87,0.06,0.45,21.12,90,0,0,0,0,0,0
"21",20191111,2100,0,2.28,0.08,18.8,0.05,0.47,21.06,45,0,0,0,0,0,0
"22",20191111,2200,0,2.62,0.09,21.59,0.06,0.46,21,45,0,0,0,0,0,0
"23",20191111,2300,1.17,2.24,0.07,18.46,0.05,0.46,20.88,45,0,0,0,0,0,0
"24",20191111,2400,0,2,0.07,16.48,0.05,0.45,20.81,45,0,0,0,0,0,0
"25",20191111,2500,0,2.32,0.08,19.11,0.05,0.47,20.88,45,0,0,0,0,0,0
"26",20191111,2600,0,2.31,0.08,19.07,0.05,0.48,20.75,45,0,0,0,0,0,0
