"","dia_mes_ano","hora_minuto","irr","massaPM1","massaPM2","numPM1","numPM2","tamanho_medio","temp","vento_dir","vento_vel","massaPM4","massaPM10","numPM4","numPM10","rainfall"
"438",20200204,71800,467.06,1.95,0.06,16.05,0.04,0.45,29.56,335,7.98,0,0,0,0,0
"439",20200204,71900,465.08,1.66,0.06,13.73,0.04,0.44,29.56,0,19.95,0,0,0,0,0
"440",20200204,72000,476.98,1.78,0.06,14.68,0.04,0.44,29.69,225,7.98,0,0,0,0,0
"441",20200204,72100,486.9,1.46,0.05,12.01,0.03,0.45,29,45,13.3,0,0,0,0,0
"442",20200204,72200,482.94,2.1,0.07,17.34,0.05,0.44,29.88,135,6.65,0,0,0,0,0
"443",20200204,72300,494.84,1.92,0.06,15.86,0.04,0.44,30.62,335,7.98,0,0,0,0,0
"444",20200204,72400,488.89,1.77,0.06,14.64,0.04,0.43,31.12,0,10.64,0,0,0,0,0
"445",20200204,72500,486.9,1.79,0.06,14.75,0.04,0.45,31.56,45,2.66,0,0,0,0,0
"446",20200204,72600,401.59,1.86,0.06,15.35,0.04,0.46,31.56,0,6.65,0,0,0,0,0
"447",20200204,72700,342.06,1.85,0.06,15.3,0.04,0.46,30.31,335,9.31,0,0,0,0,0
"448",20200204,72800,500.79,1.69,0.06,13.98,0.04,0.46,30.75,335,6.65,0,0,0,0,0
"449",20200204,72900,482.94,1.65,0.05,13.61,0.04,0.46,30.56,0,10.64,0,0,0,0,0
"450",20200204,73000,459.13,1.95,0.06,16.06,0.04,0.46,29.88,0,14.63,0,0,0,0,0
"451",20200204,73100,423.41,1.51,0.05,12.45,0.03,0.46,29.25,0,13.3,0,0,0,0,0
"452",20200204,73200,346.03,1.5,0.05,12.34,0.03,0.45,28.38,0,13.3,0,0,0,0,0
"453",20200204,73300,445.24,1.7,0.06,14.04,0.04,0.44,28.19,0,22.61,0,0,0,0,0
"454",20200204,73400,455.16,1.44,0.05,11.89,0.03,0.44,28.56,0,14.63,0,0,0,0,0
"455",20200204,73500,225,1.73,0.06,14.3,0.04,0.45,28.06,270,10.64,0,0,0,0,0
"456",20200204,73600,318.25,1.6,0.05,13.21,0.04,0.45,28,0,22.61,0,0,0,0,0
"457",20200204,73700,266.67,1.31,0.04,10.83,0.03,0.44,27.5,45,15.96,0,0,0,0,0
"458",20200204,73800,336.11,1.31,0.04,10.84,0.03,0.44,27.38,335,13.3,0,0,0,0,0
"459",20200204,73900,284.52,1.43,0.05,11.81,0.03,0.44,27.81,0,7.98,0,0,0,0,0
"460",20200204,74000,338.1,1.47,0.05,12.14,0.03,0.44,27.5,0,17.29,0,0,0,0,0
"461",20200204,74100,445.24,1.81,0.06,14.91,0.04,0.44,27.88,90,31.92,0,0,0,0,0
"462",20200204,74200,421.43,2.31,0.08,19.04,0.05,0.44,28.31,270,7.98,0,0,0,0,0
"463",20200204,74300,433.33,1.82,0.06,15,0.04,0.44,28.81,135,7.98,0,0,0,0,0
"464",20200204,74400,260.71,1.86,0.06,15.36,0.04,0.44,29,45,9.31,0,0,0,0,0
"465",20200204,74500,308.33,1.73,0.06,14.24,0.04,0.44,28.5,0,10.64,0,0,0,0,0
"466",20200204,74600,284.52,1.41,0.05,11.65,0.03,0.45,28.44,335,5.32,0,0,0,0,0
"467",20200204,74700,324.21,1.51,0.05,12.45,0.03,0.45,28.25,0,15.96,0,0,0,0,0
"468",20200204,74800,399.6,1.78,0.06,14.71,0.04,0.45,28.81,45,11.97,0,0,0,0,0
"469",20200204,74900,411.51,1.44,0.05,11.9,0.03,0.44,28.88,0,6.65,0,0,0,0,0
"470",20200204,75000,465.08,1.47,0.05,12.1,0.03,0.44,29.12,0,7.98,0,0,0,0,0
"471",20200204,75100,518.65,1.32,0.04,10.91,0.03,0.44,30.38,45,5.32,0,0,0,0,0
"472",20200204,75200,603.97,1.44,0.05,11.91,0.03,0.45,30.75,90,10.64,0,0,0,0,0
"473",20200204,75300,611.9,1.31,0.04,10.82,0.03,0.45,30.5,270,17.29,0,0,0,0,0
"474",20200204,75400,641.67,1.59,0.05,13.11,0.04,0.46,31,90,7.98,0,0,0,0,0
"475",20200204,75500,643.65,1.54,0.05,12.74,0.04,0.46,31.19,0,10.64,0,0,0,0,0
"476",20200204,75600,645.63,1.53,0.05,12.64,0.03,0.45,31.75,0,6.65,0,0,0,0,0
"477",20200204,75700,635.71,1.57,0.05,12.91,0.04,0.46,32.56,0,14.63,0,0,0,0,0
"478",20200204,75800,629.76,1.13,0.04,9.32,0.03,0.45,33.19,45,5.32,0,0,0,0,0
"479",20200204,75900,627.78,1.89,0.06,15.63,0.04,0.45,32.06,0,10.64,0,0,0,0,0
"480",20200204,80000,627.78,1.27,0.04,10.5,0.03,0.46,32.38,0,7.98,0,0,0,0,0
"481",20200204,80100,627.78,1.55,0.05,12.76,0.04,0.46,31.5,270,11.97,0,0,0,0,0
"482",20200204,80200,637.7,1.46,0.05,12.07,0.03,0.46,31.88,135,10.64,0,0,0,0,0
"483",20200204,80300,647.62,1.54,0.05,12.7,0.03,0.47,31.94,270,6.65,0,0,0,0,0
"484",20200204,80400,659.52,1.25,0.04,10.32,0.03,0.47,32.06,45,13.3,0,0,0,0,0
"485",20200204,80500,665.48,1.71,0.06,14.08,0.04,0.47,31.88,335,14.63,0,0,0,0,0
"486",20200204,80600,681.35,1.71,0.06,14.12,0.04,0.47,32.12,45,15.96,0,0,0,0,0
"487",20200204,80700,691.27,1.46,0.05,12.02,0.03,0.45,30.94,0,19.95,0,0,0,0,0
"488",20200204,80800,705.16,1.85,0.06,15.29,0.04,0.46,31.25,335,10.64,0,0,0,0,0
"489",20200204,80900,703.17,1.9,0.06,15.64,0.04,0.46,31.75,90,7.98,0,0,0,0,0
"490",20200204,81000,709.13,1.46,0.05,12.03,0.03,0.47,32.5,45,7.98,0,0,0,0,0
"491",20200204,81100,707.14,1.43,0.05,11.81,0.03,0.47,33.12,45,9.31,0,0,0,0,0
"492",20200204,81200,726.98,1.16,0.04,9.54,0.03,0.48,34.38,45,5.32,0,0,0,0,0
"493",20200204,81300,752.78,1.33,0.04,10.96,0.03,0.48,34.19,180,5.32,0,0,0,0,0
"494",20200204,81400,788.49,1.38,0.05,11.41,0.03,0.47,34.56,225,3.99,0,0,0,0,0
"495",20200204,81500,828.17,1.23,0.04,10.16,0.03,0.47,32.75,0,11.97,0,0,0,0,0
"496",20200204,81600,715.08,1.36,0.05,11.21,0.03,0.47,32.56,0,14.63,0,0,0,0,0
"497",20200204,81700,812.3,1.21,0.04,9.97,0.03,0.47,31.56,0,10.64,0,0,0,0,0
"498",20200204,81800,754.76,1.36,0.05,11.2,0.03,0.47,32.31,270,7.98,0,0,0,0,0
"499",20200204,81900,709.13,1.48,0.05,12.2,0.03,0.46,32.44,45,10.64,0,0,0,0,0
"500",20200204,82000,623.81,1.34,0.04,11.04,0.03,0.46,30.88,270,11.97,0,0,0,0,0
"501",20200204,82100,683.33,1.44,0.05,11.86,0.03,0.47,30.19,270,14.63,0,0,0,0,0
"502",20200204,82200,228.97,1.42,0.05,11.69,0.03,0.45,30.19,0,2.66,0,0,0,0,0
"503",20200204,82300,566.27,1.4,0.05,11.59,0.03,0.45,29.31,45,5.32,0,0,0,0,0
"504",20200204,82400,738.89,1.4,0.05,11.52,0.03,0.45,30.06,0,15.96,0,0,0,0,0
"505",20200204,82500,363.89,1.6,0.05,13.19,0.04,0.44,30.19,0,9.31,0,0,0,0,0
"506",20200204,82600,272.62,1.38,0.05,11.35,0.03,0.44,29.31,335,6.65,0,0,0,0,0
"507",20200204,82700,308.33,1.22,0.04,10.03,0.03,0.45,28.75,0,13.3,0,0,0,0,0
"508",20200204,82800,600,1.34,0.04,11.09,0.03,0.44,29.94,90,13.3,0,0,0,0,0
"509",20200204,82900,657.54,1.4,0.05,11.52,0.03,0.45,30.88,335,9.31,0,0,0,0,0
"510",20200204,83000,361.9,1.54,0.05,12.72,0.03,0.45,30.25,0,22.61,0,0,0,0,0
"511",20200204,83100,657.54,1.08,0.04,8.95,0.02,0.44,29.75,45,21.28,0,0,0,0,0
"512",20200204,83200,707.14,1.06,0.04,8.78,0.02,0.44,30.81,0,13.3,0,0,0,0,0
"513",20200204,83300,671.43,1.32,0.04,10.9,0.03,0.46,31.19,45,10.64,0,0,0,0,0
"514",20200204,83400,766.67,1.65,0.05,13.63,0.04,0.45,31.12,335,10.64,0,0,0,0,0
"515",20200204,83500,788.49,1.31,0.04,10.78,0.03,0.45,32.69,0,5.32,0,0,0,0,0
"516",20200204,83600,782.54,1.45,0.05,11.92,0.03,0.44,33,0,7.98,0,0,0,0,0
