"","dia_mes_ano","hora_minuto","irr","massaPM1","massaPM2","massaPM4","massaPM10","numPM1","numPM2","numPM4","numPM10","tamanho_medio","temp","vento_dir","vento_vel","rainfall"
"1182",20200202,194300,0,1.88,0.06,0,0,15.5,0.04,0,0,0.47,25.38,270,0,0
"1183",20200202,194400,0,2.33,0.08,0,0,19.2,0.05,0,0,0.48,25.31,270,0,0
"1184",20200202,194500,0,2.05,0.07,0,0,16.91,0.05,0,0,0.47,25.19,270,0,0
"1185",20200202,194600,0,2.03,0.07,0,0,16.71,0.05,0,0,0.48,25.06,270,0,0
"1186",20200202,194700,0,2.74,0.09,0,0,22.63,0.06,0,0,0.48,25.19,270,0,0
"1187",20200202,194800,0,2.46,0.08,0,0,20.27,0.06,0,0,0.47,25,270,0,0
"1188",20200202,194900,0,2.33,0.08,0,0,19.23,0.05,0,0,0.47,24.88,270,0,0
"1189",20200202,195000,0,2.55,0.08,0,0,21.05,0.06,0,0,0.47,24.81,270,0,0
"1190",20200202,195100,0,2.29,0.08,0,0,18.93,0.05,0,0,0.48,24.81,270,0,0
"1191",20200202,195200,0,2.04,0.07,0,0,16.84,0.05,0,0,0.49,24.88,270,0,0
"1192",20200202,195300,0,2.64,0.09,0,0,21.79,0.06,0,0,0.5,25.12,270,0,0
"1193",20200202,195400,0,1.9,0.06,0,0,15.68,0.04,0,0,0.5,24.81,270,0,0
"1194",20200202,195500,0,1.95,0.06,0,0,16.09,0.04,0,0,0.51,24.69,270,0,0
"1195",20200202,195600,0,2.41,0.08,0,0,19.88,0.05,0,0,0.51,24.5,270,0,0
"1196",20200202,195700,0,2.45,0.08,0,0,20.23,0.06,0,0,0.49,24.5,270,0,0
"1197",20200202,195800,0,2.25,0.07,0,0,18.58,0.05,0,0,0.49,24.25,270,0,0
"1198",20200202,195900,0,2.41,0.08,0,0,19.91,0.05,0,0,0.48,24.25,270,0,0
"1199",20200202,200000,0,2.65,0.09,0,0,21.89,0.06,0,0,0.5,24.44,270,0,0
"1200",20200202,200100,0,2.4,0.08,0,0,19.84,0.05,0,0,0.5,24.19,270,0,0
"1201",20200202,200200,0,2.22,0.07,0,0,18.35,0.05,0,0,0.51,24.25,270,0,0
"1202",20200202,200300,0,2.08,0.07,0,0,17.16,0.05,0,0,0.51,24.31,270,0,0
"1203",20200202,200400,0,2.38,0.08,0,0,19.65,0.05,0,0,0.52,24.25,270,0,0
"1204",20200202,200500,0,2.54,0.08,0,0,20.98,0.06,0,0,0.51,24.25,270,0,0
"1205",20200202,200600,0,2.37,0.08,0,0,19.59,0.05,0,0,0.5,24.38,270,0,0
"1206",20200202,200700,0,2.48,0.08,0,0,20.48,0.06,0,0,0.49,24.44,270,0,0
"1207",20200202,200800,0,2.1,0.07,0,0,17.3,0.05,0,0,0.5,24.25,270,0,0
"1208",20200202,200900,0,2.84,0.09,0,0,23.45,0.06,0,0,0.5,24.06,270,0,0
"1209",20200202,201000,0,2.25,0.07,0,0,18.58,0.05,0,0,0.51,24.06,270,0,0
"1210",20200202,201100,0,2.64,0.09,0,0,21.76,0.06,0,0,0.51,24.06,270,0,0
"1211",20200202,201200,0,2.62,0.09,0,0,21.61,0.06,0,0,0.51,24.12,270,0,0
"1212",20200202,201300,0,2.43,0.08,0,0,20.04,0.06,0,0,0.53,24.12,270,0,0
"1213",20200202,201400,0,2.2,0.07,0,0,18.11,0.05,0,0,0.52,24.19,270,0,0
"1214",20200202,201500,0,2.57,0.09,0,0,21.16,0.06,0,0,0.5,24.19,270,0,0
"1215",20200202,201600,0,2.23,0.07,0,0,18.36,0.05,0,0,0.5,24.12,270,0,0
"1216",20200202,201700,0,2.73,0.09,0,0,22.56,0.06,0,0,0.49,24,270,0,0
"1217",20200202,201800,0,2.72,0.09,0,0,22.48,0.06,0,0,0.5,24,270,0,0
"1218",20200202,201900,0,2.71,0.09,0,0,22.36,0.06,0,0,0.5,24.12,270,0,0
"1219",20200202,202000,0,2.81,0.09,0,0,23.19,0.06,0,0,0.49,24.25,270,0,0
"1220",20200202,202100,0,2.79,0.09,0,0,23.01,0.06,0,0,0.5,24.25,270,0,0
"1221",20200202,202200,0,2.64,0.09,0,0,21.82,0.06,0,0,0.49,24.31,270,0,0
"1222",20200202,202300,0,2.59,0.09,0,0,21.39,0.06,0,0,0.48,24.12,270,0,0
"1223",20200202,202400,0,2.47,0.08,0,0,20.37,0.06,0,0,0.51,24.12,270,0,0
"1224",20200202,202500,0,2.43,0.08,0,0,20.06,0.06,0,0,0.5,24.44,270,0,0
"1225",20200202,202600,0,2.52,0.08,0,0,20.82,0.06,0,0,0.51,24.38,270,0,0
"1226",20200202,202700,0,2.94,0.1,0,0,24.28,0.07,0,0,0.49,24.31,270,0,0
"1227",20200202,202800,0,2.22,0.07,0,0,18.32,0.05,0,0,0.49,24.25,270,0,0
"1228",20200202,202900,0,2.28,0.08,0,0,18.79,0.05,0,0,0.5,24.31,270,0,0
"1229",20200202,203000,0,2.82,0.09,0,0,23.27,0.06,0,0,0.49,24.19,270,0,0
"1230",20200202,203100,0,2.69,0.09,0,0,22.23,0.06,0,0,0.48,24.19,270,0,0
"1231",20200202,203200,0,2.19,0.07,0,0,18.03,0.05,0,0,0.49,24.12,270,0,0
"1232",20200202,203300,0,2.62,0.09,0,0,21.65,0.06,0,0,0.49,24.06,270,0,0
"1233",20200202,203400,0,2.5,0.08,0,0,20.63,0.06,0,0,0.49,24.06,270,0,0
"1234",20200202,203500,0,2.98,0.1,0,0,24.58,0.07,0,0,0.48,24,270,0,0
"1235",20200202,203600,0,2.43,0.08,0,0,20.01,0.05,0,0,0.48,24.06,270,0,0
"1236",20200202,203700,0,2.67,0.09,0,0,22.01,0.06,0,0,0.47,24.12,270,0,0
"1237",20200202,203800,0,2.97,0.1,0,0,24.49,0.07,0,0,0.47,23.94,270,0,0
"1238",20200202,203900,0,2.64,0.09,0,0,21.79,0.06,0,0,0.47,23.94,270,0,0
"1239",20200202,204000,0,2.63,0.09,0,0,21.67,0.06,0,0,0.47,24,270,0,0
"1240",20200202,204100,0,2.67,0.09,0,0,22.01,0.06,0,0,0.48,24.12,270,0,0
"1241",20200202,204200,0,2.65,0.09,0,0,21.87,0.06,0,0,0.47,24.19,270,0,0
"1242",20200202,204300,0,2.33,0.08,0,0,19.22,0.05,0,0,0.48,24.12,270,0,0
"1243",20200202,204400,0,2.81,0.09,0,0,23.21,0.06,0,0,0.48,24.12,270,0,0
"1244",20200202,204500,0,3.11,0.1,0,0,25.65,0.07,0,0,0.48,24.19,270,0,0
"1245",20200202,204600,0,2.6,0.09,0,0,21.42,0.06,0,0,0.48,24.25,270,0,0
"1246",20200202,204700,0,2.8,0.09,0,0,23.08,0.06,0,0,0.49,24.25,270,0,0
"1247",20200202,204800,0,2.96,0.1,0,0,24.4,0.07,0,0,0.5,24.38,270,0,0
"1248",20200202,204900,0,2.95,0.1,0,0,24.31,0.07,0,0,0.48,24.25,270,0,0
"1249",20200202,205000,0,2.44,0.08,0,0,20.16,0.06,0,0,0.5,24.12,270,0,0
"1250",20200202,205100,0,2.83,0.09,0,0,23.36,0.06,0,0,0.49,24.19,270,0,0
"1251",20200202,205200,0,2.85,0.09,0,0,23.49,0.06,0,0,0.49,24.19,270,0,0
