"","dia_mes_ano","hora_minuto","irr","massaPM1","massaPM2","massaPM4","massaPM10","numPM1","numPM2","numPM4","numPM10","tamanho_medio","temp","vento_dir","vento_vel","rainfall"
"1",20200304,100,0,1.56,0.05,0,0,12.9,0.04,0,0,0.48,20.81,135,9.31,0
"2",20200304,200,0,1.56,0.05,0,0,12.86,0.04,0,0,0.47,20.94,135,17.29,0
"3",20200304,300,0,1.28,0.04,0,0,10.55,0.03,0,0,0.48,20.94,135,13.3,0
"4",20200304,400,0,1.42,0.05,0,0,11.74,0.03,0,0,0.47,20.94,90,18.62,0
"5",20200304,500,0,1.33,0.04,0,0,10.98,0.03,0,0,0.48,21.12,135,7.98,0
"6",20200304,600,0,1.47,0.05,0,0,12.15,0.03,0,0,0.46,21,135,3.99,0
"7",20200304,700,0,1.42,0.05,0,0,11.73,0.03,0,0,0.46,21,135,7.98,0
"8",20200304,800,0,1.64,0.05,0,0,13.54,0.04,0,0,0.46,21.06,135,9.31,0
"9",20200304,900,0,1.33,0.04,0,0,11,0.03,0,0,0.46,21.19,90,7.98,0
"10",20200304,1000,0,1.17,0.04,0,0,9.66,0.03,0,0,0.46,21.19,135,19.95,0
"11",20200304,1100,0,1.55,0.05,0,0,12.76,0.04,0,0,0.47,21.12,90,9.31,0
"12",20200304,1200,0,1.24,0.04,0,0,10.24,0.03,0,0,0.47,21.5,135,19.95,0
"13",20200304,1300,0,1.39,0.05,0,0,11.44,0.03,0,0,0.48,21.38,135,11.97,0
"14",20200304,1400,0,1.4,0.05,0,0,11.57,0.03,0,0,0.48,21.44,135,14.63,0
"15",20200304,1500,0,1.44,0.05,0,0,11.86,0.03,0,0,0.49,21.38,135,9.31,0
"16",20200304,1600,0,1.16,0.04,0,0,9.55,0.03,0,0,0.48,21.06,135,15.96,0
"17",20200304,1700,0,1.4,0.05,0,0,11.55,0.03,0,0,0.49,21,135,9.31,0
"18",20200304,1800,0,1.19,0.04,0,0,9.82,0.03,0,0,0.48,21,135,15.96,0
"19",20200304,1900,0,1.34,0.04,0,0,11.07,0.03,0,0,0.48,20.88,135,15.96,0
"20",20200304,2000,0,1.41,0.05,0,0,11.61,0.03,0,0,0.49,21,135,5.32,0
"21",20200304,2100,0,1.1,0.04,0,0,9.1,0.03,0,0,0.48,20.81,135,6.65,0
"22",20200304,2200,0,1.04,0.03,0,0,8.58,0.02,0,0,0.48,20.69,135,6.65,0
"23",20200304,2300,0,1.39,0.05,0,0,11.5,0.03,0,0,0.49,20.88,135,7.98,0
"24",20200304,2400,0,1.69,0.06,0,0,13.96,0.04,0,0,0.49,20.75,135,9.31,0
"25",20200304,2500,0,1.52,0.05,0,0,12.53,0.03,0,0,0.49,20.94,135,3.99,0
"26",20200304,2600,0,1.66,0.06,0,0,13.66,0.04,0,0,0.51,21.06,180,5.32,0
"27",20200304,2700,0,1.42,0.05,0,0,11.75,0.03,0,0,0.5,21,180,5.32,0
"28",20200304,2800,0,1.51,0.05,0,0,12.48,0.03,0,0,0.51,20.94,180,5.32,0
"29",20200304,2900,0,1.47,0.05,0,0,12.13,0.03,0,0,0.51,21.12,135,5.32,0
"30",20200304,3000,0,1.33,0.04,0,0,10.97,0.03,0,0,0.51,21.06,180,7.98,0
"31",20200304,3100,0,1.49,0.05,0,0,12.31,0.03,0,0,0.49,21.06,180,5.32,0
"32",20200304,3200,0,1.45,0.05,0,0,12,0.03,0,0,0.48,20.94,135,3.99,0
"33",20200304,3300,0,1.45,0.05,0,0,12,0.03,0,0,0.48,20.75,135,6.65,0
"34",20200304,3400,0,1.6,0.05,0,0,13.19,0.04,0,0,0.46,20.88,135,18.62,0
