dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_AC,P_DC,I_AC,V_AC,I_DC,V_DC,massaPM4,numPM4,massaPM10,numPM10,rainfall,irr_est
20200303,152900,672.3,0.86,7.1,0.03,0.02,0.45,32.31,10.11,166.5,5610.6,5646.24,25.4,219.3,10.32,546.92,0,0,0,0,0,0
20200303,153900,350.9,0.81,6.7,0.03,0.02,0.44,30.99,15.3,121.5,2936.8,2938.11,13.52,215.56,5.49,530.09,0,0,0,0,0,0
20200303,154900,338.8,0.62,5.17,0.02,0.01,0.45,31.36,11.3,148.5,2826.4,2869.23,13.02,215.58,5.31,529.29,0,0,0,0,0,0
20200303,155900,552.4,0.83,6.86,0.03,0.02,0.46,33.07,11.04,135,4538,4609.72,20.87,217.79,8.75,527.06,0,0,0,0,0,0
20200303,160900,441.2,0.92,7.6,0.03,0.02,0.46,32.46,16.96,135,3556.5,3614.41,16.46,216.4,6.85,527.65,0,0,0,0,0,0
20200303,161900,132.6,0.8,6.6,0.03,0.02,0.46,30.08,14.9,148.5,1090.6,1134.41,5.14,214.3,2.18,520.52,0,0,0,0,0,0
20200303,162900,131.7,0.94,7.71,0.03,0.02,0.47,29.06,9.84,164,1122.9,1151.48,5.26,213.89,2.13,540.3,0,0,0,0,0,0
20200303,163900,99.2,0.9,7.44,0.03,0.02,0.47,28.59,17.96,139.5,848,870.19,3.96,213.99,1.62,536.96,0,0,0,0,0,0
20200303,164900,134.1,0.94,7.76,0.03,0.02,0.47,28.69,17.96,117,608,624.03,2.83,214.93,1.07,583.87,0,0,0,0,0,0
20200303,165900,151.2,2.49,20.57,0.08,0.06,0.48,28.76,19.22,103.5,974.8,1004.9,4.5,216.85,2.05,494.24,0,0,0,0,0,0
20200303,170900,97.1,2.76,22.78,0.09,0.06,0.47,27.98,16.23,108,562.3,585.73,2.63,214.9,1.1,533.34,0,0,0,0,0,0
20200303,171900,108.1,2.01,16.56,0.07,0.04,0.48,27.86,15.43,139.5,462.3,484,2.16,214.01,0.9,536.56,0,0,0,0,0,0
20200303,172900,52.1,1.34,11.07,0.04,0.03,0.48,27.62,18.62,112.5,329.3,347.57,1.54,214.29,0.67,516.26,0,0,0,0,0,0
20200303,173900,26.1,1.37,11.26,0.04,0.03,0.48,27.05,13.96,99,189.5,210.77,0.89,213.74,0.42,506.86,0,0,0,0,0,0
20200303,174900,13.9,1.69,13.97,0.06,0.04,0.49,26.83,13.7,135,88.7,113.02,0.43,212.2,0.23,487.36,0,0,0,0,0,0
20200303,175900,4.4,1.26,10.38,0.04,0.03,0.49,26.64,15.03,126,12.3,36.77,0.12,214.45,0.08,443.11,0,0,0,0,0,0
20200303,180900,0.1,1.9,15.67,0.06,0.04,0.48,26.42,9.84,126,0,4.81,0.1,214.19,0.01,458.92,0,0,0,0,0,0
20200303,181900,0,2.58,21.26,0.08,0.06,0.47,26.18,4.52,135,0,0,0.1,214.2,0,424.12,0,0,0,0,0,0
20200303,182900,0,3.45,28.43,0.11,0.08,0.46,25.76,4.92,135,0,0,0.1,214.2,0,130.71,0,0,0,0,0,0
20200303,183900,0,3.66,30.24,0.12,0.08,0.49,25.29,2.79,153,0,0,0.1,214.2,0,45.4,0,0,0,0,0,0
20200303,184900,0,2.67,22.06,0.09,0.06,0.49,25.79,4.26,166.5,0,0,0.1,214.2,0,42.52,0,0,0,0,0,0
20200303,185900,0,2.88,23.74,0.1,0.06,0.5,25.84,6.52,166.5,0,0,0.1,214.2,0,40.48,0,0,0,0,0,0
20200303,190900,0,3.31,27.28,0.11,0.07,0.49,25.66,5.59,162,0,0,0.1,214.2,0,40.66,0,0,0,0,0,0
20200303,191900,0,3.98,32.8,0.13,0.09,0.49,25.2,6.92,157.5,0,0,0.1,214.2,0,40.26,0,0,0,0,0,0
