dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_AC,P_DC,I_AC,V_AC,I_DC,V_DC,massaPM4,numPM4,massaPM10,numPM10,rainfall,irr_est
20191010,000900,0,3.49,28.8,0.12,0.08,0.44,23.1,8.98,118.12,0,0,0,0,0,0,0,0,0,0,0,0
20191010,001900,0,3.56,29.38,0.12,0.08,0.45,22.9,8.51,126,0,0,0,0,0,0,0,0,0,0,0,0.06
20191010,002900,0,3.71,30.64,0.12,0.08,0.44,22.77,7.71,117,0,0,0,0,0,0,0,0,0,0,0,0.46
20191010,003900,0,3.84,31.7,0.13,0.09,0.45,22.46,5.19,121.5,0,0,0,0,0,0,0,0,0,0,0,0
20191010,004900,0,3.83,31.6,0.13,0.09,0.45,22.59,9.31,94.5,0,0,0,0,0,0,0,0,0,0,0,1.57
20191010,005900,0,3.62,29.84,0.12,0.08,0.43,22.54,13.03,99,0,0,0,0,0,0,0,0,0,0,0,0
20191010,010900,0,3.77,31.11,0.13,0.09,0.44,22.47,12.63,94.5,0,0,0,0,0,0,0,0,0,0,0,0
20191010,011900,0,3.96,32.61,0.13,0.09,0.47,22.37,11.97,90,0,0,0,0,0,0,0,0,0,0,0,0.06
20191010,012900,0,3.7,30.51,0.12,0.08,0.45,22.16,5.72,103.5,0,0,0,0,0,0,0,0,0,0,0,0.85
20191010,013900,0,3.51,28.93,0.12,0.08,0.46,22.37,8.38,99,0,0,0,0,0,0,0,0,0,0,0,0.46
20191010,014900,0,3.83,31.58,0.13,0.09,0.44,22.43,8.51,99,0,0,0,0,0,0,0,0,0,0,0,0
20191010,015900,0,3.81,31.41,0.13,0.09,0.44,22.45,10.11,90,0,0,0,0,0,0,0,0,0,0,0,0
20191010,020900,0,3.78,31.23,0.13,0.09,0.43,22.55,9.97,99,0,0,0,0,0,0,0,0,0,0,0,0.12
20191010,021900,0,3.72,30.69,0.12,0.08,0.44,22.4,5.45,103.5,0,0,0,0,0,0,0,0,0,0,0,0
20191010,022900,0,3.95,32.56,0.13,0.09,0.45,22.39,3.72,112.5,0,0,0,0,0,0,0,0,0,0,0,0.52
20191010,023900,0,3.77,31.09,0.12,0.09,0.46,22.54,5.45,121.5,0,0,0,0,0,0,0,0,0,0,0,0
