dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_AC,P_DC,I_AC,V_AC,I_DC,V_DC,massaPM4,numPM4,massaPM10,numPM10,rainfall,irr_est
20191028,000900,0,2.22,18.31,0.07,0.05,0.46,26.33,9.61,15,0,0,0,14848216655799276e7,0,41.37,0,0,0,0,0,0
20191028,001900,0,2.17,17.91,0.07,0.05,0.44,26.43,10.77,9,0,0,0,14848216655799276e7,0,41.8,0,0,0,0,0,0
20191028,002900,0,2.14,17.67,0.07,0.05,0.43,26.34,8.25,4.5,0,0,0,14848216655799276e7,0,41.78,0,0,0,0,0,0
20191028,003900,0,2.23,18.37,0.07,0.05,0.46,26.19,8.78,13.5,0,0,0,14848216655799276e7,0,42.14,0,0,0,0,0,0
20191028,004900,0,2.06,16.97,0.07,0.05,0.44,26.02,6.85,13.5,0,0,0,14848216655799276e7,0,42.67,0,0,0,0,0,0
20191028,005900,0,2.13,17.6,0.07,0.05,0.44,26.02,7.05,0,0,0,0,14848216655799276e7,0,42.9,0,0,0,0,0,0
20191028,010900,0,2.16,17.81,0.07,0.05,0.44,25.55,4.52,0,0,0,0,14848216655799276e7,0,43.24,0,0,0,0,0,0
20191028,011900,0,2.17,17.92,0.07,0.05,0.45,25.44,4.26,0,0,0,0,14848216655799276e7,0,43.23,0,0,0,0,0,0
20191028,012900,0,2.13,17.54,0.07,0.05,0.44,25.97,5.72,27,0,0,0,14848216655799276e7,0,43.39,0,0,0,0,0,0
20191028,013900,0,2.12,17.52,0.07,0.05,0.42,26.74,8.38,0,0,0,0,14848216655799276e7,0,42.65,0,0,0,0,0,0
20191028,014900,0,2.11,17.39,0.07,0.05,0.42,26.78,9.58,4.5,0,0,0,14848216655799276e7,0,41.94,0,0,0,0,0,0
20191028,015900,0,1.92,15.81,0.06,0.04,0.41,26.42,5.45,33.5,0,0,0,14848216655799276e7,0,41.5,0,0,0,0,0,0
20191028,020900,0,2.11,17.38,0.07,0.05,0.44,26.09,6.65,33.5,0,0,0,14848216655799276e7,0,41.82,0,0,0,0,0,0
20191028,021900,0,2.09,17.25,0.07,0.05,0.44,26.12,6.78,33.5,0,0,0,14848216655799276e7,0,41.91,0,0,0,0,0,0
20191028,022900,0,1.9,15.72,0.06,0.04,0.43,26.04,6.38,33.5,0,0,0,14848216655799276e7,0,42,0,0,0,0,0,0
20191028,023900,0,2.05,16.93,0.07,0.05,0.44,26.02,7.18,0,0,0,0,14848216655799276e7,0,42.58,0,0,0,0,0,0
20191028,024900,0,2.12,17.47,0.07,0.05,0.43,26.02,6.38,9,0,0,0,14848216655799276e7,0,42.3,0,0,0,0,0,0
20191028,025900,0,2.2,18.14,0.07,0.05,0.45,26,7.18,42.5,0,0,0,14848216655799276e7,0,42.58,0,0,0,0,0,0
20191028,030900,0,2.44,20.14,0.08,0.06,0.43,26.19,7.98,0,0,0,0,14848216655799276e7,0,42.54,0,0,0,0,0,0
20191028,031900,0,2.51,20.68,0.08,0.06,0.44,25.66,3.72,36,0,0,0,14848216655799276e7,0,43.36,0,0,0,0,0,0
20191028,032900,0,2.69,22.21,0.09,0.06,0.44,25.27,7.18,31.5,0,0,0,14848216655799276e7,0,44.73,0,0,0,0,0,0
20191028,033900,0,2.79,23.01,0.09,0.06,0.45,25.51,4.66,0,0,0,0,14848216655799276e7,0,43.77,0,0,0,0,0,0
20191028,034900,0,2.9,23.91,0.1,0.07,0.44,24.98,3.06,9,0,0,0,14848216655799276e7,0,43.71,0,0,0,0,0,0
20191028,035900,0,2.84,23.47,0.1,0.07,0.44,24.51,3.06,13.5,0,0,0,14848216655799276e7,0,43.74,0,0,0,0,0,0
20191028,040900,0,3.51,28.92,0.12,0.08,0.45,25.71,6.78,0,0,0,0,14848216655799276e7,0,43.29,0,0,0,0,0,0
20191028,041900,0,3.83,31.61,0.13,0.09,0.45,25.77,10.11,0,0,0,0,14848216655799276e7,0,43.44,0,0,0,0,0,0
20191028,042900,0,3.68,30.39,0.12,0.08,0.44,25.41,6.78,0,0,0,0,14848216655799276e7,0,44.17,0,0,0,0,0,0.12
20191028,043900,0,4.34,35.85,0.15,0.1,0.42,25.28,7.58,0,0,0,0,14848216655799276e7,0,50.1,0,0,0,0,0,0
20191028,044900,0,4.62,38.14,0.15,0.11,0.44,25.39,7.05,0,0,0,0,14848216655799276e7,0,201.11,0,0,0,0,0,0
20191028,045900,0.1,4.95,40.86,0.16,0.11,0.43,25.48,7.45,0,0,0,0,14848216655799276e7,0,487.91,0,0,0,0,0,0
20191028,050900,5.9,5.37,44.33,0.18,0.12,0.45,25.45,7.32,9,16.8,34.63,0.1,593928666231971e8,0.07,500.48,0,0,0,0,0,0
20191028,051900,14.8,5.92,48.79,0.2,0.13,0.44,25.53,8.64,9,94.5,124.47,0.45,216.12,0.25,498.71,0,0,0,0,0,2.94
20191028,052900,25,6.43,53.07,0.21,0.14,0.43,26.56,7.18,60.5,178.1,205.53,0.84,215.89,0.4,515.64,0,0,0,0,0,33.66
20191028,053900,38.6,6.57,54.24,0.22,0.15,0.44,27.64,9.04,9,293,319.84,1.36,216.6,0.59,537.93,0,0,0,0,0,61.25
20191028,054900,57.7,6.32,52.12,0.21,0.14,0.44,28.44,9.04,9,467.2,494.62,2.15,217.59,0.9,550.96,0,0,0,0,0,91.19
20191028,055900,85.2,6.32,52.11,0.21,0.14,0.44,28.76,9.71,0,712.5,741.54,3.3,216.66,1.34,553,0,0,0,0,0,125.05
20191028,060900,117.4,6.03,49.71,0.2,0.14,0.44,28.96,12.64,27,1018.7,1048.28,4.72,216.09,1.89,554.03,0,0,0,0,0,154.99
20191028,061900,155.3,5.91,48.8,0.2,0.13,0.43,29.6,10.37,71.5,1354.4,1390.13,6.27,216.52,2.51,553.37,0,0,0,0,0,194.13
20191028,062900,195.7,5.93,48.94,0.2,0.14,0.45,29.62,12.1,33.5,1724.6,1758.49,7.96,216.9,3.19,551.96,0,0,0,0,0,230.92
20191028,063900,237.9,7.28,60.08,0.24,0.16,0.44,30.17,11.97,38,2098.7,2138.42,9.67,217.33,3.9,548.05,0,0,0,0,0,271.04
20191028,064900,281.6,7.72,63.68,0.26,0.18,0.43,30.41,11.97,67,2571.3,2617.62,11.77,218.54,4.63,565.71,0,0,0,0,0,309.78
20191028,065900,326.3,7.19,59.3,0.24,0.16,0.44,30.41,15.96,38,2986.6,3032.62,13.7,218.16,5.4,562.03,0,0,0,0,0,349.32
20191028,070900,373.3,6.46,53.3,0.22,0.14,0.44,30.72,18.22,67,3402.9,3459.17,15.61,218.05,6.14,563.49,0,0,0,0,0,393.94
20191028,071900,420.9,6.02,49.64,0.2,0.14,0.44,30.88,20.35,13.5,3839.2,3895.24,17.62,217.82,6.96,559.6,0,0,0,0,0,433.07
20191028,072900,465.2,5.29,43.63,0.18,0.12,0.43,31.09,18.62,67,4218.6,4281.68,19.39,217.49,7.71,555.35,0,0,0,0,0,475.15
20191028,073900,508.3,4.58,37.82,0.15,0.1,0.43,31.14,18.22,194.5,4590.9,4652.73,21.14,217.2,8.41,552.95,0,0,0,0,0,514.09
20191028,074900,549.6,4.34,35.82,0.14,0.1,0.43,31.74,18.35,54,4929.4,4995.35,22.6,218.1,9.12,547.71,0,0,0,0,0,546.18
20191028,075900,602.1,4.1,33.85,0.14,0.09,0.42,32.55,14.76,67,5353.5,5437.09,24.74,216.51,10.02,542.66,0,0,0,0,0,597.26
20191028,080900,632.7,4.13,34.11,0.14,0.09,0.44,31.71,19.15,80.5,5594.5,5692.04,26.08,214.39,10.5,542.26,0,0,0,0,0,624.27
20191028,081900,670.9,4,32.99,0.13,0.09,0.44,32.6,14.5,152.5,5774.7,5864.7,27.25,212.03,11.09,529.03,0,0,0,0,0,659.88
20191028,082900,705.6,4.1,33.83,0.14,0.09,0.43,32.87,12.77,94,6137,6237.45,28.9,212.36,11.69,533.46,0,0,0,0,0,688.06
20191028,083900,742.5,4.11,33.93,0.14,0.09,0.42,32.54,19.15,125.5,6435.2,6525.41,30.07,213.95,12.3,530.47,0,0,0,0,0,719.38
20191028,084900,773.6,4.27,35.23,0.14,0.1,0.43,33.02,13.96,65,6664,6780.75,31.16,213.86,12.81,529.45,0,0,0,0,0,744.42
20191028,085900,808.6,4.04,33.35,0.14,0.09,0.44,32.66,17.56,36,6923.1,7029.36,32.45,213.28,13.42,523.78,0,0,0,0,0,774.95
20191028,090900,837.6,3.98,32.82,0.13,0.09,0.43,33.92,13.17,81,7116.3,7238.43,33.16,214.59,13.88,521.35,0,0,0,0,0,799.81
20191028,091900,865.9,4.25,35.06,0.14,0.1,0.43,34.12,14.23,87.5,7287.2,7416.33,33.56,217.09,14.38,515.58,0,0,0,0,0,822.11
20191028,092900,893.9,3.85,31.74,0.13,0.09,0.42,33.63,13.7,109.5,7499.3,7611.23,34.64,216.3,14.75,516.04,0,0,0,0,0,850.49
20191028,093900,922.6,3.88,31.99,0.13,0.09,0.43,33.98,12.77,45,7692.6,7839.42,35.52,216.61,15.28,513.03,0,0,0,0,0,877.69
20191028,094900,944.4,3.79,31.3,0.13,0.09,0.42,34.11,13.43,42.5,7807.7,7960.95,35.86,217.66,15.63,509.47,0,0,0,0,0,898.04
20191028,095900,967.1,3.72,30.67,0.12,0.08,0.44,34.89,10.91,155,7964,8122.83,36.41,218.39,16,507.75,0,0,0,0,0,919.38
20191028,100900,995.5,3.45,28.48,0.12,0.08,0.42,34.25,14.23,94,7984.3,8163.68,36.64,217.19,16.71,488.57,0,0,0,0,0,948.14
20191028,101900,1020.4,3.35,27.66,0.11,0.08,0.43,33.33,22.08,4.5,8251.9,8408.28,38.01,217.05,16.03,525.08,0,0,0,0,0,975.73
20191028,102900,1040.7,3.29,27.16,0.11,0.07,0.42,34.06,19.95,13.5,8275.2,8431.94,37.86,218.49,15.65,538.87,0,0,0,0,0,991.98
20191028,103900,921.4,3.43,28.26,0.11,0.08,0.41,34.8,13.83,152.5,6955.7,7124.4,31.96,216.49,13.12,534.3,0,0,0,0,0,938.75
20191028,104900,1133.2,3.38,27.88,0.11,0.08,0.41,34.88,13.7,83,8121.7,8233,37.48,216.16,14.96,549.8,0,0,0,0,0,855.77
20191028,105900,1036.3,3.28,27.03,0.11,0.07,0.42,35.42,13.96,175,7499.1,7551.26,33.83,216.72,13.86,539.24,0,0,0,0,0,854.6
20191028,110900,825.3,3.06,25.2,0.1,0.07,0.41,34.59,16.36,206,5688,5622.6,26.15,216.12,10.12,538.32,0,0,0,0,0,692.17
20191028,111900,1109.3,3.19,26.31,0.11,0.07,0.41,34.81,15.63,159.75,7785.4,7718.08,35.17,218.53,13.7,559.84,0,0,0,0,0,1002.15
20191028,112900,943.6,3.03,24.97,0.1,0.07,0.42,34.56,13.7,83,6721.8,7128.63,31.78,218.84,13.03,538.9,0,0,0,0,0,858.71
20191028,113900,785.5,3.07,25.32,0.1,0.07,0.42,34.03,13.83,145.5,5357.8,5466.21,24.63,215.85,9.76,543.75,0,0,0,0,0,724.46
20191028,114900,1179.3,3.01,24.85,0.1,0.07,0.43,34.73,14.9,121,8273.8,8417.85,37.75,219.11,15.17,555.08,0,0,0,0,0,901.96
20191028,115900,941.7,3.11,25.63,0.1,0.07,0.42,34.71,17.29,137,7187.5,7387.27,32.84,218.07,13.69,534.53,0,0,0,0,0,955.19
20191028,120900,871.3,3.11,25.68,0.1,0.07,0.42,34.52,16.96,98.75,6366.7,6407.53,28.55,215.49,12.03,523.83,0,0,0,0,0,782.49
20191028,121900,1005.3,3.26,26.93,0.11,0.07,0.42,34.64,12.9,128,7590.9,7743.62,34.94,216.53,14.09,545.15,0,0,0,0,0,907.63
20191028,122900,1078.2,3.45,28.5,0.11,0.08,0.41,35.38,14.76,134.5,8270.9,8436.69,38.07,217.21,15.89,530.92,0,0,0,0,0,962.82
20191028,123900,1078.5,3.55,29.31,0.12,0.08,0.42,34.94,15.76,67.25,8268,8435.85,37.81,218.62,15.93,529.55,0,0,0,0,0,1023.09
20191028,124900,966.6,3.5,28.86,0.12,0.08,0.41,35.12,15.56,67.5,7432.7,7401.94,32.76,218.54,14.11,520.46,0,0,0,0,0,931.31
20191028,125900,1009.4,3.67,30.31,0.12,0.08,0.41,35.42,19.42,71.5,8122.6,7953.98,36.28,218.47,15.81,501.64,0,0,0,0,0,907.05
